Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.5815524572,4.09490442979,0.0,0.0,4.58992532963,8.1892,85.5545319195,76.4452855228,3.33988,5.76936639664
 01/01  02:00:00,14.6727763812,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.6982870645,0.0,0.0,0.0,1.52997510988,7.4902,3.93197372607,0.0,3.33988,0.592093726072
 01/01  04:00:00,14.7111457413,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8625037994,0.0,0.0,0.0,1.52997510988,7.4902,3.93192787515,0.0,3.33988,0.59204787515
 01/01  06:00:00,22.7103221571,4.09490442979,0.0,0.0,4.58992532963,8.1892,91.0183220948,82.6486220948,8.3497,0.02
 01/01  07:00:00,38.6686497605,4.09490442979,0.0133289216633,0.0,9.17985065927,19.4245,100.257637877,80.0961031142,16.6994,3.46213476286
 01/01  08:00:00,41.9040715913,4.09490442979,0.0117157787677,0.0,9.17985065927,26.9147,95.7933963672,66.7079319195,25.0491,4.03636444767
 01/01  09:00:00,41.9082674535,4.09490442979,0.0,0.0,9.17985065927,26.9147,100.531593458,63.6704496096,33.3988,3.46234384801
 01/01  10:00:00,34.425978081,4.09490442979,0.0,0.0,9.17985065927,19.4245,94.9532129784,66.4408891724,25.0491,3.46322380596
 01/01  11:00:00,41.9409665378,4.09490442979,0.00329873521535,0.0,9.17985065927,26.9147,109.902481754,56.5730966066,41.7485,11.5808851477
 01/01  12:00:00,42.7059057069,4.09490442979,0.0,0.0,9.17985065927,26.9147,101.102967923,47.7737736369,41.7485,11.5806942861
 01/01  13:00:00,42.008406269,4.09490442979,0.0,0.0,9.17985065927,26.9147,92.4483785081,41.4519847991,41.7485,9.24789370909
 01/01  14:00:00,34.4826777262,4.09490442979,0.0,0.0,9.17985065927,19.4245,86.0223230068,43.3750507224,33.3988,9.24847228442
 01/01  15:00:00,34.4891219439,4.09490442979,0.0,0.0,9.17985065927,19.4245,77.3566163739,45.381172104,25.0491,6.92634426993
 01/01  16:00:00,34.472635033,4.09490442979,0.0,0.0,9.17985065927,19.4245,89.5083273159,49.1828138223,33.3988,6.92671349362
 01/01  17:00:00,41.8937576332,4.09490442979,0.00585280675415,0.0,9.17985065927,26.9147,108.906284744,51.8798049767,50.0982,6.92827976723
 01/01  18:00:00,46.1238286128,4.09490442979,0.0,0.0,9.17985065927,26.9147,113.779865227,54.4321763585,50.0982,9.24948886808
