Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,833.782394376,97.7324359635,382.096954819,0.0,34.9616554283,113.312780494,771.684923232,757.314913982,5.66466996096,8.70533928882
 01/01  02:00:00,802.307882468,97.7324359635,355.20206295,0.0,34.9616554283,113.312780494,791.584717742,768.529122481,5.66466996096,17.3909253008
 01/01  03:00:00,799.055600294,97.7324359635,349.240310483,0.0,34.9616554283,113.312780494,790.375728622,776.005572077,5.66466996096,8.70548658385
 01/01  04:00:00,796.149660116,97.7324359635,347.69310324,0.0,34.9616554283,113.312780494,804.146954608,781.091132017,5.66466996096,17.3911526304
 01/01  05:00:00,804.924458978,97.7324359635,347.324315469,0.0,44.4937663224,113.312780494,791.376160853,777.005896269,5.66466996096,8.70559462381
 01/01  06:00:00,799.619951725,97.7324359635,340.631798979,0.0,44.4937663224,113.312780494,819.980319359,788.427286642,14.1616749024,17.3913578144
 01/01  07:00:00,853.868705116,97.7324359635,326.139707508,0.0,54.0258772165,176.889270242,767.6510565,730.622007012,28.3233498048,8.70569968369
 01/01  08:00:00,856.156823153,97.7324359635,331.777615122,0.0,54.0258772165,184.38654557,779.645236835,719.768651225,42.4850247072,17.3915609024
 01/01  09:00:00,956.683899224,97.7324359635,345.790550687,0.0,65.1572554096,220.04316451,758.890597685,684.784628,56.6466996096,17.4592700752
 01/01  10:00:00,975.964056253,97.7324359635,368.299980935,0.0,65.1572554096,212.545889182,716.267467884,656.248209261,42.4850247072,17.5342339157
 01/01  11:00:00,1058.42487008,97.7324359635,435.794449876,0.0,65.1572554096,220.04316451,731.357729772,634.154677195,70.808374512,26.3946780645
