Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,129.153465175,30.7847251856,5.55042839547,0.0,34.4311606118,33.1021868926,166.320088777,55.9622450651,3.33212,107.025723712
 01/01  02:00:00,128.537764796,30.7847251856,4.8984707207,0.0,34.4311606118,33.1021868926,136.895053972,51.7626675429,3.33212,81.8002664287
 01/01  03:00:00,110.318776561,30.7847251856,4.16031042041,0.0,19.466279405,30.610668775,133.487382889,49.5973978463,3.33212,80.5578650426
 01/01  04:00:00,110.207164628,30.7847251856,4.05774861741,0.0,19.466279405,30.610668775,131.978419515,48.0898346677,3.33212,80.5564648472
 01/01  05:00:00,117.426286147,30.7847251856,4.70815472542,0.0,19.466279405,30.610668775,158.958883428,47.4511269283,3.33212,108.1756365
 01/01  06:00:00,130.427504862,30.7847251856,5.47380164167,0.0,19.466279405,30.610668775,186.990183592,47.5615335932,8.3303,131.098349999
 01/01  07:00:00,206.850859893,30.7847251856,10.3580626129,0.0,42.6918050922,54.3732441037,259.170783065,47.1665987105,16.6606,195.343584355
 01/01  08:00:00,322.013163288,35.603037828,79.7411033148,0.0,49.3960418185,88.5934452969,566.985493225,223.825457544,24.9909,318.169135681
 01/01  09:00:00,343.556562761,35.5876529402,72.4082210982,0.0,57.6566862989,112.030105488,725.503503333,238.686568049,33.3212,453.495735284
 01/01  10:00:00,296.888121292,35.6644322014,81.6703755615,0.0,50.9524495726,81.1684271793,612.678877294,217.442368009,66.8089,328.427609286
 01/01  11:00:00,246.079804323,35.8073355174,75.5585348981,0.0,42.6918050922,68.9656133826,533.636908596,199.651305111,83.4695,250.516103485
 01/01  12:00:00,230.628954017,35.9355243256,63.5562939732,0.0,38.286128036,68.9656133826,470.037635055,189.213842637,83.4695,197.354292418
 01/01  13:00:00,218.774390818,35.9984700595,52.4220709469,0.0,38.286128036,68.9656133826,412.960210862,183.51912245,83.4695,145.971588412
 01/01  14:00:00,189.889516522,36.0238882468,42.4749709763,0.0,31.5818913096,56.727595265,413.633358923,192.533844216,75.1392,145.960314707
