Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,110.095174983,23.6607695219,15.3908913667,9.47318398982,4.12243109448,15.9888894789,99.4335782438,96.4418478259,2.97173041782,0.02
 01/02  02:00:00,100.008444762,19.7906702895,14.2482730048,9.24743993922,4.12243109448,15.9888894789,85.437439067,82.4457086492,2.97173041782,0.02
 01/02  03:00:00,120.984489523,24.7383378618,17.8456751071,13.0395710219,4.12243109448,15.9888894789,106.994258742,104.002528324,2.97173041782,0.02
 01/02  04:00:00,104.936721659,19.7906702895,13.6653353872,11.3930149004,4.12243109448,15.9888894789,86.6636357556,83.6719053377,2.97173041782,0.02
 01/02  05:00:00,149.676252656,29.2458313071,18.6037074188,12.4400057651,12.3672932834,24.9413748627,122.509790978,117.536906948,4.9528840297,0.02
 01/02  06:00:00,177.803383518,28.8156624301,21.5877095255,38.6274732836,12.3672932834,24.9413748627,193.062871549,188.089987519,4.9528840297,0.02
 01/02  07:00:00,228.294494325,29.7486639405,14.2193259256,38.8028898978,24.7345865669,70.7195625826,172.608147412,162.682379352,9.90576805939,0.02
 01/02  08:00:00,235.864781916,29.8054875284,13.770900248,28.4008738129,37.1018798503,92.3937384068,154.979337172,145.053569112,9.90576805939,0.02
 01/02  09:00:00,237.336273558,29.8247385612,13.7715320632,22.0071298873,37.1018798503,104.434947198,145.503792858,135.578024799,9.90576805939,0.02
 01/02  10:00:00,245.410630323,29.8635500454,15.6442492523,17.2050595287,37.1018798503,116.476155989,141.415039617,122.885309932,9.90576805939,8.62396162602
 01/02  11:00:00,243.554490762,29.9298187508,17.7930520168,13.2199435254,37.1018798503,116.476155989,119.417673319,109.491905259,9.90576805939,0.02
 01/02  12:00:00,244.732405932,30.0139122468,19.7029638114,11.1599710201,37.1018798503,116.476155989,114.379044157,104.453276098,9.90576805939,0.02
 01/02  13:00:00,235.506972981,30.1217397658,22.6049686253,9.61202515571,37.1018798503,104.434947198,119.829682668,101.298519345,9.90576805939,8.62539526413
 01/02  14:00:00,246.781377764,30.2436150485,24.3207879614,8.43068878674,37.1018798503,116.476155989,108.698582134,98.7728140744,9.90576805939,0.02
 01/02  15:00:00,247.107870478,30.3401652433,25.5349445628,7.32488588883,37.1018798503,116.476155989,115.46264153,96.9289184195,9.90576805939,8.62795505079
 01/02  16:00:00,247.307836095,30.3438891388,25.2911993138,6.51311923713,37.1018798503,116.476155989,106.043459564,96.1176915048,9.90576805939,0.02
 01/02  17:00:00,245.912845277,30.2128462993,23.3418742393,6.38482133263,37.1018798503,116.476155989,107.397123487,97.4713554278,9.90576805939,0.02
 01/02  18:00:00,257.553438995,30.1146060776,21.4107357571,6.95895487271,37.1018798503,116.476155989,110.928034581,101.002266522,9.90576805939,0.02
 01/02  19:00:00,172.055846496,28.2187583439,19.4766814961,0.000647851876092,24.7345865669,47.5788473902,92.5004134101,78.9399412076,4.9528840297,8.60758817287
 01/02  20:00:00,174.552398015,28.658932471,20.1198596636,0.187433368981,24.7345865669,47.5788473902,90.2786026061,85.3057185764,4.9528840297,0.02
 01/02  21:00:00,146.001177811,27.4851347987,14.9330150905,0.284167748168,12.3672932834,38.6892022431,103.911508545,100.919778127,2.97173041782,0.02
 01/02  22:00:00,118.869554333,22.1641774898,12.1420117928,0.605974740544,12.3672932834,27.0668015668,89.681347698,86.6896172802,2.97173041782,0.02
 01/02  23:00:00,95.6485871484,19.4385309878,12.5135337917,3.29494320446,4.12243109448,15.9888894789,79.3496438118,76.357913394,2.97173041782,0.02
