Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,60.2970231653,1.51114195943,3.40125233152,0.0,15.863942322,29.242365,9.77294847668,6.54726847668,3.20568,0.02
 01/01  02:00:00,61.3606976058,1.88892744928,4.09148409441,0.0,15.863942322,29.242365,12.2831504995,9.05747049946,3.20568,0.02
 01/01  03:00:00,60.0915439805,1.51114195943,3.20285715038,0.0,15.863942322,29.242365,15.0448476268,8.9567164247,3.20568,2.88245120212
 01/01  04:00:00,61.1999448701,1.88892744928,3.93257103155,0.0,15.863942322,29.242365,15.1283552955,11.9026752955,3.20568,0.02
 01/01  05:00:00,60.2120519274,1.51114195943,3.11058181543,0.0,15.863942322,29.242365,14.8590772534,11.6333972534,3.20568,0.02
 01/01  06:00:00,61.3286959287,1.88892744928,3.86283172474,0.0,15.863942322,29.242365,23.4803750086,17.3922786527,3.20568,2.88241635595
 01/01  07:00:00,60.1651851617,1.51114195943,3.06986498,0.0,15.863942322,29.242365,20.7089495957,17.4832695957,3.20568,0.02
 01/01  08:00:00,54.112338494,1.88892744928,3.84794383293,0.0,15.863942322,29.242365,19.4272772637,16.2015972637,3.20568,0.02
 01/01  09:00:00,51.5446835935,1.51114195943,3.08731684657,0.0,15.863942322,29.242365,17.2015420433,11.1121444554,3.20568,2.88371758782
 01/01  10:00:00,51.8095385921,1.51114195943,3.32888970344,0.0,15.863942322,29.242365,8.43526541823,5.20958541823,3.20568,0.02
 01/01  11:00:00,48.2249502253,0.377785489857,0.868450570922,0.0,15.863942322,29.242365,6.9143521394,0.824864205607,3.20568,2.88380793379
 01/01  12:00:00,47.6952022848,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,46.9788416229,0.0,0.0,0.0,15.863942322,29.242365,6.08937627599,0.0,3.20568,2.88369627599
 01/01  14:00:00,47.019511164,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,47.0411597941,0.0,0.0,0.0,15.863942322,29.242365,6.08806252931,0.0,3.20568,2.88238252931
 01/01  16:00:00,47.0301189193,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,46.9226878003,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,54.0566251586,0.0,0.0,0.0,15.863942322,29.242365,6.08816218202,0.0,3.20568,2.88248218202
 01/01  19:00:00,55.4788706074,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.6904746402,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.673789684,0.0,0.0,0.0,15.863942322,29.242365,6.08812811494,0.0,3.20568,2.88244811494
 01/01  22:00:00,55.5571100055,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,58.0223950359,0.755570979713,1.87019528465,0.0,15.863942322,29.242365,8.84207309035,2.75397903784,3.20568,2.88241405252
 01/01  24:00:00,61.1639992102,1.51114195943,3.52943186315,0.0,15.863942322,29.242365,9.15128055464,5.92560055464,3.20568,0.02
 01/02  01:00:00,60.3085275537,1.51114195943,3.40625532111,0.0,15.863942322,29.242365,9.91837552685,6.69269552685,3.20568,0.02
 01/02  02:00:00,61.4041136168,1.88892744928,4.1238868175,0.0,15.863942322,29.242365,14.5310215701,8.44155938992,3.20568,2.88378218014
 01/02  03:00:00,60.1431584194,1.51114195943,3.24303433447,0.0,15.863942322,29.242365,10.9671161255,7.74143612549,3.20568,0.02
 01/02  04:00:00,61.2347112238,1.88892744928,3.96143610112,0.0,15.863942322,29.242365,17.2459176877,11.1565636342,3.20568,2.88367405346
 01/02  05:00:00,60.2314574331,1.51114195943,3.12828916735,0.0,15.863942322,29.242365,13.884759344,10.659079344,3.20568,0.02
 01/02  06:00:00,61.3353892509,1.88892744928,3.870385303,0.0,15.863942322,29.242365,22.7593931322,16.6699471165,3.20568,2.88376601571
 01/02  07:00:00,65.5648300272,7.87245148765,0.00517637994811,0.0,15.863942322,29.818365,713.146404945,707.057067113,3.20568,2.88365783283
 01/02  08:00:00,122.641611661,7.87245148765,0.0,0.0,80.527626,29.818365,444.525188599,441.299508599,3.20568,0.02
 01/02  09:00:00,166.31653927,7.87245148765,0.00674206810236,0.0,80.527626,75.0917375,330.029821938,297.31744486,24.0426,8.66977707804
 01/02  10:00:00,166.313543322,7.87245148765,0.00307363057351,0.0,80.527626,75.0917375,265.619017015,224.155601631,24.0426,17.4208153837
 01/02  11:00:00,170.322658043,7.87245148765,0.00369161642055,0.0,80.527626,79.0911225,224.757213759,178.167667243,32.0568,14.5327465159
 01/02  12:00:00,171.109190802,7.91264240387,0.0,0.0,80.527626,79.0911225,188.968139274,139.44049418,32.0568,17.4708450937
 01/02  13:00:00,170.81721792,8.37367984198,0.0,0.0,80.527626,79.0911225,178.244075508,125.776464808,32.0568,20.4108107005
 01/02  14:00:00,167.1296561,8.7202244195,0.0,0.0,80.527626,75.0917375,170.560611633,134.101523017,16.0284,20.4306886153
 01/02  15:00:00,167.028737889,8.8037236314,0.0,0.0,80.527626,75.0917375,147.39711927,116.846538731,16.0284,14.5221805392
 01/02  16:00:00,164.962692146,8.71977403881,0.0,0.0,80.527626,73.092045,155.474693575,134.826294779,3.20568,17.4427187954
 01/02  17:00:00,164.204113098,7.91568512884,0.0,0.0,80.527626,73.092045,142.532371702,136.439633882,3.20568,2.88705782024
 01/02  18:00:00,128.086518426,7.87245148765,0.0,0.0,80.527626,29.818365,155.195220088,149.102602244,3.20568,2.88693784399
 01/02  19:00:00,129.519679009,7.87245148765,0.0,0.0,80.527626,29.818365,185.677315512,176.705777771,3.20568,5.76585774083
 01/02  20:00:00,129.740620134,7.87245148765,0.0,0.0,80.527626,29.818365,206.423782647,197.444088907,3.20568,5.77401374049
 01/02  21:00:00,129.730577648,7.87245148765,0.0,0.0,80.527626,29.818365,223.856367152,214.880342157,3.20568,5.77034499504
 01/02  22:00:00,55.4773968706,0.0,0.0,0.0,15.863942322,29.242365,8.97591579549,0.0,3.20568,5.77023579549
 01/02  23:00:00,55.3638241431,0.0,0.0,0.0,15.863942322,29.242365,6.09379489776,0.0,3.20568,2.88811489776
 01/02  24:00:00,56.1605844831,0.0,0.0,0.0,15.863942322,29.242365,6.09209526535,0.0,3.20568,2.88641526535
 01/03  01:00:00,55.3923836885,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  02:00:00,55.3952463256,0.0,0.0,0.0,15.863942322,29.242365,6.08937274079,0.0,3.20568,2.88369274079
 01/03  03:00:00,56.0191757543,0.17369521734,0.455648393298,0.0,15.863942322,29.242365,3.33398436314,0.108304363144,3.20568,0.02
 01/03  04:00:00,61.9425305906,1.88892744928,4.66227498341,0.0,15.863942322,29.242365,7.6016790857,1.51221061467,3.20568,2.88378847103
 01/03  05:00:00,61.4154375241,1.51114195943,3.4560237836,0.0,15.863942322,29.242365,5.07942150307,1.85374150307,3.20568,0.02
 01/03  06:00:00,62.2534396877,1.88892744928,4.08695069559,0.0,15.863942322,29.242365,9.40452014738,3.31515854581,3.20568,2.88368160157
 01/03  07:00:00,65.7588924254,7.87245148765,0.00225389774036,0.0,15.863942322,29.818365,594.256400639,591.030720639,3.20568,0.02
 01/03  08:00:00,122.646968303,7.87245148765,0.000835970868269,0.0,80.527626,29.818365,481.034610962,474.941814159,3.20568,2.88711680295
 01/03  09:00:00,166.32228393,7.87245148765,0.00675337751288,0.0,80.527626,75.0917375,353.603147395,320.891783138,24.0426,8.6687642568
 01/03  10:00:00,166.311451149,7.87245148765,0.00262238468572,0.0,80.527626,75.0917375,289.098891375,247.636733755,24.0426,17.4195576199
 01/03  11:00:00,170.300314493,7.87245148765,0.0032708356614,0.0,80.527626,79.0911225,258.735086756,212.145499584,32.0568,14.5327871722
 01/03  12:00:00,171.057019101,7.87245148765,0.0,0.0,80.527626,79.0911225,214.463292103,164.936737647,32.0568,17.4697544555
 01/03  13:00:00,170.470378589,8.03359280472,0.0,0.0,80.527626,79.0911225,196.914455878,144.445677886,32.0568,20.4119779914
 01/03  14:00:00,166.787487691,8.32058649654,0.0,0.0,80.527626,75.0917375,188.059714354,151.598680368,16.0284,20.4326339859
 01/03  15:00:00,166.926304568,8.45671974201,0.0,0.0,80.527626,75.0917375,178.109530142,147.558423438,16.0284,14.522706704
 01/03  16:00:00,164.834064804,8.38658880119,0.0,0.0,80.527626,73.092045,169.576239803,148.928482189,3.20568,17.4420776142
 01/03  17:00:00,164.199344754,7.87326175954,0.0,0.0,80.527626,73.092045,151.928427088,145.835643778,3.20568,2.88710331029
 01/03  18:00:00,128.072541219,7.87245148765,0.0,0.0,80.527626,29.818365,187.518900445,181.426055928,3.20568,2.88716451661
 01/03  19:00:00,129.508332876,7.87245148765,0.0,0.0,80.527626,29.818365,240.403921876,231.432639614,3.20568,5.76560226166
