Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5819202722,2.21532233844,0.0,0.0,1.85583932782,5.577,41.2392753333,36.4995654333,3.0011,1.73860990008
 01/01  02:00:00,9.50490896459,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.53403926571,0.0,0.0,0.0,0.618613109274,5.0,3.59317515519,0.0,3.0011,0.592075155186
 01/01  04:00:00,9.54821613851,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.69997384522,0.0,0.0,0.0,0.618613109274,5.0,3.59318105368,0.0,3.0011,0.592081053678
 01/01  06:00:00,13.7306544709,2.21532233844,0.0,0.0,1.85583932782,5.577,45.2369397836,40.7152897836,4.50165,0.02
 01/01  07:00:00,28.1970906992,2.21532233844,0.0,0.0,3.71167865564,18.077,50.1721461432,35.5021870837,13.50495,1.16500905944
 01/01  08:00:00,25.6271782315,2.21532233844,0.0,0.0,3.71167865564,18.077,53.8775365181,31.1322010525,21.0077,1.73763546568
 01/01  09:00:00,20.6265442655,2.21532233844,0.0,0.0,3.71167865564,13.077,47.6057861101,31.4351994554,15.0055,1.16508665466
 01/01  10:00:00,20.6397677399,2.21532233844,0.0,0.0,3.71167865564,13.077,45.0406042707,28.8698627709,15.0055,1.16524149977
 01/01  11:00:00,25.6534902238,2.21532233844,0.0,0.0,3.71167865564,18.077,58.081599684,21.6063263906,33.0121,3.46317329341
 01/01  12:00:00,26.8079401729,2.21532233844,0.0,0.0,3.71167865564,18.077,60.5787662826,16.0274685156,40.51485,4.03644776697
 01/01  13:00:00,25.8963292395,2.21532233844,0.0,0.0,3.71167865564,18.077,52.7145494309,13.8145435052,36.0132,2.8868059257
 01/01  14:00:00,25.6955417646,2.21532233844,0.0,0.0,3.71167865564,18.077,49.1339170829,14.7351498027,31.51155,2.88721728018
 01/01  15:00:00,20.7003331751,2.21532233844,0.0,0.0,3.71167865564,13.077,38.6562279076,15.3357719856,21.0077,2.31275592203
 01/01  16:00:00,20.6786893135,2.21532233844,0.0,0.0,3.71167865564,13.077,38.4747061652,16.6549873562,19.50715,2.31256880903
 01/01  17:00:00,20.5879545836,2.21532233844,0.0,0.0,3.71167865564,13.077,44.4758880316,19.6551774963,22.50825,2.31246053523
 01/01  18:00:00,28.1143246821,2.21532233844,0.0,0.0,3.71167865564,18.077,49.8067342501,21.4101198481,25.50935,2.88726440201
 01/01  19:00:00,28.1162655929,2.21532233844,0.0,0.0,3.71167865564,18.077,49.7190078305,20.7470565483,25.50935,3.46260128217
 01/01  20:00:00,28.2605439797,2.21532233844,0.0,0.0,3.71167865564,18.077,50.2861996282,20.7405823992,25.50935,4.03626722894
 01/01  21:00:00,23.2456767636,2.21532233844,0.0,0.0,3.71167865564,13.077,47.1221575801,21.7272104417,22.50825,2.88669713845
 01/01  22:00:00,23.1784307445,2.21532233844,0.0,0.0,3.71167865564,13.077,46.6524234867,22.1829277905,21.0077,3.46179569618
 01/01  23:00:00,23.0690845108,2.21532233844,0.0,0.0,3.71167865564,13.077,46.0813672978,25.1881286905,18.0066,2.88663860729
 01/01  24:00:00,24.2550425843,2.21532233844,0.0,0.0,3.71167865564,13.077,33.4807738698,28.7417328895,3.0011,1.73794098024
 01/02  01:00:00,13.7835918997,2.21532233844,0.0,0.0,1.85583932782,5.577,39.739447778,35.0003459951,3.0011,1.73800178294
 01/02  02:00:00,9.51090344571,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
