Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,199.309472664,4.92453190616,75.7218412359,0.0,43.513341876,52.539744,89.7869783805,84.9327183805,4.83426,0.02
 01/01  02:00:00,193.589609656,8.8237452244,66.264324286,0.0,43.513341876,52.539744,83.3742704184,78.5200104184,4.83426,0.02
 01/01  03:00:00,210.385076704,9.91054546552,81.6917079924,0.0,43.513341876,52.539744,116.920193606,112.065933606,4.83426,0.02
 01/01  04:00:00,191.291536991,7.54473257871,65.2492749838,0.0,43.513341876,52.539744,88.9198582227,84.0655982227,4.83426,0.02
 01/01  05:00:00,210.059423982,9.91054546552,80.9383591784,0.0,43.513341876,52.539744,124.028601152,119.174341152,4.83426,0.02
 01/01  06:00:00,200.232859278,16.5574102979,64.7851002737,0.0,43.513341876,52.539744,97.3408297884,92.4865697884,4.83426,0.02
 01/01  07:00:00,214.043210565,14.7946291989,80.0548594944,0.0,43.513341876,52.539744,147.079805771,133.636949995,4.83426,8.60859577613
 01/01  08:00:00,178.944284446,10.6555428723,64.448705503,0.0,43.513341876,52.539744,91.5886892028,86.7344292028,4.83426,0.02
 01/01  09:00:00,192.212409632,10.2302986269,80.8311830071,0.0,43.513341876,52.539744,114.805905944,109.951645944,4.83426,0.02
 01/01  10:00:00,171.950908717,4.34720096448,66.6831189439,0.0,43.513341876,52.539744,57.6847898425,52.8305298425,4.83426,0.02
 01/01  11:00:00,196.520409208,5.43400120559,89.795617059,0.0,43.513341876,52.539744,52.3108532338,47.4565932338,4.83426,0.02
 01/01  12:00:00,183.612869064,4.34720096448,77.2819515006,0.0,43.513341876,52.539744,39.334644635,25.8840156945,4.83426,8.61636894043
 01/01  13:00:00,201.040481652,4.93567318566,94.835490625,0.0,43.513341876,52.539744,25.9826018487,21.1283418487,4.83426,0.02
 01/01  14:00:00,175.667969794,3.67131143863,71.0357591123,0.0,43.513341876,52.539744,16.0532512987,11.1989912987,4.83426,0.02
 01/01  15:00:00,128.963786062,1.43911505041,27.1824747395,0.0,43.513341876,52.539744,7.80698568805,2.95272568805,4.83426,0.02
 01/01  16:00:00,141.75345099,2.07554888068,39.1729986627,0.0,43.513341876,52.539744,17.375011894,3.93199219855,4.83426,8.60875969549
 01/01  17:00:00,170.424879395,3.6605958358,66.0709667706,0.0,43.513341876,52.539744,16.393156754,11.538896754,4.83426,0.02
 01/01  18:00:00,204.299994292,4.82971418381,83.5871057037,0.0,43.513341876,52.539744,26.3111912634,21.4569312634,4.83426,0.02
 01/01  19:00:00,196.855258497,4.45315996633,73.6766513084,0.0,43.513341876,52.539744,30.9881829413,26.1339229413,4.83426,0.02
