Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,39.4507276291,5.71281613015,0.0477727039024,3.12414619541,12.925468867,10.100111941,31.9978033646,31.9778033646,0.0,0.02
 01/01  02:00:00,40.8480287848,5.79619863789,0.0394889785524,4.44744303047,12.925468867,10.100111941,39.0731695973,33.3174703059,0.0,5.75569929142
 01/01  03:00:00,37.8693605994,5.89460390666,0.0286970097459,6.0002050601,8.34152022915,10.0650221343,34.0985386097,34.0785386097,0.0,0.02
 01/01  04:00:00,38.8746822198,5.95398329721,0.0220460693114,6.95278969689,8.34152022915,10.0650221343,40.3898233517,34.6338892686,0.0,5.75593408314
 01/01  05:00:00,41.2417532018,5.99918113525,0.0162344302306,7.67387870148,8.34152022915,11.6705166398,35.0954574525,35.0754574525,0.0,0.02
 01/01  06:00:00,46.2463890065,6.0492474419,0.0104091059269,8.4759783541,8.80141237637,15.3678112995,40.9962060806,35.2303099447,0.0,5.76589613594
 01/01  07:00:00,65.2768421042,5.98468357452,0.0181724325498,7.58665580053,18.5082010057,25.6353820695,41.0825002116,35.3064200911,0.0,5.77608012053
 01/01  08:00:00,71.1034006539,5.79013586181,0.0428137538666,4.66441063323,19.4926561212,41.1001056674,43.9562392657,32.3746005013,0.0,11.5816387644
 01/01  09:00:00,93.3828065455,5.71947981829,1.39748277353,1.90247481059,26.3286599382,57.9988325916,54.6309841152,25.1864795752,0.0,29.4445045399
 01/01  10:00:00,80.5155009522,5.75892004976,3.3723108097,2.29424682209,26.2443270014,42.8153538416,69.4830851441,22.150208513,18.025,29.307876631
 01/01  11:00:00,57.2045823453,5.77938792463,3.34811115879,2.86163337185,21.7447113004,23.4437158914,60.3125803284,18.8949204327,18.025,23.3926598957
 01/01  12:00:00,54.4043856866,5.77404975592,3.69238907241,2.12450655548,19.3449162599,23.4437158914,51.3587575586,15.8158762819,18.025,17.5178812767
 01/01  13:00:00,53.8100458386,5.74697183215,3.6210040765,1.48643460915,19.190480192,23.7425572507,50.6742899984,15.1678248732,18.025,17.4814651252
 01/01  14:00:00,52.9418752215,5.67512965555,3.22744683847,1.05754523632,19.260583323,23.698576057,54.6625106059,13.3333530765,18.025,23.3041575295
 01/01  15:00:00,52.2855013441,5.62293838537,3.04500431646,0.635804509263,19.260583323,23.698576057,48.0309338042,12.5210013658,18.025,17.4849324384
 01/01  16:00:00,51.7398321062,5.59710744876,2.84802932368,0.602889013106,19.260583323,23.4086260847,49.9821259345,14.472821448,18.025,17.4843044865
 01/01  17:00:00,55.5465364939,5.59887610709,1.81618059073,0.988360973286,19.260583323,27.8781056672,40.4757020433,16.6908358532,18.025,5.7598661901
 01/01  18:00:00,69.8379104567,5.59031239777,0.178324005869,0.767694530309,18.1807569449,37.5792895564,25.2537054618,19.4879961548,0.0,5.76570930702
 01/01  19:00:00,84.1347510832,5.63746881822,0.775499939581,0.526636755372,32.6059821062,37.0465235296,29.47410662,23.7034202398,0.0,5.77068638023
 01/01  20:00:00,84.764983417,5.68265346651,1.20681220856,0.449307611256,36.8143715336,33.066984531,30.3181159878,24.5375565297,0.0,5.78055945813
 01/01  21:00:00,90.8326103947,5.76818664571,1.92032078648,0.358392584012,36.43363367,38.8072253906,31.4901292585,25.7104129868,0.0,5.77971627172
 01/01  22:00:00,88.6058560254,5.78681137554,1.99883230355,0.391209204251,36.0963922311,36.7877557581,37.7012242353,26.1596935219,0.0,11.5415307135
 01/01  23:00:00,66.2823807977,5.64949587163,0.649657148879,0.874393234202,30.9507766546,20.6087787026,34.2394192646,28.4390410492,0.0,5.80037821536
 01/01  24:00:00,44.3968200239,5.64535772093,0.0589051158832,2.01811732251,17.4250845679,11.7056064465,41.8112701184,30.2792100122,0.0,11.5320601062
 01/02  01:00:00,38.0945424947,5.71209506082,0.0463735417231,3.08938761829,11.6412384099,10.0650221343,30.824241916,30.804241916,0.0,0.02
 01/02  02:00:00,37.842295534,5.79253817412,0.0378790564362,4.32587613482,10.0992000411,10.047477231,36.9275906554,31.1718230201,0.0,5.75576763525
 01/02  03:00:00,37.1835356467,5.86489098131,0.0293926930097,5.46281286738,8.25718729233,10.0299323277,31.7412734972,31.7212734972,0.0,0.02
 01/02  04:00:00,38.3515126616,5.93332975637,0.0221658881894,6.5695731693,8.25718729233,10.0299323277,39.3753381735,33.6196309315,0.0,5.755707242
 01/02  05:00:00,40.7681589614,5.98002660573,0.0165887098628,7.33849994755,8.25718729233,11.6354268332,40.6677530925,34.9071517672,0.0,5.76060132533
 01/02  06:00:00,48.8342644573,6.00548672573,0.0137866614735,7.80229743337,12.1011305571,15.3678112995,41.2851837366,35.5092415225,0.0,5.77594221416
 01/02  07:00:00,74.7502022428,5.77125784346,0.0471279675264,4.39087178978,19.7275818095,37.2640762949,48.1719591131,36.5904158289,0.0,11.5815432843
 01/02  08:00:00,84.543794943,5.7217994227,0.780894154031,2.43205705398,24.3117294858,51.2795993405,46.2826247025,34.6596113565,0.0,11.623013346
 01/02  09:00:00,75.0436599055,5.78583521605,0.548765631084,4.37504070015,23.6694662846,40.6342015617,56.0573556076,26.7420991087,0.0,29.3152564989
 01/02  10:00:00,71.8359209275,5.81851674183,3.06146863414,3.62922033188,23.6694662846,35.6302164847,57.2530733445,21.6809696772,18.025,17.5471036673
 01/02  11:00:00,54.5476170222,5.83601549092,3.42936315002,3.55221158781,18.7433767983,22.9618409725,59.0864998175,17.7091297645,18.025,23.3523700531
 01/02  12:00:00,54.3136496969,5.85692570433,3.97061699455,2.75829135648,18.7433767983,22.9618409725,50.7056646603,15.1926899436,18.025,17.4879747167
 01/02  13:00:00,53.6567499927,5.84142382019,4.20523134739,1.83882930226,18.5889407304,23.1597249699,46.1806243817,10.6716793404,18.025,17.4839450412
 01/02  14:00:00,53.3214283996,5.8138790657,4.27683456401,1.21295084137,18.7433767983,23.2517909448,49.5504743485,8.21946053298,18.025,23.3060138156
 01/02  15:00:00,52.7920967215,5.77867612754,4.25024641189,0.745408203008,18.7433767983,23.2517909448,42.3553571049,6.84396795534,18.025,17.4863891496
 01/02  16:00:00,52.040647064,5.73807967573,4.03956222711,0.535187371912,18.7433767983,22.9618409725,44.1868014523,8.67988808978,18.025,17.4819133625
 01/02  17:00:00,55.2224979099,5.68660632083,2.85356145895,0.503202030341,18.7433767983,27.431320555,34.7201255271,10.9343478463,18.025,5.7607776808
 01/02  18:00:00,72.7862858933,5.65506941248,1.00383576987,0.224037041651,17.6635504202,40.6971502883,19.873205331,14.1023091602,0.0,5.77089617089
 01/02  19:00:00,79.4222528158,5.66460529991,1.162953615,0.186606993093,27.5259009287,37.3340067412,31.9561702623,20.3845515195,0.0,11.5716187428
 01/02  20:00:00,81.9403905487,5.68506984331,1.32563154089,0.19625162017,33.8341110165,33.3544677425,28.2871606071,22.5063449788,0.0,5.78081562833
 01/02  21:00:00,90.705695516,5.75805452833,1.85181035548,0.208237298238,36.5179666069,38.8247702939,31.4908397869,25.7108723139,0.0,5.77996747295
 01/02  22:00:00,85.4524642908,5.78437932176,1.97880255155,0.316718792502,32.965339924,36.8579353714,39.9089900893,28.326310424,0.0,11.5826796653
 01/02  23:00:00,61.0663328757,5.65260441014,0.692609373902,0.895710571261,25.6355707503,20.6438685092,43.1297495129,31.5776998938,0.0,11.5520496191
 01/02  24:00:00,43.1710028645,5.70996971156,0.0496395457183,3.13896245815,15.0252895274,11.7056064465,41.9107270653,36.1448207866,0.0,5.76590627877
 01/03  01:00:00,39.4632076495,5.78507042034,0.0336282973784,4.39781877593,11.6412384099,10.0650221343,37.4913651075,37.4713651075,0.0,0.02
 01/03  02:00:00,39.6525443839,5.88750653162,0.0245433998257,6.05448981909,10.0992000411,10.047477231,44.9293537768,39.1734904175,0.0,5.75586335929
 01/03  03:00:00,39.5285045953,5.99168311649,0.0166528646686,7.69372865888,8.25718729233,10.0299323277,39.4302489941,39.4102489941,0.0,0.02
 01/03  04:00:00,41.5487503169,6.1090226124,0.00828431007496,9.6049964553,8.25718729233,10.0299323277,47.8052162385,42.0494075188,0.0,5.75580871969
 01/03  05:00:00,44.8948078185,6.2092720333,0.000981243968314,11.2515101931,8.25718729233,11.6354268332,44.3542067912,44.3342067912,0.0,0.02
 01/03  06:00:00,53.4584158854,6.26120417512,0.0,12.1845122288,12.1011305571,15.3678112995,56.6029450071,45.0707245347,0.0,11.5322204723
 01/03  07:00:00,79.1508534498,6.0048886795,0.0287905472297,8.576222476,19.7275818095,37.2640762949,57.7625308317,46.1812824676,0.0,11.5812483642
 01/03  08:00:00,87.3833695296,5.83847322408,0.412098166143,5.52374430828,24.3117294858,51.2795993405,54.5294362872,42.9059486326,0.0,11.6234876547
 01/03  09:00:00,78.2287562862,5.95587649254,0.363354446612,7.57550025466,23.6694662846,40.6342015617,57.2958637959,30.8754081762,0.0,26.4204556197
