Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,76.5130569581,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,76.2166150836,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,76.0660127794,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,75.9311076645,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553708908,0.0,1.75125,1.16428708908
 01/01  05:00:00,82.4142630044,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,91.2670380951,9.27657931034,0.0,0.0,3.49369000822,6.81298672936,18.982488707,17.211238707,1.75125,0.02
 01/01  07:00:00,120.752137304,25.469155354,0.0,0.0,6.98738001645,14.1499734587,449.549473856,444.882659036,3.5025,1.16431482064
 01/01  08:00:00,116.40377895,25.469155354,0.0,0.0,6.98738001645,14.1499734587,416.902623397,413.380123397,3.5025,0.02
 01/01  09:00:00,151.767960477,25.469155354,0.0,0.0,6.98738001645,14.1499734587,371.080395659,366.413552495,3.5025,1.16434316336
 01/01  10:00:00,124.644781617,25.469155354,0.0,0.0,6.98738001645,14.1499734587,348.738275879,345.215775879,3.5025,0.02
 01/01  11:00:00,159.619438831,25.469155354,0.0,0.0,27.9495200658,27.7759469175,300.428136254,292.258462366,7.005,1.16467388782
 01/01  12:00:00,190.902151072,25.469155354,0.0,0.0,27.9495200658,27.7759469175,272.245781171,265.220781171,7.005,0.02
 01/01  13:00:00,198.389549704,25.469155354,0.0,0.0,41.9242800987,36.8599292233,244.871124663,234.366292857,9.34,1.16483180602
 01/01  14:00:00,195.813033395,25.469155354,0.0,0.0,41.9242800987,36.8599292233,239.339695318,228.834915897,9.34,1.16477942059
 01/01  15:00:00,192.152574019,25.469155354,0.0,0.0,41.9242800987,36.8599292233,227.761008485,217.25633834,9.34,1.16467014458
 01/01  16:00:00,188.6715717,25.469155354,0.0,0.0,41.9242800987,36.8599292233,225.883798927,216.523798927,9.34,0.02
 01/01  17:00:00,188.416700083,25.469155354,0.0,0.0,41.9242800987,36.8599292233,236.110424987,225.605595636,9.34,1.16482935044
 01/01  18:00:00,173.257751742,25.469155354,0.0,0.0,27.9495200658,27.7759469175,278.394814859,270.22509618,7.005,1.16471867884
