Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.866662941,4.09888982463,0.0117968698819,0.0,4.58992532963,8.1892,15.036093532,5.9264721977,3.33988,5.76974133433
 01/01  02:00:00,14.9037758959,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.9854582305,0.0,0.0,0.0,1.52997510988,7.4902,3.93197380821,0.0,3.33988,0.592093808213
 01/01  04:00:00,14.9702678404,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,15.106951591,0.0,0.0,0.0,1.52997510988,7.4902,3.93192797264,0.0,3.33988,0.592047972645
 01/01  06:00:00,22.9742741899,4.09888982463,0.0,0.0,4.58992532963,8.1892,21.1489138623,12.7792138623,8.3497,0.02
 01/01  07:00:00,38.9529639422,4.09888982463,0.0323805929187,0.0,9.17985065927,19.4245,26.6413449151,6.48018220269,16.6994,3.46176271244
 01/01  08:00:00,42.2008164989,4.09888982463,0.0394423833794,0.0,9.17985065927,26.9147,29.085590469,0.0,25.0491,4.03649046896
 01/01  09:00:00,43.3635573352,4.09888982463,1.120700402,0.0,9.17985065927,26.9147,36.8707859744,0.00929982873333,33.3988,3.46268614566
 01/01  10:00:00,38.4535188952,4.09888982463,3.62758988827,0.0,9.17985065927,19.4245,28.5122339123,0.0,25.0491,3.46313391233
 01/01  11:00:00,49.2968708028,4.09888982463,6.95693754888,0.0,9.17985065927,26.9147,53.3299726359,0.0,41.7485,11.5814726359
