Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,1029.17238754,97.7561946226,642.813850994,0.0,34.9616554283,113.312780494,501.70468268,487.334830424,5.66466996096,8.70518229596
 01/01  02:00:00,1049.99824001,97.7561946226,665.526396499,0.0,34.9616554283,113.312780494,523.627654834,500.572182099,5.66466996096,17.3908027745
 01/01  03:00:00,1020.00516229,97.7561946226,633.873906045,0.0,34.9616554283,113.312780494,511.924069283,497.553947354,5.66466996096,8.70545196754
 01/01  04:00:00,1032.94645987,97.7561946226,647.724618721,0.0,34.9616554283,113.312780494,531.443817557,508.388049569,5.66466996096,17.3910980266
 01/01  05:00:00,1054.93886939,97.7561946226,660.025887355,0.0,44.4937663224,113.312780494,521.322019947,506.951781544,5.66466996096,8.70556844188
 01/01  06:00:00,1043.69824888,97.7561946226,648.122854549,0.0,44.4937663224,113.312780494,540.234514485,508.681531601,14.1616749024,17.3913079819
 01/01  07:00:00,1110.64680882,97.7561946226,641.577779097,0.0,54.0258772165,176.889270242,486.624727297,449.595703341,28.3233498048,8.70567415113
 01/01  08:00:00,1093.02413367,97.7561946226,631.312436552,0.0,54.0258772165,184.38654557,507.7457885,447.869252255,42.4850247072,17.391511538
 01/01  09:00:00,1148.56307975,97.7561946226,605.757966411,0.0,65.1572554096,220.04316451,489.602614238,415.496692033,56.6466996096,17.4592225952
 01/01  10:00:00,1116.58889495,97.7561946226,579.777354614,0.0,65.1572554096,212.545889182,454.218007447,394.198806464,42.4850247072,17.5341762755
 01/01  11:00:00,1112.32766594,97.7561946226,567.263749701,0.0,65.1572554096,220.04316451,475.008212862,377.804399541,70.808374512,26.3954388092
