Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,207.521217667,32.7905492812,79.5545028458,0.0,34.4311606118,33.1021868926,117.718638248,7.49601087905,3.33212,106.890507369
 01/01  02:00:00,155.311502364,30.7874574683,31.5367709912,0.0,34.4311606118,33.1021868926,103.734036258,18.4474076329,3.33212,81.9545086249
 01/01  03:00:00,180.817163796,31.5886941935,72.598684058,0.0,19.466279405,30.610668775,84.0304595617,0.134622959555,3.33212,80.5637166021
 01/01  04:00:00,170.433915383,32.3899309186,60.527752735,0.0,19.466279405,30.610668775,90.450485713,6.55447447942,3.33212,80.5638912335
 01/01  05:00:00,178.975459776,32.3899309186,62.4411239773,0.0,19.466279405,30.610668775,129.351534739,17.8398181245,3.33212,108.179596615
 01/01  06:00:00,168.414793287,31.5886941935,41.5883153424,0.0,19.466279405,30.610668775,142.927861215,3.48341055468,8.3303,131.11415066
 01/01  07:00:00,317.518779438,34.633393749,112.327540959,0.0,42.6918050922,54.3732441037,212.202616827,0.197017612296,16.6606,195.344999215
 01/01  08:00:00,393.653122607,35.9455574482,148.675681604,0.0,49.3960418185,88.5934452969,354.685726948,11.7067035611,24.9909,317.988123387
 01/01  09:00:00,419.972569603,35.694315914,145.114564531,0.0,57.6566862989,112.030105488,492.461865236,5.39954804446,33.3212,453.741117192
 01/01  10:00:00,366.031413879,36.1672870789,145.640350404,0.0,50.9524495726,81.1684271793,396.851944636,2.02192557816,66.8089,328.021119058
 01/01  11:00:00,321.319301412,36.3425452926,145.678894098,0.0,42.6918050922,68.9656133826,338.76839688,4.40828347127,83.4695,250.890613408
 01/01  12:00:00,316.747564745,36.34145521,144.888385648,0.0,38.286128036,68.9656133826,286.845725327,6.01490068093,83.4695,197.361324646
 01/01  13:00:00,316.46722399,36.3980676317,145.292394207,0.0,38.286128036,68.9656133826,235.029208675,5.58873531487,83.4695,145.970973361
 01/01  14:00:00,294.923337409,36.325060566,142.751613453,0.0,31.5818913096,56.727595265,227.825300219,6.72739876748,75.1392,145.958701451
 01/01  15:00:00,294.979918916,36.3545676025,142.778226394,0.0,31.5818913096,56.727595265,218.920291039,6.49019762403,66.8089,145.621193415
 01/01  16:00:00,293.586809617,36.3841522954,141.377917602,0.0,31.5818913096,56.727595265,227.766570344,7.01488553205,75.1392,145.612484812
 01/01  17:00:00,320.918808077,36.154259568,139.740701815,0.0,31.5818913096,61.661095265,208.23391252,8.02372745551,91.7998,108.410385064
 01/01  18:00:00,362.579505512,35.6940108835,140.400487561,0.0,31.5818913096,70.9729253606,202.169264716,14.203576732,49.9818,137.983887984
 01/01  19:00:00,426.556106917,35.7224176224,140.569688627,0.0,80.3315023541,83.7685254822,223.61327357,11.0463756514,49.9818,162.585097918
 01/01  20:00:00,430.096308761,35.6570884426,140.58262463,0.0,102.000620287,77.6748002752,257.308103636,8.33399231175,33.3212,215.652911324
 01/01  21:00:00,450.294866484,35.6512902587,139.270185155,0.0,108.704857014,91.4735406516,256.784500676,8.39223604098,33.3212,215.071064635
 01/01  22:00:00,423.047529042,35.8297541376,139.732458457,0.0,95.2963835608,89.1510273009,249.440858521,8.81044296809,24.9909,215.639515553
 01/01  23:00:00,369.609987604,35.8057500291,139.618309505,0.0,80.3315023541,63.3799339444,347.881641069,12.9380016803,16.6606,318.283039389
 01/01  24:00:00,305.98552127,35.7617725343,140.587905964,0.0,42.6918050922,48.4199368926,205.759661602,17.4505648566,8.3303,179.978796745
 01/02  01:00:00,252.370572865,33.1911676437,133.818813606,0.0,25.5240853573,30.610668775,111.544488033,0.00382729802524,3.33212,108.208540735
 01/02  02:00:00,260.202014375,32.7905492812,149.747371152,0.0,19.418418834,29.3649097162,84.4161731622,0.599709770201,3.33212,80.484343392
 01/02  03:00:00,249.922412267,32.657009827,147.655074028,0.0,12.7620426787,28.1191506574,83.9242301198,0.108479985351,3.33212,80.4836301344
 01/02  04:00:00,253.332373338,33.7253254605,148.907964666,0.0,12.7620426787,28.1191506574,84.0937297009,0.269320382386,3.33212,80.4922893185
 01/02  05:00:00,260.63404593,34.1526517139,148.630299118,0.0,12.7620426787,28.1191506574,111.542487019,0.0,3.33212,108.210367019
 01/02  06:00:00,283.354581292,32.8706729537,146.374436477,0.0,25.5240853573,30.610668775,194.927907587,0.00255304181538,8.3303,186.595054546
 01/02  07:00:00,389.179161838,34.793641094,150.551229934,0.0,51.0481707146,78.1489452969,334.402045902,0.202980844752,16.6606,317.538465057
 01/02  08:00:00,421.140142034,35.7617502345,137.779233297,0.0,64.3609230253,109.708623606,462.098030653,13.9713771003,24.9909,423.135753553
 01/02  09:00:00,376.50955225,35.7124931765,138.426268426,0.0,51.0481707146,80.7689615957,369.367245483,6.84443036898,33.3212,329.201615114
 01/02  10:00:00,347.642998383,36.1699274002,137.276357677,0.0,51.0481707146,71.0224615957,319.292051275,2.66097063207,66.8089,249.822180643
 01/02  11:00:00,298.456479652,36.234097601,136.757130646,0.0,32.1804615127,65.7244621605,285.691313318,5.31512317118,83.4695,196.906690147
 01/02  12:00:00,296.533752557,36.2950507971,134.299164715,0.0,32.1804615127,65.7244621605,236.982189066,7.31366936401,83.4695,146.199019702
 01/02  13:00:00,297.530018116,36.3286404641,136.09890779,0.0,32.1804615127,65.7244621605,237.438303896,7.96024379295,83.4695,146.008560103
 01/02  14:00:00,287.183598544,36.3292855124,135.294265636,0.0,32.1804615127,55.9779621605,228.672736297,7.69811673858,75.1392,145.835419559
 01/02  15:00:00,285.619077875,36.3582431824,133.705787206,0.0,32.1804615127,55.9779621605,220.616270637,8.16680788218,66.8089,145.640562755
 01/02  16:00:00,284.778999791,36.3851912612,132.854226935,0.0,32.1804615127,55.9779621605,225.654552324,7.91241276287,75.1392,142.602939561
 01/02  17:00:00,314.984088591,36.1515441427,134.037630743,0.0,32.1804615127,60.9114621605,207.126816695,3.96787224209,91.7998,111.359144453
 01/02  18:00:00,365.5629522,35.6888326716,136.081121169,0.0,32.1804615127,77.5397301883,221.886740571,9.69486415839,49.9818,162.210076413
 01/02  19:00:00,420.916280862,35.7310293403,134.657792085,0.0,77.122965704,86.2600435998,352.599633551,9.31869398218,49.9818,293.299139569
 01/02  20:00:00,428.913202423,35.7324064588,134.942406784,0.0,102.647051061,80.1663183927,258.246372974,8.60082664228,33.3212,216.324346332
 01/02  21:00:00,454.906731861,35.7298318418,135.705051268,0.0,115.40909374,92.7192997104,258.300219991,9.18262497832,33.3212,215.796395013
 01/02  22:00:00,430.430384499,35.8041908761,134.983720106,0.0,102.647051061,94.1340635361,354.628766873,9.70383499965,24.9909,319.934031873
 01/02  23:00:00,365.178169999,35.8810987175,136.38214087,0.0,77.122965704,65.871452062,274.612908713,13.4979484574,16.6606,244.454360255
 01/02  24:00:00,299.431404285,35.8346739762,138.878216948,0.0,38.286128036,48.4199368926,157.555228116,18.2504820122,8.3303,130.974446104
 01/03  01:00:00,187.784124259,31.5886941935,73.2424879352,0.0,25.5240853573,30.610668775,111.627442943,0.0837536194335,3.33212,108.211569324
 01/03  02:00:00,188.261911414,32.3899309186,79.4037212167,0.0,19.418418834,29.3649097162,83.8262384358,0.0,3.33212,80.4941184358
 01/03  03:00:00,194.217156889,33.1911676437,91.4774708863,0.0,12.7620426787,28.1191506574,83.9541920198,0.127696649309,3.33212,80.4943753705
 01/03  04:00:00,194.287728548,33.1911676437,91.5696556169,0.0,12.7620426787,28.1191506574,83.9556143045,0.124958272482,3.33212,80.498536032
 01/03  05:00:00,193.132636532,32.7905492812,84.0109078535,0.0,12.7620426787,28.1191506574,112.18773369,0.624883552524,3.33212,108.230730137
