Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,83.4144966299,14.8768415195,33.9600538921,0.0,4.12243109448,15.9888894789,63.243353184,60.2516227662,2.97173041782,0.02
 01/02  02:00:00,109.619514149,21.6332922874,53.2462068799,0.0,4.12243109448,15.9888894789,85.6851749904,82.6934445726,2.97173041782,0.02
 01/02  03:00:00,89.6657723907,15.4936693316,39.5945019012,0.0,4.12243109448,15.9888894789,55.0105623284,52.0188319106,2.97173041782,0.02
 01/02  04:00:00,114.546149627,22.7117944442,57.0711382773,0.0,4.12243109448,15.9888894789,81.0126389769,78.0209085591,2.97173041782,0.02
 01/02  05:00:00,151.978330305,28.4998908788,71.3786631359,0.0,12.3672932834,24.9413748627,92.081286134,87.1084021043,4.9528840297,0.02
 01/02  06:00:00,159.732753673,29.702111791,76.0169248845,1.91394071598,12.3672932834,24.9413748627,156.341506088,151.368622059,4.9528840297,0.02
 01/02  07:00:00,226.517898018,30.2338599982,85.1203632082,0.918417531209,24.7345865669,70.7195625826,121.015682521,111.089914461,9.90576805939,0.02
 01/02  08:00:00,251.801276764,30.8584873464,88.1216500074,0.279461607587,37.1018798503,92.3937384068,101.922504744,91.9967366844,9.90576805939,0.02
 01/02  09:00:00,262.788859438,31.0861131071,89.3718545573,0.0951371108751,37.1018798503,104.434947198,93.8866013485,83.9608332891,9.90576805939,0.02
 01/02  10:00:00,278.314136446,31.2929149304,92.7418138475,0.00199647888051,37.1018798503,116.476155989,92.3462950899,73.8165654041,9.90576805939,8.62396162648
 01/02  11:00:00,278.426261746,31.4213761739,92.7269539937,0.0,37.1018798503,116.476155989,78.5670327606,68.6412647012,9.90576805939,0.02
 01/02  12:00:00,266.868103765,31.3650433916,81.2202541416,0.00463268651207,37.1018798503,116.476155989,96.588695889,86.6629278296,9.90576805939,0.02
 01/02  13:00:00,248.664288992,31.3462849075,75.064794814,0.0167834393287,37.1018798503,104.434947198,118.670629808,100.139466483,9.90576805939,8.62539526561
 01/02  14:00:00,263.983883464,31.4746346437,78.2311129962,0.0,37.1018798503,116.476155989,107.665876666,97.7401086068,9.90576805939,0.02
 01/02  15:00:00,264.620490505,31.4918684126,78.8506111416,0.0,37.1018798503,116.476155989,113.189816375,94.6560932643,9.90576805939,8.62795505178
 01/02  16:00:00,264.592188368,31.5243501725,78.7869568424,0.00315082870334,37.1018798503,116.476155989,102.713470504,92.7877024448,9.90576805939,0.02
 01/02  17:00:00,263.486245966,31.5503440559,77.6140521492,0.0446278270399,37.1018798503,116.476155989,103.753379739,93.8276116798,9.90576805939,0.02
 01/02  18:00:00,273.459668105,31.4095822695,75.9288099674,0.0992848078242,37.1018798503,116.476155989,105.164029001,95.2382609418,9.90576805939,0.02
