Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.683217366,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.6459824527,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.7009061137,0.0,0.0,0.0,15.863942322,29.242365,6.08813070786,0.0,3.20568,2.88245070786
 01/01  04:00:00,55.6750688855,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.8710704483,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.8737155363,0.0,0.0,0.0,15.863942322,29.242365,6.08809636426,0.0,3.20568,2.88241636426
 01/01  07:00:00,55.8883350987,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,48.674674896,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  09:00:00,47.3008815143,0.0,0.0,0.0,15.863942322,29.242365,6.08939762727,0.0,3.20568,2.88371762727
 01/01  10:00:00,47.3955164912,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,47.4187754299,0.0,0.0,0.0,15.863942322,29.242365,6.08948687777,0.0,3.20568,2.88380687777
 01/01  12:00:00,48.0791470208,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,47.4429830477,0.0,0.0,0.0,15.863942322,29.242365,6.08937624809,0.0,3.20568,2.88369624809
 01/01  14:00:00,47.5064856253,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,47.5305468388,0.0,0.0,0.0,15.863942322,29.242365,6.08806250223,0.0,3.20568,2.88238250223
 01/01  16:00:00,47.5155716145,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,47.3598053866,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,54.4399569217,0.0,0.0,0.0,15.863942322,29.242365,6.08816215476,0.0,3.20568,2.88248215476
 01/01  19:00:00,55.8286568397,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,56.0554099559,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,56.1051256598,0.0,0.0,0.0,15.863942322,29.242365,6.08812808757,0.0,3.20568,2.88244808757
 01/01  22:00:00,56.0353780966,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.8154664117,0.0,0.0,0.0,15.863942322,29.242365,6.0880940271,0.0,3.20568,2.8824140271
 01/01  24:00:00,56.4391835509,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.8087927871,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  02:00:00,55.8490349833,0.0,0.0,0.0,15.863942322,29.242365,6.08946217412,0.0,3.20568,2.88378217412
 01/02  03:00:00,55.8483225438,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  04:00:00,55.8574252235,0.0,0.0,0.0,15.863942322,29.242365,6.08935407226,0.0,3.20568,2.88367407226
 01/02  05:00:00,56.1506254531,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  06:00:00,56.1238090282,0.0,0.0,0.0,15.863942322,29.242365,6.08944606644,0.0,3.20568,2.88376606644
 01/02  07:00:00,114.852003159,8.06550033388,50.1096307629,0.0,15.863942322,29.818365,6.10590507965,0.0165671732078,3.20568,2.88365790644
 01/02  08:00:00,172.474097056,7.87832893743,50.2351566457,0.0,80.527626,29.818365,3.22568,0.0,3.20568,0.02
 01/02  09:00:00,236.458464757,9.56352435905,68.673514919,0.0,80.527626,75.0917375,32.7123848762,0.0,24.0426,8.66978487625
 01/02  10:00:00,249.984166677,10.4858939541,81.2578754444,0.0,80.527626,75.0917375,41.4634161944,0.0,24.0426,17.4208161944
 01/02  11:00:00,257.724286009,11.0014185732,84.4857970736,0.0,80.527626,79.0911225,46.5895473074,0.0,32.0568,14.5327473074
 01/02  12:00:00,239.030921066,10.7713982242,65.4302031095,0.0,80.527626,79.0911225,49.5276460203,0.0,32.0568,17.4708460203
 01/02  13:00:00,225.599472347,10.730393306,52.7537589286,0.0,80.527626,79.0911225,52.4676038738,0.0,32.0568,20.4108038738
 01/02  14:00:00,224.270195037,11.2099214962,54.9316199439,0.0,80.527626,75.0917375,36.4756127945,0.0165230819416,16.0284,20.4306897125
 01/02  15:00:00,226.5761933,11.2631450477,57.1854020422,0.0,80.527626,75.0917375,30.5683110099,0.0177429010766,16.0284,14.5221681088
 01/02  16:00:00,225.399523707,11.3876971739,57.888064562,0.0,80.527626,73.092045,20.6664355709,0.0180388701937,3.20568,17.4427167007
 01/02  17:00:00,210.941401994,9.06730114593,45.7579854333,0.0,80.527626,73.092045,6.11239649027,0.019657882174,3.20568,2.88705860809
 01/02  18:00:00,162.095680289,7.90523641994,34.2078924653,0.0,80.527626,29.818365,6.09261862328,0.0,3.20568,2.88693862328
 01/02  19:00:00,163.065927376,7.87832893743,33.8121690674,0.0,80.527626,29.818365,8.97153930636,0.0,3.20568,5.76585930636
 01/02  20:00:00,162.331112688,7.87832893743,32.8865583359,0.0,80.527626,29.818365,8.97969534554,0.0,3.20568,5.77401534554
 01/02  21:00:00,159.725050102,7.87832893743,30.3131879384,0.0,80.527626,29.818365,8.97602659121,0.0,3.20568,5.77034659121
 01/02  22:00:00,55.9112361992,0.0,0.0,0.0,15.863942322,29.242365,8.97590292083,0.0,3.20568,5.77022292083
 01/02  23:00:00,55.7457902314,0.0,0.0,0.0,15.863942322,29.242365,6.09379544847,0.0,3.20568,2.88811544847
 01/02  24:00:00,56.4453880938,0.0,0.0,0.0,15.863942322,29.242365,6.09209578077,0.0,3.20568,2.88641578077
 01/03  01:00:00,55.7398789671,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  02:00:00,55.7341614342,0.0,0.0,0.0,15.863942322,29.242365,6.08937324105,0.0,3.20568,2.88369324105
 01/03  03:00:00,55.7298615973,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  04:00:00,55.7259568353,0.0,0.0,0.0,15.863942322,29.242365,6.0894678386,0.0,3.20568,2.8837878386
 01/03  05:00:00,56.9991508822,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  06:00:00,56.8123993029,0.0,0.0,0.0,15.863942322,29.242365,6.08936205502,0.0,3.20568,2.88368205502
 01/03  07:00:00,92.3076169249,7.87832893743,27.5012614846,0.0,15.863942322,29.818365,3.34527976555,0.119599765553,3.20568,0.02
 01/03  08:00:00,149.57777407,7.87832893743,27.5000053647,0.0,80.527626,29.818365,6.21853534832,0.125675658758,3.20568,2.88717968956
 01/03  09:00:00,199.662991413,8.37482723126,33.2016022199,0.0,80.527626,75.0917375,32.7190283787,0.00717631800079,24.0426,8.66925206068
 01/03  10:00:00,209.84035409,9.20080420947,42.5080078701,0.0,80.527626,75.0917375,41.462160334,0.0,24.0426,17.419560334
 01/03  11:00:00,222.94084546,10.117102264,50.6725580709,0.0,80.527626,79.0911225,46.5895890432,0.0,32.0568,14.5327890432
