Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.8897626073,2.21674762178,0.0,0.0,1.85583932782,5.577,5.81071604769,1.07074017774,3.0011,1.73887586995
 01/01  02:00:00,9.75464265065,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.84003922137,0.0,0.0,0.0,0.618613109274,5.0,3.59317545658,0.0,3.0011,0.592075456576
 01/01  04:00:00,9.82362674506,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.95884742128,0.0,0.0,0.0,0.618613109274,5.0,3.5931813486,0.0,3.0011,0.592081348596
 01/01  06:00:00,14.0003504178,2.21674762178,0.0,0.0,1.85583932782,5.577,6.83847147012,2.31682147012,4.50165,0.02
 01/01  07:00:00,28.4870793509,2.21674762178,0.0,0.0,3.71167865564,18.077,14.670046293,0.0,13.50495,1.16509629301
 01/01  08:00:00,25.9390801275,2.21674762178,0.00648901559926,0.0,3.71167865564,18.077,22.7454669063,0.0,21.0077,1.73776690632
 01/01  09:00:00,21.2833612117,2.21674762178,0.274680984907,0.0,3.71167865564,13.077,16.1706955296,0.0,15.0055,1.1651955296
 01/01  10:00:00,22.6523755118,2.21674762178,1.5340001403,0.0,3.71167865564,13.077,16.1707692239,0.0,15.0055,1.16526922388
 01/01  11:00:00,28.8184056973,2.21674762178,2.66677126936,0.0,3.71167865564,18.077,36.4750892188,0.0,33.0121,3.46298921884
 01/01  12:00:00,30.7177261969,2.21674762178,3.47316050406,0.0,3.71167865564,18.077,44.5514179243,0.0,40.51485,4.03656792427
 01/01  13:00:00,32.4246938193,2.21674762178,5.91455379901,0.0,3.71167865564,18.077,38.9004004722,0.0,36.0132,2.88720047217
 01/01  14:00:00,32.7733928511,2.21674762178,6.57515630198,0.0,3.71167865564,18.077,34.3988653044,0.0,31.51155,2.88731530442
 01/01  15:00:00,27.1296098032,2.21674762178,5.92637884226,0.0,3.71167865564,13.077,23.3202202934,0.0,21.0077,2.31252029336
 01/01  16:00:00,26.5230211225,2.21674762178,5.32977756902,0.0,3.71167865564,13.077,21.8194837955,0.0,19.50715,2.31233379552
 01/01  17:00:00,24.1064229481,2.21674762178,2.96600321684,0.0,3.71167865564,13.077,24.8209418915,0.0,22.50825,2.31269189146
 01/01  18:00:00,30.0885821849,2.21674762178,1.50677799619,0.0,3.71167865564,18.077,28.396856739,0.0,25.50935,2.88750673896
 01/01  19:00:00,29.6087774827,2.21674762178,1.09118682775,0.0,3.71167865564,18.077,28.9725713413,0.0,25.50935,3.46322134127
 01/01  20:00:00,29.1986132504,2.21674762178,0.541542088697,0.0,3.71167865564,18.077,29.5459423968,0.0,25.50935,4.03659239683
 01/01  21:00:00,25.2428265018,2.21674762178,1.53143342065,0.0,3.71167865564,13.077,25.3950823556,0.0,22.50825,2.88683235564
 01/01  22:00:00,26.8508849849,2.21674762178,3.14735119531,0.0,3.71167865564,13.077,24.4700737073,0.0,21.0077,3.46237370729
 01/01  23:00:00,25.8502272019,2.21674762178,2.30275627321,0.0,3.71167865564,13.077,20.8932331005,0.0,18.0066,2.8866331005
 01/01  24:00:00,25.5633011951,2.21674762178,0.932560361681,0.0,3.71167865564,13.077,4.73936838533,0.0,3.0011,1.73826838533
 01/02  01:00:00,15.6228509946,2.21674762178,1.32079646386,0.0,1.85583932782,5.577,4.73926415603,0.0,3.0011,1.73816415603
 01/02  02:00:00,9.9871413055,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  03:00:00,9.99610886234,0.0,0.0,0.0,0.618613109274,5.0,3.59318330898,0.0,3.0011,0.592083308983
 01/02  04:00:00,10.0122702791,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  05:00:00,10.2066785784,0.0,0.0,0.0,0.618613109274,5.0,3.59318919453,0.0,3.0011,0.592089194531
 01/02  06:00:00,16.0943623428,2.21674762178,1.81526598323,0.0,1.85583932782,5.577,4.52165,0.0,4.50165,0.02
 01/02  07:00:00,31.3506290268,2.21674762178,2.58732788279,0.0,3.71167865564,18.077,14.670082231,0.0,13.50495,1.16513223101
 01/02  08:00:00,29.7059871112,2.21674762178,3.55224110944,0.0,3.71167865564,18.077,25.6213881661,0.0,21.0077,4.61368816605
 01/02  09:00:00,24.3929266456,2.21674762178,3.23932534507,0.0,3.71167865564,13.077,19.0431659324,0.0,15.0055,4.03766593242
 01/02  10:00:00,24.9616530034,2.21674762178,3.79407915091,0.0,3.71167865564,13.077,18.4667524823,0.0,15.0055,3.46125248228
 01/02  11:00:00,30.5416474097,2.21674762178,4.37916115057,0.0,3.71167865564,18.077,35.8986070539,0.0,33.0121,2.88650705393
 01/02  12:00:00,29.5403399835,2.21674762178,2.37503640787,0.0,3.71167865564,18.077,43.9763177094,0.0,40.51485,3.46146770944
 01/02  13:00:00,28.4396218734,2.21674762178,2.089358109,0.0,3.71167865564,18.077,38.9001175105,0.0,36.0132,2.88691751049
 01/02  14:00:00,28.3599475517,2.21674762178,2.28543672967,0.0,3.71167865564,18.077,33.8246169862,0.0,31.51155,2.31306698617
 01/02  15:00:00,22.4849113806,2.21674762178,1.41226813242,0.0,3.71167865564,13.077,23.3201618145,0.0,21.0077,2.31246181445
 01/02  16:00:00,22.0020096866,2.21674762178,0.931818107212,0.0,3.71167865564,13.077,21.8195864912,0.0,19.50715,2.31243649119
 01/02  17:00:00,21.9003147481,2.21674762178,0.835449618535,0.0,3.71167865564,13.077,24.8206604241,0.0,22.50825,2.31241042413
 01/02  18:00:00,30.0186063506,2.21674762178,1.4278646482,0.0,3.71167865564,18.077,28.396634808,0.0,25.50935,2.88728480803
 01/02  19:00:00,30.0964681273,2.21674762178,1.52993807,0.0,3.71167865564,18.077,29.5466851014,0.0,25.50935,4.03733510141
 01/02  20:00:00,30.1727860608,2.21674762178,1.46848698843,0.0,3.71167865564,18.077,30.1226127332,0.0,25.50935,4.61326273322
 01/02  21:00:00,24.5676569037,2.21674762178,0.889613536349,0.0,3.71167865564,13.077,25.970988515,0.0,22.50825,3.46273851503
 01/02  22:00:00,24.0871426285,2.21674762178,0.512134145507,0.0,3.71167865564,13.077,25.0452934196,0.0,21.0077,4.03759341956
 01/02  23:00:00,23.5547401374,2.21674762178,0.109053197267,0.0,3.71167865564,13.077,21.4680782201,0.0,18.0066,3.46147822014
 01/02  24:00:00,24.5886194436,2.21674762178,0.0,0.0,3.71167865564,13.077,4.73948202079,0.0,3.0011,1.73838202079
 01/03  01:00:00,14.1729924839,2.21674762178,0.0,0.0,1.85583932782,5.577,4.77574345448,0.0365219216907,3.0011,1.73812153279
 01/03  02:00:00,9.85364406039,0.0,0.0,0.0,0.618613109274,5.0,3.5931718256,0.0,3.0011,0.592071825601
 01/03  03:00:00,9.87464838379,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  04:00:00,9.88072003347,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  05:00:00,10.6654428074,0.0,0.0,0.0,0.618613109274,5.0,3.59317772938,0.0,3.0011,0.592077729382
 01/03  06:00:00,14.7298841033,2.21674762178,0.0,0.0,1.85583932782,5.577,4.57680569643,0.055155696434,4.50165,0.02
 01/03  07:00:00,28.9047350012,2.21674762178,0.0139184042182,0.0,3.71167865564,18.077,15.242589714,0.0,13.50495,1.73763971396
 01/03  08:00:00,26.5236078926,2.21674762178,0.486085763588,0.0,3.71167865564,18.077,25.046951545,0.0,21.0077,4.03925154503
 01/03  09:00:00,21.6473762092,2.21674762178,0.596513810558,0.0,3.71167865564,13.077,19.0433367503,0.0,15.0055,4.03783675026
