Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,118.036172287,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  02:00:00,117.963670446,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  03:00:00,118.08259235,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  04:00:00,118.031915494,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  05:00:00,118.426113956,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  06:00:00,118.436996822,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  07:00:00,118.470405279,0.0,0.0,0.0,43.513341876,52.539744,13.4445175597,0.0,4.83426,8.61025755974
 01/01  08:00:00,103.397732618,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  09:00:00,100.527601763,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  10:00:00,100.722995721,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  11:00:00,100.768615245,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  12:00:00,101.517197673,0.0,0.0,0.0,43.513341876,52.539744,13.4506609659,0.0,4.83426,8.61640096595
 01/01  13:00:00,100.806666088,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,100.924251253,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  15:00:00,383.494294871,2.49885281333,277.483861873,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,322.100981962,1.99679591602,217.209271979,0.0,43.513341876,52.539744,13.4446217552,0.0,4.83426,8.6103617552
 01/01  17:00:00,240.536145098,1.42791589333,137.169068694,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,115.395116549,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,118.299498575,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.755479786,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  21:00:00,118.865353601,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  22:00:00,118.740535207,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  23:00:00,118.304092701,0.0,0.0,0.0,43.513341876,52.539744,13.4446334182,0.0,4.83426,8.61037341819
 01/01  24:00:00,119.005584899,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  01:00:00,118.298477809,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  02:00:00,118.382038865,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  03:00:00,118.380741358,0.0,0.0,0.0,43.513341876,52.539744,13.4506943388,0.0,4.83426,8.61643433878
 01/02  04:00:00,118.399097427,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  05:00:00,118.9837286,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  06:00:00,118.928463621,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  07:00:00,937.428812594,74.7130587474,733.702438335,0.0,43.513341876,53.238744,13.4604684863,0.0099444816971,4.83426,8.61626400462
 01/02  08:00:00,1108.60260407,73.4898929766,744.01640658,0.0,220.879908,53.238744,22.3340116973,0.0,4.83426,17.4997516973
 01/02  09:00:00,1189.61468195,79.8919551795,728.674499153,0.0,220.879908,145.652643033,62.6541565157,0.0,36.25695,26.3972065157
 01/02  10:00:00,1197.67951225,81.7134888294,734.327277304,0.0,220.879908,145.652643033,71.7717940616,0.0,36.25695,35.5148440616
 01/02  11:00:00,1196.64030693,82.5216124812,726.360849129,0.0,220.879908,151.653867033,83.8970385847,0.0,48.3426,35.5544385847
 01/02  12:00:00,1102.35154664,81.5577429412,633.309395891,0.0,220.879908,151.653867033,84.0088189801,0.0,48.3426,35.6662189801
 01/02  13:00:00,1056.99061869,81.2244989031,589.796806444,0.0,220.879908,151.653867033,93.034157272,0.0,48.3426,44.691557272
 01/02  14:00:00,1053.99536973,82.259283164,591.384371474,0.0,220.879908,145.652643033,68.940627473,0.0110576839074,24.1713,44.7582697891
 01/02  15:00:00,1047.29043369,82.2405844076,584.474093132,0.0,220.879908,145.652643033,59.6947563513,0.0,24.1713,35.5234563513
 01/02  16:00:00,1053.14388634,82.4670030698,597.843249502,0.0,220.879908,137.835547516,40.4214315978,0.00642204655414,4.83426,35.5807495512
 01/02  17:00:00,1094.34840668,77.7746605415,649.146673317,0.0,220.879908,133.019064,31.3528739713,0.0135368798135,4.83426,26.5050770915
 01/02  18:00:00,1016.19497099,74.9912803213,639.119011365,0.0,220.879908,53.238744,40.1646508469,0.0,4.83426,35.3303908469
 01/02  19:00:00,1023.6039829,74.5247792441,644.193759146,0.0,220.879908,53.238744,40.2784552531,0.0,4.83426,35.4441952531
 01/02  20:00:00,1025.35377667,74.2313487874,645.903140625,0.0,220.879908,53.238744,13.5110846026,0.0,4.83426,8.67682460258
 01/02  21:00:00,1022.05550458,73.9510241088,643.301578506,0.0,220.879908,53.238744,13.5018638127,0.0,4.83426,8.66760381266
 01/02  22:00:00,118.518262864,0.0,0.0,0.0,43.513341876,52.539744,13.5016202903,0.0,4.83426,8.6673602903
 01/02  23:00:00,118.177572945,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  24:00:00,119.040200848,0.0,0.0,0.0,43.513341876,52.539744,13.4626278755,0.0,4.83426,8.62836787548
 01/03  01:00:00,118.168380918,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  02:00:00,118.160976582,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  03:00:00,118.155437551,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  04:00:00,118.150161191,0.0,0.0,0.0,43.513341876,52.539744,13.4506271832,0.0,4.83426,8.61636718324
 01/03  05:00:00,120.698785034,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  06:00:00,120.327327748,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  07:00:00,816.608767755,73.3948546112,615.341401043,0.0,43.513341876,53.238744,4.87014198111,0.0158819811084,4.83426,0.02
 01/03  08:00:00,980.389583565,73.2752349241,617.913115839,0.0,220.879908,53.238744,23.3628468466,0.0,4.83426,18.5285868466
 01/03  09:00:00,1062.60614996,75.8614570494,607.491412376,0.0,220.879908,145.652643033,61.6236715809,0.0,36.25695,25.3667215809
 01/03  10:00:00,1071.81137846,77.4496797803,614.476611756,0.0,220.879908,145.652643033,71.7753305769,0.0,36.25695,35.5183805769
 01/03  11:00:00,1103.29203864,80.0748339239,637.124895664,0.0,220.879908,151.653867033,90.4218500181,0.0,48.3426,42.0792500181
 01/03  12:00:00,1121.18483629,84.8444965578,649.412791654,0.0,220.879908,151.653867033,86.3811824057,0.0,48.3426,38.0385824057
 01/03  13:00:00,1141.16894279,87.1151089578,667.937562878,0.0,220.879908,151.653867033,93.0333682003,0.0,48.3426,44.6907682003
 01/03  14:00:00,1151.48264141,86.0904191696,686.050897956,0.0,220.879908,145.652643033,68.9412519995,0.0115888753913,24.1713,44.7583631241
 01/03  15:00:00,1155.75746268,86.8258261617,689.655720838,0.0,220.879908,145.652643033,59.6988042387,0.0,24.1713,35.5275042387
 01/03  16:00:00,1146.10009002,89.3273726,684.910964132,0.0,220.879908,137.835547516,40.4161550429,0.0,4.83426,35.5818950429
 01/03  17:00:00,1154.45223843,81.5701247853,706.650999415,0.0,220.879908,133.019064,31.3492584707,0.0125660392723,4.83426,26.5024324314
 01/03  18:00:00,1064.29316918,76.0350045949,687.643436914,0.0,220.879908,53.238744,40.1674590427,0.0,4.83426,35.3331990427
 01/03  19:00:00,1059.57273994,75.1451096197,680.881041577,0.0,220.879908,53.238744,31.4238430221,0.0,4.83426,26.5895830221
 01/03  20:00:00,1050.01069369,74.6369841647,671.916956887,0.0,220.879908,53.238744,13.5103873045,0.0,4.83426,8.67612730454
 01/03  21:00:00,1039.59477955,74.2487168124,661.744446218,0.0,220.879908,53.238744,13.5019216036,0.0,4.83426,8.6676616036
