Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,47.049763502,6.58466969002,9.89910374445,0.0,12.925468867,10.100111941,1.10090574049,1.08090574049,0.0,0.02
 01/01  02:00:00,44.5654664999,6.38204137467,7.61852819132,0.0,12.925468867,10.100111941,8.13604517984,2.380353317,0.0,5.75569186284
 01/01  03:00:00,40.095180226,6.3480207257,7.80130570286,0.0,8.34152022915,10.0650221343,0.276554381678,0.256554381678,0.0,0.02
 01/01  04:00:00,38.4022156518,6.20984262433,6.24651046504,0.0,8.34152022915,10.0650221343,7.52851370014,1.77257749372,0.0,5.75593620642
 01/01  05:00:00,38.757845283,6.1045506671,5.10083613957,0.0,8.34152022915,11.6705166398,3.6605912447,3.6405912447,0.0,0.02
 01/01  06:00:00,42.9972407296,6.09095961262,5.19552731166,0.0,8.80141237637,15.3678112995,7.70614589661,1.94025509682,0.0,5.76589079979
 01/01  07:00:00,64.6476362396,6.25493784529,6.70536831315,0.0,18.5082010057,25.6353820695,7.3030942075,1.52701896222,0.0,5.77607524528
 01/01  08:00:00,77.0127749909,6.61364309059,9.79309159328,0.0,19.4926561212,41.1001056674,12.5811123782,0.999652228736,0.0,11.5814601495
 01/01  09:00:00,109.199884241,7.20377792325,17.6327371671,0.0,26.3286599382,57.9988325916,29.4588147715,0.0139579959677,0.0,29.4448567755
 01/01  10:00:00,99.3612562519,7.16008301768,23.1111499553,0.0,26.2443270014,42.8153538416,47.3328566524,0.0,18.025,29.3078566524
 01/01  11:00:00,74.3706656038,6.87353817721,22.2816775544,0.0,21.7447113004,23.4437158914,41.4177475114,0.0,18.025,23.3927475114
 01/01  12:00:00,71.8425445544,6.88232140484,22.1467828475,0.0,19.3449162599,23.4437158914,35.5430764997,0.0,18.025,17.5180764997
 01/01  13:00:00,76.1846225788,7.07794412885,26.1510431221,0.0,19.190480192,23.7425572507,35.5064530822,0.0,18.025,17.4814530822
 01/01  14:00:00,79.3780475232,7.26498503674,29.1313089532,0.0,19.260583323,23.698576057,41.3291302022,0.0,18.025,23.3041302022
 01/01  15:00:00,81.1771088117,7.39524673071,30.8001079954,0.0,19.260583323,23.698576057,35.5099163754,0.0,18.025,17.4849163754
