Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,119.615088616,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,115.384976072,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,117.427685249,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,112.500796407,0.0,0.0,0.0,3.49369000822,6.81298672936,2.9155371139,0.0,1.75125,1.1642871139
 01/01  05:00:00,115.452546199,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,114.851580358,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,152.565162711,25.4903955206,0.00755619911666,0.0,6.98738001645,14.1499734587,84.5291522624,79.8623517932,3.5025,1.16430046911
 01/01  08:00:00,157.557097659,25.4903955206,0.0,0.0,6.98738001645,14.1499734587,102.236179906,98.7136799055,3.5025,0.02
 01/01  09:00:00,199.617585528,25.4903955206,0.504907923846,0.0,6.98738001645,14.1499734587,66.2465312681,61.5796880687,3.5025,1.16434319936
 01/01  10:00:00,188.933788076,25.4903955206,1.20635542093,0.0,6.98738001645,14.1499734587,23.398654758,19.876154758,3.5025,0.02
 01/01  11:00:00,224.501716982,25.4903955206,2.79800328754,0.0,27.9495200658,27.7759469175,8.16967392282,0.0,7.005,1.16467392282
 01/01  12:00:00,249.018195026,25.4903955206,3.05757317496,0.0,27.9495200658,27.7759469175,7.025,0.0,7.005,0.02
 01/01  13:00:00,277.434505509,25.4903955206,6.73824971841,0.0,41.9242800987,36.8599292233,10.5048334294,0.0,9.34,1.16483342937
 01/01  14:00:00,281.786512576,25.4903955206,8.36363633021,0.0,41.9242800987,36.8599292233,10.5047795153,0.0,9.34,1.16477951527
 01/01  15:00:00,277.075100845,25.4903955206,9.66852488985,0.0,41.9242800987,36.8599292233,10.5046702281,0.0,9.34,1.16467022812
 01/01  16:00:00,271.765766953,25.4903955206,10.0912155443,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
 01/01  17:00:00,263.230208414,25.4903955206,7.92602182482,0.0,41.9242800987,36.8599292233,12.2441987554,1.73936932285,9.34,1.16482943256
 01/01  18:00:00,236.461644288,25.4903955206,3.55713542846,0.0,27.9495200658,27.7759469175,10.9237987074,2.75407994639,7.005,1.16471876098
 01/01  19:00:00,232.855125602,25.4903955206,1.24850317484,0.0,13.9747600329,18.6919646116,32.1689373026,27.4789373026,4.67,0.02
 01/01  20:00:00,217.452691013,25.4903955206,0.948783581732,0.0,13.9747600329,18.6919646116,51.2020768618,45.3675276576,4.67,1.16454920418
 01/01  21:00:00,212.413337044,25.4903955206,1.79595994394,0.0,13.9747600329,18.6919646116,23.3783713981,17.5438492381,4.67,1.16452216008
 01/01  22:00:00,195.960598549,25.4903955206,4.8029932948,0.0,13.9747600329,18.6919646116,5.02394776892,0.333947768923,4.67,0.02
 01/01  23:00:00,131.109604818,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,156.454269599,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554786995,0.0,1.75125,1.16429786995
 01/02  01:00:00,142.513633747,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,134.576600953,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,133.841201937,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924597637,0.0,2.335,1.16424597637
 01/02  04:00:00,133.978784197,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,142.342476473,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,141.031962316,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,195.296673878,25.4903955206,4.44014908264,0.0,13.9747600329,18.6919646116,8.11495896285,2.28070074115,4.67,1.1642582217
 01/02  08:00:00,201.992431885,25.4903955206,3.38526189788,0.0,13.9747600329,18.6919646116,6.11905960386,1.42905960386,4.67,0.02
 01/02  09:00:00,278.431225805,25.4903955206,6.14345557977,0.0,34.9369000822,32.3179380704,9.3370203828,0.0,8.1725,1.1645203828
 01/02  10:00:00,314.851060263,25.4903955206,10.139459573,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 01/02  11:00:00,309.407340849,25.4903955206,10.6474804189,0.0,62.886420148,41.4019203762,11.6723302341,0.0,10.5075,1.16483023412
 01/02  12:00:00,311.433501691,25.4903955206,7.50576733396,0.0,62.886420148,41.4019203762,12.5981811573,0.925468017438,10.5075,1.16521313986
