Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.6919679431,3.94835799584,0.0,0.0,4.58992532963,8.1892,20.1273089775,10.4373312957,3.33988,6.35009768178
 01/01  02:00:00,14.9276676579,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.9686477309,0.0,0.0,0.0,1.52997510988,7.4902,3.93195281726,0.0,3.33988,0.592072817258
 01/01  04:00:00,14.9854227061,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,15.1473617521,0.0,0.0,0.0,1.52997510988,7.4902,3.93195871946,0.0,3.33988,0.592078719463
 01/01  06:00:00,22.8646257585,3.94835799584,0.0,0.0,4.58992532963,8.1892,16.7960191067,8.42631910674,8.3497,0.02
 01/01  07:00:00,38.8541852865,3.94835799584,0.0372337349672,0.0,9.17985065927,19.4245,23.7099307454,2.97302486152,16.6994,4.03750588386
 01/01  08:00:00,43.1610143028,3.94835799584,0.0406411490433,0.0,9.17985065927,26.9147,29.086824262,0.0,25.0491,4.03772426201
 01/01  09:00:00,42.1119604547,3.94835799584,0.0304973306611,0.0,9.17985065927,26.9147,38.0104860836,0.0,33.3988,4.61168608358
 01/01  10:00:00,34.6131512913,3.94835799584,0.00708317796226,0.0,9.17985065927,19.4245,29.1446736423,0.057445274073,25.0491,4.03812836819
 01/01  11:00:00,43.1911187116,3.94835799584,1.07776194908,0.0,9.17985065927,26.9147,54.5034056385,0.0,41.7485,12.7549056385
 01/01  12:00:00,46.2818346756,3.94835799584,3.44939636979,0.0,9.17985065927,26.9147,54.5026466338,0.0,41.7485,12.7541466338
 01/01  13:00:00,45.9210483899,3.94835799584,3.74516978648,0.0,9.17985065927,26.9147,52.7400437314,0.0,41.7485,10.9915437314
 01/01  14:00:00,36.0321766467,3.94835799584,1.42213331724,0.0,9.17985065927,19.4245,43.8113985922,0.0,33.3988,10.4125985922
 01/01  15:00:00,34.7140350847,3.94835799584,0.115778389408,0.0,9.17985065927,19.4245,32.5584960855,0.0,25.0491,7.50939608546
 01/01  16:00:00,34.5824554814,3.94835799584,0.0,0.0,9.17985065927,19.4245,41.5174316696,0.0338496412241,33.3988,8.08478202833
 01/01  17:00:00,42.2296549533,3.94835799584,0.160258985676,0.0,9.17985065927,26.9147,58.1836846032,0.0,50.0982,8.08548460318
 01/01  18:00:00,47.0577600311,3.94835799584,0.749944930007,0.0,9.17985065927,26.9147,60.5120145016,0.0,50.0982,10.4138145016
 01/01  19:00:00,47.560435953,3.94835799584,1.25551222547,0.0,9.17985065927,26.9147,62.8528395084,0.0,50.0982,12.7546395084
 01/01  20:00:00,39.3961132322,3.94835799584,0.414152237463,0.0,9.17985065927,19.4245,46.7336669016,0.0,33.3988,13.3348669016
 01/01  21:00:00,39.2298861979,3.94835799584,0.260765668294,0.0,9.17985065927,19.4245,43.8120872353,0.0,33.3988,10.4132872353
