Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,955.325433832,96.0858573148,573.723046857,0.0,34.9616554283,113.312780494,533.91337867,519.528347142,5.66466996096,8.72036156776
 01/01  02:00:00,951.234265502,96.0858573148,569.43927909,0.0,34.9616554283,113.312780494,544.303063468,521.217729587,5.66466996096,17.4206639205
 01/01  03:00:00,935.187910782,96.0858573148,552.512346767,0.0,34.9616554283,113.312780494,541.262192106,518.178114294,5.66466996096,17.4194078513
 01/01  04:00:00,933.510924897,96.0858573148,550.666129771,0.0,34.9616554283,113.312780494,533.633455532,519.247614589,5.66466996096,8.72117098253
 01/01  05:00:00,946.297275546,96.0858573148,553.334467403,0.0,44.4937663224,113.312780494,534.033613689,510.949820005,5.66466996096,17.4191237231
 01/01  06:00:00,946.707268904,96.0858573148,553.797162545,0.0,44.4937663224,113.312780494,543.949598043,512.366987946,14.1616749024,17.4209351947
 01/01  07:00:00,1016.47201299,96.0858573148,550.306370598,0.0,54.0258772165,176.889270242,483.716669014,446.674402113,28.3233498048,8.71891709679
 01/01  08:00:00,1003.40360515,96.0858573148,540.913135166,0.0,54.0258772165,184.38654557,496.196256001,436.290599583,42.4850247072,17.4206317106
 01/01  09:00:00,1069.63059603,96.0858573148,530.872053224,0.0,65.1572554096,220.04316451,482.248821147,408.102729503,56.6466996096,17.4993920346
 01/01  10:00:00,1049.65956092,96.0858573148,517.431587961,0.0,65.1572554096,212.545889182,463.416565075,394.567002815,42.4850247072,26.3645375531
 01/01  11:00:00,1044.48826791,96.0858573148,503.908948559,0.0,65.1572554096,220.04316451,475.876744683,378.586823814,70.808374512,26.4815463575
 01/01  12:00:00,1039.10302446,96.0858573148,497.991313947,0.0,65.1572554096,220.04316451,470.314364864,364.197062097,70.808374512,35.3089282541
 01/01  13:00:00,1043.09251931,96.0858573148,503.138164632,0.0,65.1572554096,220.04316451,465.661888294,368.367282019,70.808374512,26.4862317635
 01/01  14:00:00,1047.34621769,96.0858573148,514.809176351,0.0,65.1572554096,212.545889182,450.597779746,367.470100571,56.6466996096,26.4809795657
 01/01  15:00:00,1057.42212235,96.0858573148,525.64247002,0.0,65.1572554096,212.545889182,440.62813613,362.835087478,42.4850247072,35.3080239454
 01/01  16:00:00,1070.81359497,96.0858573148,539.983536826,0.0,65.1572554096,212.545889182,446.695196797,363.562962478,56.6466996096,26.4855347089
 01/01  17:00:00,1047.88116868,96.0858573148,542.589720286,0.0,65.1572554096,220.04316451,484.782233886,373.331736831,84.9700494144,26.4804476407
 01/01  18:00:00,1013.0342213,96.0858573148,538.863134048,0.0,54.0258772165,184.38654557,506.20811518,394.877560531,84.9700494144,26.3605052344
 01/01  19:00:00,985.394236617,96.0858573148,541.853440281,0.0,44.4937663224,163.454314868,536.122441519,433.731772928,84.9700494144,17.4206191769
 01/01  20:00:00,979.215917555,96.0858573148,542.472482303,0.0,44.4937663224,155.95703954,514.688153751,440.622016131,56.6466996096,17.4194380106
 01/01  21:00:00,949.235375767,96.0858573148,544.052362482,0.0,44.4937663224,124.558693486,543.096384766,477.728488765,56.6466996096,8.72119639168
 01/01  22:00:00,950.230960829,96.0858573148,545.502803665,0.0,44.4937663224,124.558693486,543.842612194,483.938416296,42.4850247072,17.4191711901
 01/01  23:00:00,941.464436752,96.0858573148,546.91001856,0.0,34.9616554283,124.558693486,546.953534136,501.209196714,28.3233498048,17.4209876167
 01/01  24:00:00,942.101520814,96.0858573148,546.45882033,0.0,34.9616554283,124.558693486,528.974968278,506.094352427,14.1616749024,8.71894094872
 01/02  01:00:00,943.298971961,96.0858573148,549.01169684,0.0,46.0930336215,113.312780494,530.818151525,507.732608774,5.66466996096,17.4208727898
 01/02  02:00:00,962.452465281,96.0858573148,569.431896002,0.0,46.0930336215,113.312780494,541.283173621,518.198622325,5.66466996096,17.4198813346
 01/02  03:00:00,980.391562165,96.0858573148,588.528081476,0.0,46.0930336215,113.312780494,551.041981096,527.958564726,5.66466996096,17.4187464091
 01/02  04:00:00,987.146677472,96.0858573148,595.821794462,0.0,46.0930336215,113.312780494,547.67967811,533.294208057,5.66466996096,8.7208000921
 01/02  05:00:00,1068.73659808,96.0858573148,586.582673093,0.0,100.150657288,148.969399434,518.026972131,494.94214326,5.66466996096,17.4201589098
 01/02  06:00:00,1054.75808415,96.0858573148,569.889897135,0.0,100.150657288,149.894399434,1050.52347647,1018.94147512,14.1616749024,17.4203264464
 01/02  07:00:00,1283.90417151,96.0858573148,570.220779879,0.0,176.471037341,302.612436532,669.110040102,632.068373311,28.3233498048,8.71831698607
 01/02  08:00:00,1395.00621974,96.0858573148,569.483089478,0.0,243.2593065,310.10971186,625.643660688,556.781370516,42.4850247072,26.3772654647
 01/02  09:00:00,1423.69238017,96.0858573148,560.248593354,0.0,243.2593065,310.10971186,611.956287176,519.959471378,56.6466996096,35.3501161875
 01/02  10:00:00,1444.25012272,96.0858573148,546.643603992,0.0,243.2593065,302.612436532,572.724607723,494.753873421,42.4850247072,35.4857095955
 01/02  11:00:00,1437.17274106,96.0858573148,531.028251095,0.0,243.2593065,310.10971186,568.66383859,462.145091927,70.808374512,35.7103721516
 01/02  12:00:00,1440.06328901,96.0858573148,533.023768178,0.0,243.2593065,310.10971186,555.442221969,439.896881361,70.808374512,44.7369660961
 01/02  13:00:00,1405.09986234,96.1066494388,540.483324779,0.0,243.2593065,310.10971186,529.764528677,423.364441002,70.808374512,35.5917131624
 01/02  14:00:00,1437.18376605,96.21262392,539.224918818,0.0,243.2593065,302.612436532,505.18083314,403.803434756,56.6466996096,44.7306987748
 01/02  15:00:00,1437.03133568,96.3160341847,539.130343282,0.0,243.2593065,302.612436532,473.645717323,386.513753444,42.4850247072,44.6469391723
 01/02  16:00:00,1436.49195651,96.4096567291,538.603235327,0.0,243.2593065,302.612436532,471.077149515,378.792664887,56.6466996096,35.6377850178
 01/02  17:00:00,1447.67932877,96.5628376607,543.2214984,0.0,243.2593065,310.10971186,499.255090373,378.842921336,84.9700494144,35.442119623
 01/02  18:00:00,1467.29034739,96.7724003157,551.431106561,0.0,243.2593065,310.10971186,491.112038906,388.60874016,84.9700494144,17.533249332
 01/02  19:00:00,1213.86846155,96.0858573148,560.862802754,0.0,166.938926447,199.110933808,468.585865529,366.141090807,84.9700494144,17.4747253078
 01/02  20:00:00,1218.46079959,96.0858573148,572.935969262,0.0,166.938926447,191.61365848,457.439383174,377.540384013,56.6466996096,23.2522995511
 01/02  21:00:00,1084.35083945,96.0858573148,572.770476757,0.0,100.150657288,124.558693486,499.051842017,421.990653046,56.6466996096,20.4144893611
 01/02  22:00:00,1042.2639032,96.0858573148,570.05211602,0.0,100.150657288,124.558693486,477.654345198,426.445221499,42.4850247072,8.7240989921
 01/02  23:00:00,978.822323203,96.0858573148,574.492964036,0.0,46.0930336215,124.558693486,491.160052058,445.417386804,28.3233498048,17.4193154487
 01/02  24:00:00,988.056653818,96.0858573148,583.397920485,0.0,46.0930336215,124.558693486,483.196445617,451.61359945,14.1616749024,17.4211712645
 01/03  01:00:00,964.654097215,96.0858573148,571.772191533,0.0,46.0930336215,113.312780494,464.560228489,450.176397521,5.66466996096,8.71916100716
 01/03  02:00:00,948.560136223,96.0858573148,554.634521887,0.0,46.0930336215,113.312780494,468.99350597,445.907560456,5.66466996096,17.4212755532
 01/03  03:00:00,942.13744915,96.0858573148,547.748365708,0.0,46.0930336215,113.312780494,467.825541949,444.740647155,5.66466996096,17.4202248329
 01/03  04:00:00,941.161638107,96.0858573148,546.68951153,0.0,46.0930336215,113.312780494,468.686362485,445.60258932,5.66466996096,17.4191032041
 01/03  05:00:00,1037.13984562,96.0858573148,549.357968102,0.0,100.150657288,148.969399434,441.334463634,426.948799255,5.66466996096,8.72099441805
 01/03  06:00:00,1041.37839288,96.0858573148,553.013835012,0.0,100.150657288,149.894399434,750.628403628,719.045803722,14.1616749024,17.4209250043
