Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,211.221147516,33.2838215875,82.2733933847,0.0,34.4311606118,33.1021868926,133.073955496,6.41561917212,3.33212,123.326216324
 01/01  02:00:00,155.01847711,30.9025228416,31.1434191173,0.0,34.4311606118,33.1021868926,101.56315308,3.99375720753,3.33212,94.2372758723
 01/01  03:00:00,165.929604799,30.9025228416,59.423721278,0.0,19.466279405,30.610668775,97.5456306653,0.0,3.33212,94.2135106653
 01/01  04:00:00,178.130581642,30.9025228416,71.6073132027,0.0,19.466279405,30.610668775,97.5474096619,0.0,3.33212,94.2152896619
 01/01  05:00:00,193.34995232,33.2838215875,74.9378384143,0.0,19.466279405,30.610668775,126.649433523,0.146539933326,3.33212,123.17077359
 01/01  06:00:00,198.889535652,32.4900553389,69.9394000362,0.0,19.466279405,30.610668775,169.668438231,0.167252691047,8.3303,161.17088554
 01/01  07:00:00,303.015074145,34.0775878362,99.2871604613,0.0,42.6918050922,54.3732441037,233.856028685,0.156108310111,16.6606,217.039320375
 01/01  08:00:00,381.959018897,36.1091588652,132.546429715,0.0,49.3960418185,88.5934452969,414.088605102,19.1986625428,24.9909,369.899042559
 01/01  09:00:00,405.251659488,35.7543666708,129.60582096,0.0,57.6566862989,112.030105488,573.699025971,11.2035056773,33.3212,529.174320294
 01/01  10:00:00,347.344493563,36.2345396537,127.070593542,0.0,50.9524495726,81.1684271793,453.450298448,5.78570651808,66.8089,380.85569193
 01/01  11:00:00,300.427436697,36.4130925808,124.947041685,0.0,42.6918050922,68.9656133826,386.468769465,11.66309269,83.4695,291.336176775
 01/01  12:00:00,295.316849648,36.4427294229,123.574685635,0.0,38.286128036,68.9656133826,323.131911265,13.1808885739,83.4695,226.481522692
 01/01  13:00:00,296.319632972,36.4792710028,125.381234108,0.0,38.286128036,68.9656133826,266.875037615,13.4979250304,83.4695,169.907612585
 01/01  14:00:00,279.534302539,36.4368989051,127.597353584,0.0,31.5818913096,56.727595265,255.061084597,16.8310668079,75.1392,163.090817789
 01/01  15:00:00,280.765990393,36.4646693428,129.221353992,0.0,31.5818913096,56.727595265,253.276415232,17.0821106799,66.8089,169.385404552
 01/01  16:00:00,283.071163449,36.4903417856,132.153108107,0.0,31.5818913096,56.727595265,255.470511808,17.7317082596,75.1392,162.599603548
 01/01  17:00:00,314.192115276,36.198150589,134.470415922,0.0,31.5818913096,61.661095265,240.692962487,18.9299382045,91.7998,129.963224283
 01/01  18:00:00,356.211753147,35.7152282795,135.204392437,0.0,31.5818913096,70.9729253606,231.854017139,26.9842473846,49.9818,154.887969754
 01/01  19:00:00,419.913782221,35.7556552099,134.389029173,0.0,80.3315023541,83.7685254822,268.949995084,23.3707832115,49.9818,195.597411872
