Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,72.6886985467,13.7766711422,24.3660928288,0.0,4.12243109448,15.9888894789,61.5681748889,58.5764444711,2.97173041782,0.02
 01/02  02:00:00,80.3099089594,18.4215797561,27.1901772651,0.0,4.12243109448,15.9888894789,83.9365161128,80.944785695,2.97173041782,0.02
 01/02  03:00:00,67.6890790544,12.5876850883,20.5905865621,0.0,4.12243109448,15.9888894789,54.335080759,51.3433503412,2.97173041782,0.02
 01/02  04:00:00,83.4043527839,19.6054297573,29.1007711517,0.0,4.12243109448,15.9888894789,86.2225452629,83.2308148451,2.97173041782,0.02
 01/02  05:00:00,118.917580436,27.5849532243,39.2263652242,0.0,12.3672932834,24.9413748627,110.368596374,105.395712344,4.9528840297,0.02
 01/02  06:00:00,138.564871499,28.5713900701,46.9556979191,10.9315215376,12.3672932834,24.9413748627,178.37910434,173.406220311,4.9528840297,0.02
 01/02  07:00:00,194.619027458,29.0909449001,48.4328784451,6.84346114652,24.7345865669,70.7195625826,144.633095413,134.707327354,9.90576805939,0.02
 01/02  08:00:00,218.812097436,29.4492060053,50.4940523872,3.97146225002,37.1018798503,92.3937384068,125.725314627,115.799546568,9.90576805939,0.02
 01/02  09:00:00,228.233318586,29.5421645789,53.1924276581,3.25631958961,37.1018798503,104.434947198,120.105584583,110.179816524,9.90576805939,0.02
 01/02  10:00:00,244.011279004,29.620840526,57.3496886138,2.7566803957,37.1018798503,116.476155989,125.434862823,106.901458215,9.90576805939,8.62763654804
 01/02  11:00:00,249.389595761,29.7056332882,63.156411482,2.24291412016,37.1018798503,116.476155989,113.945441689,104.019673629,9.90576805939,0.02
 01/02  12:00:00,251.555720827,29.7982372161,65.7654176188,1.70715003521,37.1018798503,116.476155989,119.986783427,101.448916508,9.90576805939,8.63209885891
 01/02  13:00:00,239.38237485,29.9050411503,66.0557227992,1.17855140407,37.1018798503,104.434947198,108.956535429,99.0307673698,9.90576805939,0.02
 01/02  14:00:00,253.361054467,30.1162621348,68.2999167034,0.659965905968,37.1018798503,116.476155989,105.779289466,95.8535214069,9.90576805939,0.02
 01/02  15:00:00,255.629706482,30.3815799347,70.7174573222,0.246027363256,37.1018798503,116.476155989,111.371871989,92.8337766291,9.90576805939,8.6323273002
 01/02  16:00:00,256.674446028,30.5526301735,71.7445698185,0.0927711542512,37.1018798503,116.476155989,100.961016424,91.0352483642,9.90576805939,0.02
 01/02  17:00:00,253.380508022,30.5709356502,68.4594514905,0.0662388386932,37.1018798503,116.476155989,109.036219225,90.5040491998,9.90576805939,8.62640196539
 01/02  18:00:00,259.505180099,30.4347617043,62.9203292932,0.12154316248,37.1018798503,116.476155989,101.552702263,91.6269342039,9.90576805939,0.02
 01/02  19:00:00,161.828445784,27.7329344745,46.9835911231,0.0,24.7345865669,47.5788473902,74.4473797028,69.4744956731,4.9528840297,0.02
