Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.635026404,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.6338099679,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.6487527387,0.0,0.0,0.0,15.863942322,29.242365,6.08836482361,0.0,3.20568,2.88268482361
 01/01  04:00:00,55.6503652569,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.8948387821,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.8769268317,0.0,0.0,0.0,15.863942322,29.242365,6.08842409626,0.0,3.20568,2.88274409626
 01/01  07:00:00,55.8872344122,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,50.1055184185,0.0,0.0,0.0,15.863942322,29.242365,6.08833524137,0.0,3.20568,2.88265524137
 01/01  09:00:00,47.2596713209,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  10:00:00,47.2904703057,0.0,0.0,0.0,15.863942322,29.242365,6.08986291233,0.0,3.20568,2.88418291233
 01/01  11:00:00,47.2996544081,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  12:00:00,47.9760819419,0.0,0.0,0.0,15.863942322,29.242365,6.08978875096,0.0,3.20568,2.88410875096
 01/01  13:00:00,47.2776587711,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,47.3094125007,0.0,0.0,0.0,15.863942322,29.242365,6.08993862559,0.0,3.20568,2.88425862559
