Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.799605803,2.14447461824,0.0,0.0,1.85583932782,5.577,6.41512148629,1.67476257165,3.0011,1.73925891464
 01/01  02:00:00,9.77659306309,0.0,0.0,0.0,0.618613109274,5.0,3.59317664084,0.0,3.0011,0.592076640842
 01/01  03:00:00,9.82105694234,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.83662116738,0.0,0.0,0.0,0.618613109274,5.0,3.5931566839,0.0,3.0011,0.592056683897
 01/01  05:00:00,9.99844823979,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.9773633757,2.14447461824,0.0,0.0,1.85583932782,5.577,5.97820094061,0.884488330439,4.50165,0.592062610171
 01/01  07:00:00,28.477639414,2.14447461824,0.00806857122008,0.0,3.71167865564,18.077,14.6701700289,0.0,13.50495,1.16522002885
 01/01  08:00:00,26.5621466061,2.14447461824,0.00888933354981,0.0,3.71167865564,18.077,22.1729626467,0.0,21.0077,1.1652626467
 01/01  09:00:00,20.9430680278,2.14447461824,0.0,0.0,3.71167865564,13.077,16.7434728841,0.0,15.0055,1.73797288414
 01/01  10:00:00,21.0552541552,2.14447461824,0.0760767955016,0.0,3.71167865564,13.077,16.1707731868,0.0,15.0055,1.16527318678
 01/01  11:00:00,26.9284223095,2.14447461824,0.926499907546,0.0,3.71167865564,18.077,37.0505405886,0.0,33.0121,4.03844058864
 01/01  12:00:00,29.0554324875,2.14447461824,1.94910023444,0.0,3.71167865564,18.077,45.1266900528,0.0,40.51485,4.61184005283
 01/01  13:00:00,28.1803656668,2.14447461824,1.89445708825,0.0,3.71167865564,18.077,38.9010514285,0.0,36.0132,2.88785142848
 01/01  14:00:00,27.4666509694,2.14447461824,1.47692891775,0.0,3.71167865564,18.077,34.9734070358,0.0,31.51155,3.46185703577
 01/01  15:00:00,21.3436339912,2.14447461824,0.366422735341,0.0,3.71167865564,13.077,23.8940843708,0.0,21.0077,2.88638437078
 01/01  16:00:00,20.961572569,2.14447461824,0.0,0.0,3.71167865564,13.077,21.8198601946,0.0,19.50715,2.31271019463
 01/01  17:00:00,20.9184561769,2.14447461824,0.0,0.0,3.71167865564,13.077,25.3946015338,0.0,22.50825,2.8863515338
 01/01  18:00:00,28.4062229851,2.14447461824,0.0,0.0,3.71167865564,18.077,28.3977065625,0.0,25.50935,2.88835656253
 01/01  19:00:00,28.6631306293,2.14447461824,0.25431912666,0.0,3.71167865564,18.077,29.5468325794,0.0,25.50935,4.03748257943
 01/01  20:00:00,28.8348644715,2.14447461824,0.2596456556,0.0,3.71167865564,18.077,30.1211928715,0.0,25.50935,4.61184287155
 01/01  21:00:00,23.5570691994,2.14447461824,0.0,0.0,3.71167865564,13.077,25.3959705494,0.0,22.50825,2.88772054942
 01/01  22:00:00,23.4647810057,2.14447461824,0.0,0.0,3.71167865564,13.077,25.0453841414,0.0,21.0077,4.03768414137
 01/01  23:00:00,23.3385482686,2.14447461824,0.0,0.0,3.71167865564,13.077,21.4681521768,0.0,18.0066,3.46155217681
 01/01  24:00:00,24.4792606528,2.14447461824,0.0,0.0,3.71167865564,13.077,4.73916686756,0.0,3.0011,1.73806686756
 01/02  01:00:00,14.0529142524,2.14447461824,0.0,0.0,1.85583932782,5.577,4.77284527758,0.0335029637313,3.0011,1.73824231385
