Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,45.1978841371,6.21915541696,8.41248511845,0.0,12.925468867,10.100111941,2.27000030818,2.25000030818,0.0,0.02
 01/01  02:00:00,44.3183406121,6.14284990707,7.61040556978,0.0,12.925468867,10.100111941,7.72252735701,1.96440163971,0.0,5.75812571731
 01/01  03:00:00,39.0393651548,6.06057769535,7.03274101282,0.0,8.34152022915,10.0650221343,1.0984514871,1.0784514871,0.0,0.02
 01/01  04:00:00,38.5923969836,6.01432841707,6.63202106869,0.0,8.34152022915,10.0650221343,6.75246616121,0.994065235539,0.0,5.75840092567
 01/01  05:00:00,39.8175633307,5.97654439106,6.2883042785,0.0,8.34152022915,11.6705166398,6.91852775779,1.15428566429,0.0,5.7642420935
 01/01  06:00:00,43.8851729881,5.95495150543,6.21915119839,0.0,8.80141237637,15.3678112995,6.89982969028,1.12980804824,0.0,5.77002164205
 01/01  07:00:00,65.8344011025,6.14873294196,7.99790137334,0.0,18.5082010057,25.6353820695,6.74311294834,0.962679220567,0.0,5.78043372777
 01/01  08:00:00,80.7259123649,6.56671611127,11.6683981196,0.0,19.4926561212,41.1001056674,11.8396420707,0.237200870672,0.0,11.6024412
 01/01  09:00:00,109.705582947,7.08159008329,18.2596325737,0.0,26.3286599382,57.9988325916,35.4664679193,0.0,0.0,35.4664679193
 01/01  10:00:00,95.0098995295,6.85617694783,19.0630209413,0.0,26.2443270014,42.8153538416,47.4258949927,0.0,18.025,29.4008949927
 01/01  11:00:00,68.7992216102,6.49333883184,17.0899419297,0.0,21.7447113004,23.4437158914,41.4791407297,0.0,18.025,23.4541407297
 01/01  12:00:00,66.9479579677,6.52234615628,17.6118067145,0.0,19.3449162599,23.4437158914,41.4287983689,0.0,18.025,23.4037983689
