Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,118.629680242,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,118.238097392,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,118.385090402,0.0,0.0,0.0,3.49369000822,6.81298672936,2.9155326626,0.0,1.75125,1.1642826626
 01/01  04:00:00,117.918454224,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,124.869941453,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,123.906830057,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91549313304,0.0,1.75125,1.16424313304
 01/01  07:00:00,162.580994822,25.3745567646,0.0329828856595,0.0,6.98738001645,14.1499734587,91.353357436,87.830857436,3.5025,0.02
 01/01  08:00:00,172.128495752,25.3745567646,0.0,0.0,6.98738001645,14.1499734587,98.7144364626,95.1919364626,3.5025,0.02
 01/01  09:00:00,202.77866518,25.3745567646,0.0,0.0,6.98738001645,14.1499734587,86.7086056968,82.0417122772,3.5025,1.16439341964
 01/01  10:00:00,185.667051044,25.3745567646,0.0342141487891,0.0,6.98738001645,14.1499734587,74.1328419322,70.6103419322,3.5025,0.02
 01/01  11:00:00,220.641598982,25.3745567646,1.6104070045,0.0,27.9495200658,27.7759469175,55.9397542878,47.769983879,7.005,1.16477040882
 01/01  12:00:00,243.862452564,25.3745567646,1.79545524853,0.0,27.9495200658,27.7759469175,47.8841100833,39.7143805964,7.005,1.16472948685
 01/01  13:00:00,263.167784853,25.3745567646,3.34280563097,0.0,41.9242800987,36.8599292233,44.3721733103,35.0121733103,9.34,0.02
 01/01  14:00:00,261.167279892,25.3745567646,3.25739496417,0.0,41.9242800987,36.8599292233,44.6905938679,34.1857508621,9.34,1.16484300576
 01/01  15:00:00,252.438734139,25.3745567646,3.09638614619,0.0,41.9242800987,36.8599292233,47.4811342084,36.9763112881,9.34,1.16482292028
 01/01  16:00:00,245.222825541,25.3745567646,2.8202763774,0.0,41.9242800987,36.8599292233,53.3984071464,42.8935651639,9.34,1.16484198252
 01/01  17:00:00,243.952344258,25.3745567646,2.793222589,0.0,41.9242800987,36.8599292233,55.0678944107,44.5629780778,9.34,1.16491633288
 01/01  18:00:00,227.491245708,25.3745567646,1.28978391764,0.0,27.9495200658,27.7759469175,62.4020412177,55.3770412177,7.005,0.02
 01/01  19:00:00,229.481669745,25.3745567646,0.626488679991,0.0,13.9747600329,18.6919646116,72.9313512239,67.096680453,4.67,1.16467077098
 01/01  20:00:00,216.234697012,25.3745567646,0.542318230447,0.0,13.9747600329,18.6919646116,75.575944507,69.7412519856,4.67,1.16469252139
 01/01  21:00:00,204.456752865,25.3745567646,0.477875586411,0.0,13.9747600329,18.6919646116,77.454512971,72.764512971,4.67,0.02
 01/01  22:00:00,180.140167374,25.3745567646,0.466878557463,0.0,13.9747600329,18.6919646116,38.1358438957,32.3013468328,4.67,1.16449706287
 01/01  23:00:00,121.745790179,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,152.251619395,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554305072,0.0,1.75125,1.16429305072
 01/02  01:00:00,131.068033449,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,120.796484219,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,118.0323394,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  04:00:00,115.607981915,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924275462,0.0,2.335,1.16424275462
 01/02  05:00:00,121.937312984,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,121.115628634,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,170.530116404,25.3745567646,0.0277402243294,0.0,13.9747600329,18.6919646116,115.41090298,109.576640312,4.67,1.16426266846
 01/02  08:00:00,177.820328149,25.3745567646,0.0,0.0,13.9747600329,18.6919646116,123.425169503,118.735169503,4.67,0.02
 01/02  09:00:00,250.039031707,25.3745567646,0.710011631103,0.0,34.9369000822,32.3179380704,104.913014782,95.5759246824,8.1725,1.16459009949
 01/02  10:00:00,281.882439187,25.3745567646,1.98239001505,0.0,62.886420148,41.4019203762,76.5166935131,65.9891935131,10.5075,0.02
 01/02  11:00:00,280.525162487,25.3745567646,2.8380232957,0.0,62.886420148,41.4019203762,59.9473132281,48.2747905478,10.5075,1.16502268022
 01/02  12:00:00,303.648675648,25.3745567646,3.57916335325,0.0,62.886420148,41.4019203762,42.0796065741,29.2616735692,10.5075,2.31043300492
 01/02  13:00:00,294.018127812,25.3745567646,3.90838954771,0.0,62.886420148,41.4019203762,28.5294504978,16.8567545585,10.5075,1.16519593925
 01/02  14:00:00,294.045174464,25.3745567646,4.19365941279,0.0,62.886420148,41.4019203762,14.9824856315,3.30957896426,10.5075,1.16540666728
 01/02  15:00:00,288.760440992,25.3745567646,4.5656204674,0.0,62.886420148,41.4019203762,11.6725740425,0.0,10.5075,1.1650740425
