Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.8455826563,4.0901266143,0.0,0.0,4.58992532963,8.1892,13.0988046211,3.98955772866,3.33988,5.7693668924
 01/01  02:00:00,14.9653394945,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.992219455,0.0,0.0,0.0,1.52997510988,7.4902,3.93197376672,0.0,3.33988,0.592093766721
 01/01  04:00:00,15.0010513754,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,15.1671232775,0.0,0.0,0.0,1.52997510988,7.4902,3.93192791601,0.0,3.33988,0.592047916006
 01/01  06:00:00,23.0276881988,4.0901266143,0.0,0.0,4.58992532963,8.1892,12.7085490201,4.33884902013,8.3497,0.02
 01/01  07:00:00,39.0140298895,4.0901266143,0.0428341699485,0.0,9.17985065927,19.4245,20.1611627817,0.0,16.6994,3.4617627817
 01/01  08:00:00,42.2328427517,4.0901266143,0.0300063125183,0.0,9.17985065927,26.9147,29.0855431837,0.0,25.0491,4.03644318367
 01/01  09:00:00,42.2448946853,4.0901266143,0.0347925428971,0.0,9.17985065927,26.9147,36.8610225534,0.0,33.3988,3.46222255337
 01/01  10:00:00,34.7285319049,4.0901266143,0.00505243342078,0.0,9.17985065927,19.4245,28.5919291519,0.0799331070296,25.0491,3.46289604483
 01/01  11:00:00,42.3890107329,4.0901266143,0.16254817259,0.0,9.17985065927,26.9147,53.3283071438,0.0,41.7485,11.5798071438
 01/01  12:00:00,43.8064304125,4.0901266143,0.857974672332,0.0,9.17985065927,26.9147,53.3277872129,0.0,41.7485,11.5792872129
 01/01  13:00:00,44.9949298327,4.0901266143,2.68537609169,0.0,9.17985065927,26.9147,50.9966276728,0.0,41.7485,9.24812767278
 01/01  14:00:00,37.5176916856,4.0901266143,2.75884821094,0.0,9.17985065927,19.4245,42.6469862127,0.0,33.3988,9.24818621265
 01/01  15:00:00,36.090842803,4.0901266143,1.33260086722,0.0,9.17985065927,19.4245,31.9754386142,0.0,25.0491,6.92633861416
 01/01  16:00:00,35.4201127006,4.0901266143,0.667167585278,0.0,9.17985065927,19.4245,40.3256278109,0.0,33.3988,6.9268278109
 01/01  17:00:00,43.5283259996,4.0901266143,1.29752475767,0.0,9.17985065927,26.9147,57.025062066,0.0,50.0982,6.92686206603
 01/01  18:00:00,47.5647807065,4.0901266143,1.11438851537,0.0,9.17985065927,26.9147,59.3490854389,0.0,50.0982,9.25088543886
 01/01  19:00:00,47.6208988829,4.0901266143,1.18134545693,0.0,9.17985065927,26.9147,61.6792605544,0.0,50.0982,11.5810605544
 01/01  20:00:00,39.1604696206,4.0901266143,0.0953137904364,0.0,9.17985065927,19.4245,44.9955627321,0.0164654457332,33.3988,11.5802972863
 01/01  21:00:00,39.0210990539,4.0901266143,0.0,0.0,9.17985065927,19.4245,42.648162271,0.0,33.3988,9.24936227097
 01/01  22:00:00,38.9409147393,4.0901266143,0.0,0.0,9.17985065927,19.4245,36.6992499931,0.0689885461089,25.0491,11.581161447
 01/01  23:00:00,38.825503088,4.0901266143,0.0,0.0,9.17985065927,19.4245,26.0197825039,0.0720330174249,16.6994,9.24834948646
 01/01  24:00:00,39.5662261135,4.0901266143,0.0,0.0,9.17985065927,19.4245,13.5863107301,0.621719665601,8.3497,4.61489106447
 01/02  01:00:00,22.8434432148,4.0901266143,0.0,0.0,4.58992532963,8.1892,17.189343997,8.6591875246,3.33988,5.19027647245
 01/02  02:00:00,14.9363008627,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  03:00:00,14.9677624577,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
