Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,989.678005956,97.6682422685,600.538716768,0.0,34.9616554283,113.312780494,535.299964479,520.930112227,5.66466996096,8.70518229037
 01/01  02:00:00,975.535974258,97.6682422685,585.570482099,0.0,34.9616554283,113.312780494,542.41007951,519.354606779,5.66466996096,17.3908027702
 01/01  03:00:00,977.854890426,97.6682422685,587.98706542,0.0,34.9616554283,113.312780494,538.588159338,524.21803741,5.66466996096,8.70545196635
 01/01  04:00:00,981.03657874,97.6682422685,591.33458214,0.0,34.9616554283,113.312780494,552.214496744,529.158728758,5.66466996096,17.3910980248
 01/01  05:00:00,989.244184924,97.6682422685,589.151117193,0.0,44.4937663224,113.312780494,534.843313679,520.473075277,5.66466996096,8.70556844099
 01/01  06:00:00,989.677542089,97.6682422685,589.665198824,0.0,44.4937663224,113.312780494,553.900331356,522.347348473,14.1616749024,17.3913079802
 01/01  07:00:00,1063.50514483,97.6682422685,590.481109031,0.0,54.0258772165,176.889270242,499.161721877,462.132697921,28.3233498048,8.70567415027
 01/01  08:00:00,1054.9285649,97.6682422685,590.012410575,0.0,54.0258772165,184.38654557,518.849071747,458.972535503,42.4850247072,17.3915115364
 01/01  09:00:00,1134.27544762,97.6682422685,589.909065423,0.0,65.1572554096,220.04316451,511.348019155,437.242096952,56.6466996096,17.4592225936
 01/01  10:00:00,1125.40510872,97.6682422685,588.426495949,0.0,65.1572554096,212.545889182,490.911143936,430.891942956,42.4850247072,17.5341762736
 01/01  11:00:00,1126.39138542,97.6682422685,581.530750315,0.0,65.1572554096,220.04316451,519.698921011,422.495107659,70.808374512,26.39543884
 01/01  12:00:00,1123.74503105,97.6682422685,577.590474949,0.0,65.1572554096,220.04316451,511.952633506,414.746318476,70.808374512,26.3979405185
 01/01  13:00:00,1119.07842337,97.6682422685,573.726445008,0.0,65.1572554096,220.04316451,494.720994726,397.515824287,70.808374512,26.396795927
 01/01  14:00:00,1112.27620164,97.6682422685,574.420254987,0.0,65.1572554096,212.545889182,463.808331647,380.765970142,56.6466996096,26.3956618951
 01/01  15:00:00,1114.38125418,97.6682422685,576.660984917,0.0,65.1572554096,212.545889182,445.865979671,376.98642358,42.4850247072,26.3945313835
 01/01  16:00:00,1115.72244425,97.6682422685,578.143303539,0.0,65.1572554096,212.545889182,443.8778939,360.832666354,56.6466996096,26.3985279359
 01/01  17:00:00,1097.28511577,97.6682422685,585.470272969,0.0,65.1572554096,220.04316451,487.801351669,376.433938024,84.9700494144,26.3973642308
 01/01  18:00:00,1073.05511652,97.6682422685,592.991822879,0.0,54.0258772165,184.38654557,505.693180722,403.187658004,84.9700494144,17.5354733031
 01/01  19:00:00,1046.37797107,97.6682422685,596.970591522,0.0,44.4937663224,163.454314868,542.639235239,440.277052305,84.9700494144,17.39213352
 01/01  20:00:00,1053.32537203,97.6682422685,611.605649432,0.0,44.4937663224,155.95703954,516.394952032,451.042127422,56.6466996096,8.70612500063
 01/01  21:00:00,1029.07602978,97.6682422685,619.326617625,0.0,44.4937663224,124.558693486,564.044910771,490.006370915,56.6466996096,17.3918402464
 01/01  22:00:00,1015.41307174,97.6682422685,605.258412571,0.0,44.4937663224,124.558693486,542.944371056,491.753110344,42.4850247072,8.70623600516
 01/01  23:00:00,998.294781244,97.6682422685,597.745112315,0.0,34.9616554283,124.558693486,552.505582303,506.792254489,28.3233498048,17.3899780092
 01/01  24:00:00,1010.80373712,97.6682422685,609.85165017,0.0,34.9616554283,124.558693486,542.058674927,519.190655669,14.1616749024,8.70634435534
 01/02  01:00:00,1015.48819653,97.6682422685,616.074396266,0.0,46.0930336215,113.312780494,547.364615998,524.309612093,5.66466996096,17.3903339445
 01/02  02:00:00,1008.81777232,97.6682422685,609.057760558,0.0,46.0930336215,113.312780494,540.213621697,525.842362157,5.66466996096,8.70658957942
 01/02  03:00:00,1005.71849949,97.6682422685,605.770273136,0.0,46.0930336215,113.312780494,551.349960794,528.294606329,5.66466996096,17.3906845047
 01/02  04:00:00,1005.9877567,97.6682422685,606.037172571,0.0,46.0930336215,113.312780494,546.609249794,532.237844808,5.66466996096,8.7067350247
 01/02  05:00:00,1095.84882092,97.6682422685,605.432165365,0.0,100.150657288,148.969399434,523.151486222,500.094424034,5.66466996096,17.3923922276
 01/02  06:00:00,1083.67173336,97.6682422685,590.617220495,0.0,100.150657288,149.894399434,1029.96600157,1007.09744899,14.1616749024,8.70687768089
 01/02  07:00:00,1309.89423398,97.6682422685,587.872599042,0.0,176.471037341,302.612436532,681.262719132,635.548175614,28.3233498048,17.3911937131
 01/02  08:00:00,1417.23699945,97.6682422685,587.242457614,0.0,243.2593065,310.10971186,631.205860072,571.178264837,42.4850247072,17.5425705283
 01/02  09:00:00,1458.01304968,97.6682422685,586.788694208,0.0,243.2593065,310.10971186,629.050145699,545.978211266,56.6466996096,26.4252348238
