Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,162.334708085,30.7763265081,38.4671842308,0.0,34.4311606118,33.1021868926,110.375712531,0.0,3.33212,107.043592531
 01/01  02:00:00,195.729310353,30.7763265081,71.730894138,0.0,34.4311606118,33.1021868926,85.114036043,0.0,3.33212,81.781916043
 01/01  03:00:00,181.205075052,30.7763265081,74.7232221496,0.0,19.466279405,30.610668775,83.8899603305,0.0,3.33212,80.5578403305
 01/01  04:00:00,199.619504395,32.3748166769,89.5573375716,0.0,19.466279405,30.610668775,83.987991552,0.0842559505847,3.33212,80.5716156015
 01/01  05:00:00,169.205652969,31.5755715925,54.2937063399,0.0,19.466279405,30.610668775,111.522494855,0.0,3.33212,108.190374855
 01/01  06:00:00,223.966207288,33.1740617613,93.1811317683,0.0,19.466279405,30.610668775,139.560322048,0.131247266676,8.3303,131.098774782
 01/01  07:00:00,306.155729959,33.9733068457,102.295762599,0.0,42.6918050922,54.3732441037,212.257008977,0.249539986731,16.6606,195.34686899
 01/01  08:00:00,383.031326545,35.8894784933,139.412366862,0.0,49.3960418185,88.5934452969,361.136424298,18.0772063398,24.9909,318.068317958
 01/01  09:00:00,412.478949534,35.6324076228,137.314029666,0.0,57.6566862989,112.030105488,495.98244863,9.01907055682,33.3212,453.642178073
 01/01  10:00:00,356.900168598,36.1236870333,137.282751325,0.0,50.9524495726,81.1684271793,399.070092604,4.10390211297,66.8089,328.157290492
 01/01  11:00:00,313.329271337,36.2246477416,138.427491698,0.0,42.6918050922,68.9656133826,346.268280115,12.0318926846,83.4695,250.766887431
 01/01  12:00:00,309.686274942,36.2527089473,138.539714176,0.0,38.286128036,68.9656133826,295.078494625,14.247580308,83.4695,197.361414317
 01/01  13:00:00,308.573556126,36.3036924162,138.005600363,0.0,38.286128036,68.9656133826,241.81822577,12.3781101587,83.4695,145.970615611
 01/01  14:00:00,289.474040085,36.2776332083,137.819391915,0.0,31.5818913096,56.727595265,234.657198577,13.5589607636,75.1392,145.959037813
