Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,67.7667426715,12.5929978427,20.6427854139,0.0,4.12243109448,15.9888894789,58.2023379774,55.2106075595,2.97173041782,0.02
 01/02  02:00:00,91.758602536,20.9591913413,36.0829719659,0.0,4.12243109448,15.9888894789,93.2888843683,90.2971539504,2.97173041782,0.02
 01/02  03:00:00,71.1484897435,13.3828792864,23.2346511026,0.0,4.12243109448,15.9888894789,60.383847815,57.3921173972,2.97173041782,0.02
 01/02  04:00:00,85.0972355069,19.3283197883,31.0756615181,0.0,4.12243109448,15.9888894789,88.3397656363,85.3480352185,2.97173041782,0.02
 01/02  05:00:00,130.00377187,28.8719343816,49.0325709014,0.0,12.3672932834,24.9413748627,111.672236656,106.699352627,4.9528840297,0.02
 01/02  06:00:00,140.834982008,28.8833988865,52.05561912,7.79669742333,12.3672932834,24.9413748627,181.950114437,176.977230407,4.9528840297,0.02
 01/02  07:00:00,204.476708214,30.0061392483,58.8475394905,5.37828189755,24.7345865669,70.7195625826,147.992796231,138.067028171,9.90576805939,0.02
 01/02  08:00:00,224.725910956,30.3049518625,60.9316877053,3.29726995528,37.1018798503,92.3937384068,128.837001184,118.911233125,9.90576805939,0.02
 01/02  09:00:00,236.96983023,30.365622908,61.4622505881,2.90671177453,37.1018798503,104.434947198,123.34482503,113.41905697,9.90576805939,0.02
 01/02  10:00:00,250.390640099,30.4117458014,63.1432735996,2.55871921178,37.1018798503,116.476155989,128.946057382,110.416327699,9.90576805939,8.62396162348
 01/02  11:00:00,254.17176242,30.4744994303,67.3005769587,2.11926415523,37.1018798503,116.476155989,117.391386538,107.465618479,9.90576805939,0.02
 01/02  12:00:00,257.845299954,30.5514387095,71.3566241667,1.65957323566,37.1018798503,116.476155989,114.871845637,104.946077578,9.90576805939,0.02
 01/02  13:00:00,246.890543684,30.6234387047,72.7498713285,1.28131752265,37.1018798503,104.434947198,121.29518102,102.764017695,9.90576805939,8.62539526567
 01/02  14:00:00,260.789136963,30.6937463872,74.8488323529,0.968932102415,37.1018798503,116.476155989,110.645431326,100.719663267,9.90576805939,0.02
 01/02  15:00:00,263.639256219,30.8115567144,77.8751562563,0.675041999478,37.1018798503,116.476155989,115.776311208,97.2425880967,9.90576805939,8.62795505174
 01/02  16:00:00,264.825002559,30.9928914506,79.193600089,0.361290198058,37.1018798503,116.476155989,103.368057898,93.4422898382,9.90576805939,0.02
 01/02  17:00:00,263.45232934,30.9623856876,77.8460978995,0.367133544421,37.1018798503,116.476155989,106.169464609,96.2436965501,9.90576805939,0.02
 01/02  18:00:00,272.675460246,30.9204814441,75.2480384629,0.485458961695,37.1018798503,116.476155989,106.572793046,96.6470249868,9.90576805939,0.02
 01/02  19:00:00,174.338210813,28.4111702061,58.8221565008,0.0,24.7345865669,47.5788473902,85.5518058805,71.9913336897,4.9528840297,8.60758816111
 01/02  20:00:00,177.473057613,28.9596989864,61.40849029,0.0,24.7345865669,47.5788473902,81.9971523398,77.0242683101,4.9528840297,0.02
 01/02  21:00:00,149.578577046,28.0820529379,55.648596503,0.0,12.3672932834,38.6892022431,95.5480761117,92.5563456939,2.97173041782,0.02
 01/02  22:00:00,103.68828875,15.7084666073,34.0792762905,0.0,12.3672932834,27.0668015668,60.494987027,57.5032566092,2.97173041782,0.02
 01/02  23:00:00,91.3741200313,19.7889966099,36.8686840717,0.0,4.12243109448,15.9888894789,84.9894445994,81.9977141815,2.97173041782,0.02
