Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.6585460307,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.6729420703,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.670963555,0.0,0.0,0.0,15.863942322,29.242365,6.08813077419,0.0,3.20568,2.88245077419
 01/01  04:00:00,55.6670703373,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.9195063302,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.9022314169,0.0,0.0,0.0,15.863942322,29.242365,6.0880964371,0.0,3.20568,2.8824164371
 01/01  07:00:00,55.9068203442,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,47.2565757532,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  09:00:00,47.2566273407,0.0,0.0,0.0,15.863942322,29.242365,6.08939771002,0.0,3.20568,2.88371771002
 01/01  10:00:00,47.2750211476,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,47.2785995938,0.0,0.0,0.0,15.863942322,29.242365,6.08948695965,0.0,3.20568,2.88380695965
 01/01  12:00:00,47.9545264196,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,47.2807593927,0.0,0.0,0.0,15.863942322,29.242365,6.08937632954,0.0,3.20568,2.88369632954
 01/01  14:00:00,47.3312770878,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,47.3476802847,0.0,0.0,0.0,15.863942322,29.242365,6.0880625826,0.0,3.20568,2.8823825826
 01/01  16:00:00,47.3332307527,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,47.2231827817,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,55.780007373,0.0,0.0,0.0,15.863942322,29.242365,6.08816223528,0.0,3.20568,2.88248223528
 01/01  19:00:00,55.7648191235,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.9918600488,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.9623278506,0.0,0.0,0.0,15.863942322,29.242365,6.08812816822,0.0,3.20568,2.88244816822
 01/01  22:00:00,55.8382696021,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.6658403742,0.0,0.0,0.0,15.863942322,29.242365,6.0880941078,0.0,3.20568,2.8824141078
 01/01  24:00:00,56.3362481334,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.6444603782,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  02:00:00,55.6489932385,0.0,0.0,0.0,15.863942322,29.242365,6.08946225495,0.0,3.20568,2.88378225495
 01/02  03:00:00,55.6515534548,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  04:00:00,55.650371712,0.0,0.0,0.0,15.863942322,29.242365,6.08935415302,0.0,3.20568,2.88367415302
 01/02  05:00:00,55.8948192356,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  06:00:00,55.8836797979,0.0,0.0,0.0,15.863942322,29.242365,6.0894461471,0.0,3.20568,2.8837661471
 01/02  07:00:00,83.9236242587,7.86831737553,19.584209825,0.0,15.863942322,29.818365,21.5220358117,15.4326978242,3.20568,2.88365798746
 01/02  08:00:00,140.148617739,7.86831737553,19.5713127986,0.0,80.527626,29.818365,10.614103262,7.388423262,3.20568,0.02
 01/02  09:00:00,185.439318172,7.86960335604,19.5693943,0.0,80.527626,75.0917375,36.9789460967,4.26655523494,24.0426,8.66979086172
 01/02  10:00:00,187.93669103,7.97480477277,21.9300383864,0.0,80.527626,75.0917375,45.7095091909,4.24609219713,24.0426,17.4208169938
 01/02  11:00:00,200.083456128,8.39356157694,29.6328260922,0.0,80.527626,79.0911225,47.0512935138,0.461745816083,32.0568,14.5327476977
 01/02  12:00:00,208.924847368,8.76342529067,37.3622768616,0.0,80.527626,79.0911225,49.5476932328,0.0189691282341,32.0568,17.4719241046
 01/02  13:00:00,212.584067969,9.04568245382,41.4243070664,0.0,80.527626,79.0911225,52.4675729498,0.0,32.0568,20.4107729498
 01/02  14:00:00,209.86106639,9.25589999278,42.4814894642,0.0,80.527626,75.0917375,36.4933873805,0.0333239171463,16.0284,20.4316634633
 01/02  15:00:00,215.730345132,9.50166622009,48.0916970425,0.0,80.527626,75.0917375,30.5505809999,0.0,16.0284,14.5221809999
 01/02  16:00:00,216.924498178,9.87760729847,50.9009656831,0.0,80.527626,73.092045,20.6610240892,0.0126284150227,3.20568,17.4427156742
 01/02  17:00:00,203.986506473,8.2488449447,39.6015941384,0.0,80.527626,73.092045,6.12017723356,0.0274387911867,3.20568,2.88705844237
 01/02  18:00:00,161.343273502,7.86831737553,33.5680008619,0.0,80.527626,29.818365,6.09261844853,0.0,3.20568,2.88693844853
 01/02  19:00:00,162.441797791,7.86831737553,33.2655328094,0.0,80.527626,29.818365,8.97153895384,0.0,3.20568,5.76585895384
 01/02  20:00:00,163.280659032,7.86831737553,33.8375592915,0.0,80.527626,29.818365,8.97969497627,0.0,3.20568,5.77401497627
 01/02  21:00:00,162.960243347,7.86831737553,33.5427244795,0.0,80.527626,29.818365,8.97602622121,0.0,3.20568,5.77034622121
 01/02  22:00:00,55.929098578,0.0,0.0,0.0,15.863942322,29.242365,8.97590255314,0.0,3.20568,5.77022255314
 01/02  23:00:00,55.7589123301,0.0,0.0,0.0,15.863942322,29.242365,6.09379526716,0.0,3.20568,2.88811526716
 01/02  24:00:00,56.4538838652,0.0,0.0,0.0,15.863942322,29.242365,6.09209559774,0.0,3.20568,2.88641559774
 01/03  01:00:00,55.7495056906,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  02:00:00,55.7393591523,0.0,0.0,0.0,15.863942322,29.242365,6.0893730585,0.0,3.20568,2.8836930585
 01/03  03:00:00,55.7319054858,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  04:00:00,55.7339550717,0.0,0.0,0.0,15.863942322,29.242365,6.08946765626,0.0,3.20568,2.88378765626
 01/03  05:00:00,57.0269696526,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  06:00:00,56.8182421147,0.0,0.0,0.0,15.863942322,29.242365,6.0893618728,0.0,3.20568,2.8836818728
 01/03  07:00:00,93.2136374954,7.86831737553,28.4154996839,0.0,15.863942322,29.818365,4.61445196595,1.38877196595,3.20568,0.02
 01/03  08:00:00,149.719635604,7.86831737553,29.0751439983,0.0,80.527626,29.818365,6.87606930088,0.783209792374,3.20568,2.88717950851
 01/03  09:00:00,199.059154558,8.17650298846,32.7993383464,0.0,80.527626,75.0917375,32.7185269736,0.00667545924618,24.0426,8.66925151435
 01/03  10:00:00,205.232689528,8.84615589344,38.2695443313,0.0,80.527626,75.0917375,41.4621592789,0.0,24.0426,17.4195592789
 01/03  11:00:00,213.908761421,9.1969979266,42.5796644934,0.0,80.527626,79.0911225,46.5895880853,0.0,32.0568,14.5327880853
 01/03  12:00:00,226.112241874,9.62150353547,53.6355092613,0.0,80.527626,79.0911225,49.5265555135,0.0,32.0568,17.4697555135
 01/03  13:00:00,238.876178412,11.1554956049,65.5496679554,0.0,80.527626,79.0911225,52.4687791249,0.0,32.0568,20.4119791249
 01/03  14:00:00,247.505581919,13.6620490647,75.6551713681,0.0,80.527626,75.0917375,36.4949431691,0.0339307611021,16.0284,20.432612408
 01/03  15:00:00,251.723571447,14.6808017779,78.8532819927,0.0,80.527626,75.0917375,30.5511052132,0.0,16.0284,14.5227052132
 01/03  16:00:00,244.85478515,14.0234615682,74.6471483079,0.0,80.527626,73.092045,20.6704560569,0.0227009523905,3.20568,17.4420751045
 01/03  17:00:00,222.578135313,10.0705985505,56.3407423565,0.0,80.527626,73.092045,6.10923494478,0.0166393378526,3.20568,2.88691560692
 01/03  18:00:00,165.350405578,8.09822924274,37.2666381392,0.0,80.527626,29.818365,6.09284418721,0.0,3.20568,2.88716418721
 01/03  19:00:00,163.095552123,7.90689011738,33.8585965831,0.0,80.527626,29.818365,8.97128160847,0.0,3.20568,5.76560160847
 01/03  20:00:00,163.033223773,7.86831737553,33.8412930256,0.0,80.527626,29.818365,8.97945578105,0.0,3.20568,5.77377578105
 01/03  21:00:00,161.687260171,7.86831737553,32.5075341256,0.0,80.527626,29.818365,8.97579644985,0.0,3.20568,5.77011644985
 01/03  22:00:00,55.7508728047,0.0,0.0,0.0,15.863942322,29.242365,8.97568628837,0.0,3.20568,5.77000628837
 01/03  23:00:00,55.7767854465,0.0,0.0,0.0,15.863942322,29.242365,6.09411564273,0.0,3.20568,2.88843564273
