Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,117.994476551,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  02:00:00,118.026568199,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  03:00:00,118.023797227,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  04:00:00,118.016747694,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  05:00:00,118.52243978,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  06:00:00,118.488315822,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  07:00:00,118.497841248,0.0,0.0,0.0,43.513341876,52.539744,13.4431462373,0.0,4.83426,8.60888623734
 01/01  08:00:00,100.418546387,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  09:00:00,100.418949252,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  10:00:00,100.455184212,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  11:00:00,100.461694902,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  12:00:00,101.273903859,0.0,0.0,0.0,43.513341876,52.539744,13.4506332834,0.0,4.83426,8.61637328338
 01/01  13:00:00,100.459649405,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,100.555386646,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  15:00:00,100.580665515,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,100.544048755,0.0,0.0,0.0,43.513341876,52.539744,13.4445973149,0.0,4.83426,8.61033731495
 01/01  17:00:00,100.316768,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,118.203031705,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,118.172417343,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.629597681,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  21:00:00,118.576477375,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  22:00:00,118.339133986,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  23:00:00,118.001012128,0.0,0.0,0.0,43.513341876,52.539744,13.4446101981,0.0,4.83426,8.61035019811
 01/01  24:00:00,118.821635198,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  01:00:00,117.965818654,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  02:00:00,117.977605122,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  03:00:00,117.984691401,0.0,0.0,0.0,43.513341876,52.539744,13.4506707624,0.0,4.83426,8.61641076238
 01/02  04:00:00,117.983759217,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  05:00:00,118.473877522,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  06:00:00,118.453011679,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  07:00:00,564.264229618,73.1923027729,365.221738341,0.0,43.513341876,53.238744,130.781831195,117.331330452,4.83426,8.61624074291
 01/02  08:00:00,811.744410623,73.1923027729,453.648886774,0.0,220.879908,53.238744,100.7345672,78.4006063692,4.83426,17.4997008306
 01/02  09:00:00,929.720189025,73.3922211551,478.744148975,0.0,220.879908,145.652643033,63.6675966552,1.01356129205,36.25695,26.3970853631
 01/02  10:00:00,994.85247556,73.9444977304,542.580190498,0.0,220.879908,145.652643033,73.2561375597,1.48444601355,36.25695,35.5147415461
 01/02  11:00:00,1063.98653397,74.5064841856,604.298738548,0.0,220.879908,151.653867033,83.8969466187,0.0,48.3426,35.5543466187
 01/02  12:00:00,1066.12440222,74.9995767731,604.504509213,0.0,220.879908,151.653867033,84.0266023779,0.0124096928234,48.3426,35.6715926851
 01/02  13:00:00,1066.99936818,75.4760134487,605.627846051,0.0,220.879908,151.653867033,93.0337519614,0.0,48.3426,44.6911519614
 01/02  14:00:00,1059.79195724,75.9626587271,603.768043772,0.0,220.879908,145.652643033,68.9373888113,0.00951412842312,24.1713,44.7565746829
 01/02  15:00:00,1072.04960328,76.5318123597,615.104948934,0.0,220.879908,145.652643033,59.6945649909,0.0,24.1713,35.5232649909
 01/02  16:00:00,1093.16180656,77.400509237,643.195710688,0.0,220.879908,137.835547516,40.4148970645,0.0,4.83426,35.5806370645
 01/02  17:00:00,1128.11087187,74.5940307188,686.323623267,0.0,220.879908,133.019064,31.3529623075,0.0137020411078,4.83426,26.5050002664
 01/02  18:00:00,1037.19735436,73.3677731023,662.136451005,0.0,220.879908,53.238744,40.1645488197,0.0,4.83426,35.3302888197
 01/02  19:00:00,1038.96238603,73.3320951222,661.026952209,0.0,220.879908,53.238744,40.2783562699,0.0,4.83426,35.4440962699
 01/02  20:00:00,1037.64621947,73.3187833476,659.139161444,0.0,220.879908,53.238744,13.5110576425,0.0,4.83426,8.6767976425
 01/02  21:00:00,1030.28608351,73.3055776908,651.805918899,0.0,220.879908,53.238744,13.501837595,0.0,4.83426,8.66757759503
 01/02  22:00:00,118.547022973,0.0,0.0,0.0,43.513341876,52.539744,13.501594415,0.0,4.83426,8.66733441497
 01/02  23:00:00,118.194450162,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  24:00:00,119.042357838,0.0,0.0,0.0,43.513341876,52.539744,13.4626017948,0.0,4.83426,8.62834179481
 01/03  01:00:00,118.176974991,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  02:00:00,118.159769855,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  03:00:00,118.147346623,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  04:00:00,118.154163616,0.0,0.0,0.0,43.513341876,52.539744,13.4506010986,0.0,4.83426,8.61634109864
 01/03  05:00:00,120.742744648,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  06:00:00,120.325278261,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  07:00:00,814.020065281,73.207918473,612.753381388,0.0,43.513341876,53.238744,5.02263349987,0.168373499873,4.83426,0.02
 01/03  08:00:00,972.457466052,73.1923027729,612.764051773,0.0,220.879908,53.238744,22.3498922441,0.0157794398212,4.83426,17.4998528043
 01/03  09:00:00,1058.01243405,74.7301301351,603.884923972,0.0,220.879908,145.652643033,62.6594494646,0.0,36.25695,26.4024994646
 01/03  10:00:00,1057.97630846,75.7538648159,602.444226971,0.0,220.879908,145.652643033,71.7752151885,0.0,36.25695,35.5182651885
 01/03  11:00:00,1079.72308037,76.4216810871,617.367210252,0.0,220.879908,151.653867033,89.3156555778,0.0,48.3426,40.9730555778
