Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,45.1435552203,6.35999542215,8.2175697358,0.0,12.925468867,10.100111941,0.924978030289,0.904978030289,0.0,0.02
 01/01  02:00:00,44.9069911904,6.33297490523,8.00911935379,0.0,12.925468867,10.100111941,6.05587631687,0.300184469503,0.0,5.75569184737
 01/01  03:00:00,39.2708222858,6.23035220485,7.09461627426,0.0,8.34152022915,10.0650221343,0.45407687429,0.43407687429,0.0,0.02
 01/01  04:00:00,38.6855710617,6.17890495912,6.56080345923,0.0,8.34152022915,10.0650221343,6.36381323938,0.607884807629,0.0,5.75592843175
 01/01  05:00:00,40.0758036744,6.15383888297,6.36950635807,0.0,8.34152022915,11.6705166398,0.587063777925,0.567063777925,0.0,0.02
 01/01  06:00:00,44.1445431108,6.13300546038,6.30078387412,0.0,8.80141237637,15.3678112995,6.3240670666,0.558176614977,0.0,5.76589045162
 01/01  07:00:00,66.0244101179,6.31911962241,8.01796043434,0.0,18.5082010057,25.6353820695,6.35158354872,0.575508607983,0.0,5.77607494074
 01/01  08:00:00,78.7446146926,6.70662053371,11.4319538616,0.0,19.4926561212,41.1001056674,11.8563062773,0.274854125994,0.0,11.5814521513
 01/01  09:00:00,108.935941971,7.16886351778,17.4037093261,0.0,26.3286599382,57.9988325916,29.4444685502,0.0,0.0,29.4444685502
 01/01  10:00:00,93.279688487,6.88519036612,17.3044748235,0.0,26.2443270014,42.8153538416,47.332855782,0.0,18.025,29.307855782
 01/01  11:00:00,66.2311408962,6.48648375943,14.5292072655,0.0,21.7447113004,23.4437158914,41.4177543996,0.0,18.025,23.3927543996
 01/01  12:00:00,63.6563268263,6.47642836521,14.3664581592,0.0,19.3449162599,23.4437158914,35.5430912446,0.0,18.025,17.5180912446
 01/01  13:00:00,65.4533848078,6.59701917992,15.9007303382,0.0,19.190480192,23.7425572507,35.5077334295,0.0,18.025,17.4827334295
 01/01  14:00:00,67.4479747148,6.75639887482,17.7098222993,0.0,19.260583323,23.698576057,41.3291532371,0.0,18.025,23.3041532371
 01/01  15:00:00,67.9345451121,6.79539719059,18.1573938067,0.0,19.260583323,23.698576057,35.5099177147,0.0,18.025,17.4849177147
 01/01  16:00:00,67.7874966644,6.84717243198,18.2485179655,0.0,19.260583323,23.4086260847,35.5112560935,0.0,18.025,17.4862560935
