Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,119.870971646,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,120.514023401,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,119.879368216,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,119.186931513,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553711136,0.0,1.75125,1.16428711136
 01/01  05:00:00,126.687526004,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,125.89729985,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,163.943306707,25.4394003561,0.0100593685314,0.0,6.98738001645,14.1499734587,68.2365672152,63.5697604542,3.5025,1.16430676096
 01/01  08:00:00,168.945985671,25.4394003561,0.0,0.0,6.98738001645,14.1499734587,89.4336815595,85.9111815595,3.5025,0.02
 01/01  09:00:00,201.114879982,25.4394003561,0.0,0.0,6.98738001645,14.1499734587,85.1547288478,80.4878856519,3.5025,1.16434319591
 01/01  10:00:00,181.649944089,25.4394003561,0.0,0.0,6.98738001645,14.1499734587,80.1343670787,76.6118670787,3.5025,0.02
 01/01  11:00:00,214.947422076,25.4394003561,1.17386633788,0.0,27.9495200658,27.7759469175,66.4267179984,58.2570440802,7.005,1.16467391818
 01/01  12:00:00,238.918561542,25.4394003561,1.25781376164,0.0,27.9495200658,27.7759469175,59.0800640751,52.0550640751,7.005,0.02
 01/01  13:00:00,258.771399348,25.4394003561,2.79711191354,0.0,41.9242800987,36.8599292233,41.393929849,30.8890980171,9.34,1.16483183189
 01/01  14:00:00,259.394467818,25.4394003561,3.02648255448,0.0,41.9242800987,36.8599292233,29.6104599011,19.1056804554,9.34,1.16477944573
 01/01  15:00:00,253.008756232,25.4394003561,3.17843070585,0.0,41.9242800987,36.8599292233,26.9840218362,16.4793516665,9.34,1.16467016964
 01/01  16:00:00,248.072308232,25.4394003561,3.26259151553,0.0,41.9242800987,36.8599292233,22.5162860524,13.1562860524,9.34,0.02
 01/01  17:00:00,246.265043458,25.4394003561,3.15461838641,0.0,41.9242800987,36.8599292233,33.0359970469,22.5311676714,9.34,1.16482937545
 01/01  18:00:00,227.216348995,25.4394003561,1.41082358127,0.0,27.9495200658,27.7759469175,53.5026307707,45.3329120818,7.005,1.16471868886
 01/01  19:00:00,228.037906185,25.4394003561,0.644336125276,0.0,13.9747600329,18.6919646116,67.1934435826,62.5034435826,4.67,0.02
 01/01  20:00:00,212.773963612,25.4394003561,0.433812824617,0.0,13.9747600329,18.6919646116,79.8426090801,74.0080599238,4.67,1.16454915632
 01/01  21:00:00,199.754260865,25.4394003561,0.308849061808,0.0,13.9747600329,18.6919646116,86.0112937728,80.1768338523,4.67,1.16445992042
 01/01  22:00:00,178.27464127,25.4394003561,0.401866990775,0.0,13.9747600329,18.6919646116,38.0963682208,33.4063682208,4.67,0.02
 01/01  23:00:00,120.825871072,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,150.577540426,0.0,0.0,0.0,3.49369000822,6.81298672936,2.9155478422,0.0,1.75125,1.1642978422
 01/02  01:00:00,128.992971937,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,120.220341998,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,119.551912884,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924594724,0.0,2.335,1.16424594724
 01/02  04:00:00,118.888503853,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,125.942114992,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,125.521110032,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,176.436004908,25.4394003561,0.0246239375308,0.0,13.9747600329,18.6919646116,71.2733465576,65.4391210177,4.67,1.16422553995
 01/02  08:00:00,181.46750756,25.4394003561,0.0916015192128,0.0,13.9747600329,18.6919646116,89.7362484944,85.0462484944,4.67,0.02
 01/02  09:00:00,255.760403673,25.4394003561,1.17366341942,0.0,34.9369000822,32.3179380704,82.2018178077,72.8647974536,8.1725,1.16452035419
 01/02  10:00:00,285.797313549,25.4394003561,2.58361927452,0.0,62.886420148,41.4019203762,63.0769911401,52.5494911401,10.5075,0.02
 01/02  11:00:00,282.869407348,25.4394003561,3.03836905719,0.0,62.886420148,41.4019203762,52.0413129826,40.3689827778,10.5075,1.16483020481
 01/02  12:00:00,304.560195047,25.4394003561,3.75012808825,0.0,62.886420148,41.4019203762,35.2833039878,23.6105940643,10.5075,1.16520992356
