Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.7305116783,3.96624705821,0.00930620091532,0.0,4.58992532963,8.1892,14.825878487,5.13670222538,3.33988,6.34929626166
 01/01  02:00:00,14.9283883955,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.9540986432,0.0,0.0,0.0,1.52997510988,7.4902,3.93195420696,0.0,3.33988,0.592074206955
 01/01  04:00:00,14.9579311634,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,15.1134111067,0.0,0.0,0.0,1.52997510988,7.4902,3.93196010695,0.0,3.33988,0.592080106953
 01/01  06:00:00,22.8372128194,3.96624705821,0.0,0.0,4.58992532963,8.1892,25.9492852098,17.5795852098,8.3497,0.02
 01/01  07:00:00,38.8136314441,3.96624705821,0.0315887241335,0.0,9.17985065927,19.4245,33.6072606645,12.8703459009,16.6994,4.03751476357
 01/01  08:00:00,43.0974467135,3.96624705821,0.027837784261,0.0,9.17985065927,26.9147,30.0367709957,0.949968996854,25.0491,4.0377019988
 01/01  09:00:00,42.0578249385,3.96624705821,0.0254713721531,0.0,9.17985065927,26.9147,38.0106523985,0.0,33.3988,4.61185239847
 01/01  10:00:00,34.5545979222,3.96624705821,0.0,0.0,9.17985065927,19.4245,32.5620558263,3.47452434113,25.0491,4.03843148512
 01/01  11:00:00,42.0819593006,3.96624705821,0.0147642178783,0.0,9.17985065927,26.9147,54.5086164554,0.00417909068011,41.7485,12.7559373647
 01/01  12:00:00,43.135353466,3.96624705821,0.319527385265,0.0,9.17985065927,26.9147,54.5031929,0.0,41.7485,12.7546929
 01/01  13:00:00,44.781784436,3.96624705821,2.59984308969,0.0,9.17985065927,26.9147,52.739264065,0.0,41.7485,10.990764065
 01/01  14:00:00,37.3484938936,3.96624705821,2.7101392269,0.0,9.17985065927,19.4245,43.8120209413,0.0,33.3988,10.4132209413
 01/01  15:00:00,36.8326629037,3.96624705821,2.18618587154,0.0,9.17985065927,19.4245,32.5572648461,0.0,25.0491,7.50816484612
 01/01  16:00:00,37.5322343931,3.96624705821,2.87149003712,0.0,9.17985065927,19.4245,41.4835955922,0.0,33.3988,8.08479559223
 01/01  17:00:00,45.5274690531,3.96624705821,3.38842150934,0.0,9.17985065927,26.9147,58.1830914761,0.0,50.0982,8.08489147609
 01/01  18:00:00,47.1959698595,3.96624705821,1.94983775549,0.0,9.17985065927,26.9147,60.5119408331,0.0,50.0982,10.4137408331
 01/01  19:00:00,47.9614271103,3.96624705821,1.68337900393,0.0,9.17985065927,26.9147,62.8527214066,0.0,50.0982,12.7545214066
 01/01  20:00:00,39.6293942981,3.96624705821,0.679143258055,0.0,9.17985065927,19.4245,46.7337092486,0.0,33.3988,13.3349092486
 01/01  21:00:00,39.7074778672,3.96624705821,0.75599768017,0.0,9.17985065927,19.4245,43.8121197627,0.0,33.3988,10.4133197627
 01/01  22:00:00,38.9411988523,3.96624705821,0.0723253641989,0.0,9.17985065927,19.4245,37.8031235218,0.0,25.0491,12.7540235218
 01/01  23:00:00,38.7279561786,3.96624705821,0.0,0.0,9.17985065927,19.4245,27.2076970735,0.0946494927267,16.6994,10.4136475807
 01/01  24:00:00,39.4776934942,3.96624705821,0.0,0.0,9.17985065927,19.4245,14.2394652796,0.12340261308,8.3497,5.76636266654
