Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,946.856717937,96.1670112077,565.1154734,0.0,34.9616554283,113.312780494,508.018100112,493.633136266,5.66466996096,8.72029388487
 01/01  02:00:00,957.004672678,96.1670112077,576.000735844,0.0,34.9616554283,113.312780494,524.867045322,501.781771329,5.66466996096,17.4206040318
 01/01  03:00:00,955.555047954,96.1670112077,574.577826311,0.0,34.9616554283,113.312780494,527.557368074,504.473317559,5.66466996096,17.4193805541
 01/01  04:00:00,957.975189153,96.1670112077,577.154605301,0.0,34.9616554283,113.312780494,524.170192601,509.784363505,5.66466996096,8.72115913421
 01/01  05:00:00,970.16754354,96.1670112077,579.202993785,0.0,44.4937663224,113.312780494,525.381178882,502.297405325,5.66466996096,17.4191035958
 01/01  06:00:00,971.421225169,96.1670112077,580.599342706,0.0,44.4937663224,113.312780494,535.805267945,504.222678796,14.1616749024,17.4209142469
 01/01  07:00:00,1043.21923147,96.1670112077,579.263373727,0.0,54.0258772165,176.889270242,479.174017404,442.131759964,28.3233498048,8.71890763534
 01/01  08:00:00,1037.36894399,96.1670112077,577.58207796,0.0,54.0258772165,184.38654557,496.539859237,436.634223591,42.4850247072,17.4206109379
 01/01  09:00:00,1109.91257821,96.1670112077,574.349362966,0.0,65.1572554096,220.04316451,488.203705489,414.057634125,56.6466996096,17.4993717542
 01/01  10:00:00,1094.8824449,96.1670112077,566.314092524,0.0,65.1572554096,212.545889182,472.587314386,403.737784782,42.4850247072,26.364504897
 01/01  11:00:00,1094.00086447,96.1670112077,557.391613789,0.0,65.1572554096,220.04316451,475.998636771,378.708741576,70.808374512,26.4815206824
 01/01  12:00:00,1088.5815287,96.1670112077,550.516457585,0.0,65.1572554096,220.04316451,467.640342185,361.523081261,70.808374512,35.3088864124
 01/01  13:00:00,1081.02644954,96.1670112077,543.640497615,0.0,65.1572554096,220.04316451,445.668519059,348.373945062,70.808374512,26.4861994846
 01/01  14:00:00,1075.10677744,96.1670112077,545.326150418,0.0,65.1572554096,212.545889182,426.511684646,343.384030099,56.6466996096,26.4809549365
 01/01  15:00:00,1070.37879511,96.1670112077,540.279102995,0.0,65.1572554096,212.545889182,418.287951253,340.494943972,42.4850247072,35.3079825739
 01/01  16:00:00,1063.17766982,96.1670112077,532.617583748,0.0,65.1572554096,212.545889182,416.106861908,332.974659547,56.6466996096,26.4855027521
 01/01  17:00:00,1041.36264288,96.1670112077,536.34164313,0.0,65.1572554096,220.04316451,454.090561203,342.640088541,84.9700494144,26.4804232468
 01/01  18:00:00,1009.7466967,96.1670112077,539.953213241,0.0,54.0258772165,184.38654557,479.715746571,368.385221044,84.9700494144,26.3604761122
 01/01  19:00:00,986.909148781,96.1670112077,543.816736385,0.0,44.4937663224,163.454314868,511.99669488,409.606047304,84.9700494144,17.4205981618
 01/01  20:00:00,982.257774604,96.1670112077,546.055078623,0.0,44.4937663224,155.95703954,490.691465808,416.625347121,56.6466996096,17.4194190774
 01/01  21:00:00,942.738169106,96.1670112077,537.433815852,0.0,44.4937663224,124.558693486,514.577205918,449.209320413,56.6466996096,8.72118589535
 01/01  22:00:00,941.486884471,96.1670112077,536.515372411,0.0,44.4937663224,124.558693486,514.989785927,455.085608656,42.4850247072,17.4191525636
 01/01  23:00:00,938.895575874,96.1670112077,544.499187241,0.0,34.9616554283,124.558693486,520.645854191,474.901536714,28.3233498048,17.4209676723
 01/01  24:00:00,942.508065911,96.1670112077,547.252340565,0.0,34.9616554283,124.558693486,504.731923899,481.851317089,14.1616749024,8.71893190822
 01/02  01:00:00,935.431853701,96.1670112077,540.952751221,0.0,46.0930336215,113.312780494,504.576935899,481.491413034,5.66466996096,17.4208529043
 01/02  02:00:00,932.238666273,96.1670112077,537.518837568,0.0,46.0930336215,113.312780494,505.947528597,482.8629967,5.66466996096,17.4198619365
 01/02  03:00:00,932.61715361,96.1670112077,537.893434789,0.0,46.0930336215,113.312780494,508.571331188,485.487933276,5.66466996096,17.4187279516
 01/02  04:00:00,932.74556253,96.1670112077,538.031170665,0.0,46.0930336215,113.312780494,502.411134572,488.025674868,5.66466996096,8.7207897431
 01/02  05:00:00,1022.61402149,96.1670112077,537.428489532,0.0,100.150657288,148.969399434,477.596244728,454.511434227,5.66466996096,17.4201405396
 01/02  06:00:00,1016.4340877,96.1670112077,528.922811223,0.0,100.150657288,149.894399434,991.330563635,959.748581879,14.1616749024,17.420306854
 01/02  07:00:00,1245.08213354,96.1670112077,528.759079961,0.0,176.471037341,302.612436532,622.724369773,585.682918203,28.3233498048,8.71810176566
 01/02  08:00:00,1356.25071434,96.1670112077,528.130341866,0.0,243.2593065,310.10971186,581.567260693,512.704777607,42.4850247072,26.3774583785
 01/02  09:00:00,1393.06341429,96.1670112077,527.571389103,0.0,243.2593065,310.10971186,571.288461893,479.291685462,56.6466996096,35.3500768208
 01/02  10:00:00,1421.83997842,96.1771185282,522.78125891,0.0,243.2593065,302.612436532,524.160222308,446.1895266,42.4850247072,35.485671001
 01/02  11:00:00,1423.65465204,96.2047704733,516.781279485,0.0,243.2593065,310.10971186,520.463505537,413.944809754,70.808374512,35.7103212708
 01/02  12:00:00,1422.92062779,96.2231974898,514.846443053,0.0,243.2593065,310.10971186,511.312581849,395.767287687,70.808374512,44.7369196501
 01/02  13:00:00,1376.9468056,96.305197006,510.254682034,0.0,243.2593065,310.10971186,480.180492754,373.780452189,70.808374512,35.5916660528
 01/02  14:00:00,1410.09531831,96.4711296761,509.942232919,0.0,243.2593065,302.612436532,465.516375935,364.138851487,56.6466996096,44.7308248388
 01/02  15:00:00,1414.0238195,96.7747856325,513.930350703,0.0,243.2593065,302.612436532,442.839409222,355.707491562,42.4850247072,44.6468929522
 01/02  16:00:00,1414.24692729,97.1289865911,514.17927848,0.0,243.2593065,302.612436532,446.439157876,354.154719787,56.6466996096,35.6377384795
 01/02  17:00:00,1420.47907573,97.5866871472,512.893612876,0.0,243.2593065,310.10971186,469.149218312,348.737090029,84.9700494144,35.4420788687
 01/02  18:00:00,1436.53840701,97.8833405537,517.356315881,0.0,243.2593065,310.10971186,457.788109683,355.284830171,84.9700494144,17.5332300972
 01/02  19:00:00,1177.86557715,96.1670112077,522.390751177,0.0,166.938926447,199.110933808,436.29782036,333.853066767,84.9700494144,17.4747041783
 01/02  20:00:00,1173.6448786,96.1670112077,525.073577674,0.0,166.938926447,191.61365848,421.829751199,342.660254947,56.6466996096,22.522796642
 01/02  21:00:00,1042.07459538,96.1670112077,527.588293134,0.0,100.150657288,124.558693486,465.196087567,387.405278609,56.6466996096,21.1441093484
 01/02  22:00:00,1003.21363894,96.1670112077,528.355627122,0.0,100.150657288,124.558693486,444.725881998,393.51676951,42.4850247072,8.7240877806
 01/02  23:00:00,936.2636558,96.1670112077,529.156909641,0.0,46.0930336215,124.558693486,456.710590071,410.967944447,28.3233498048,17.4192958189
 01/02  24:00:00,938.7700339,96.1670112077,531.008238011,0.0,46.0930336215,124.558693486,447.35168273,415.768857299,14.1616749024,17.4211505285
 01/03  01:00:00,926.568201654,96.1670112077,531.487552303,0.0,46.0930336215,113.312780494,434.385885038,420.002063456,5.66466996096,8.71915162044
 01/03  02:00:00,926.532686527,96.1670112077,531.494015585,0.0,46.0930336215,113.312780494,445.761370693,422.675445812,5.66466996096,17.4212549204
 01/03  03:00:00,926.656626489,96.1670112077,531.648279071,0.0,46.0930336215,113.312780494,448.140362131,425.055487458,5.66466996096,17.4202047126
 01/03  04:00:00,926.813902182,96.1670112077,531.837178004,0.0,46.0930336215,113.312780494,450.21406157,427.130307547,5.66466996096,17.4190840619
 01/03  05:00:00,1017.7924458,96.1670112077,529.068638226,0.0,100.150657288,148.969399434,420.8601768,406.47452315,5.66466996096,8.72098368832
 01/03  06:00:00,1011.56948728,96.1670112077,521.624808042,0.0,100.150657288,149.894399434,678.703400847,647.120819786,14.1616749024,17.4209061589
 01/03  07:00:00,1233.35754569,96.3625584,515.050883499,0.0,176.471037341,302.612436532,483.514674333,437.77056652,28.3233498048,17.4207580078
 01/03  08:00:00,1339.8705061,96.6598689198,510.36964853,0.0,243.2593065,310.10971186,467.13684796,398.273221456,42.4850247072,26.3786017971
