Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,203.507333403,32.9075276702,75.4709605486,0.0,34.4311606118,33.1021868926,127.353683028,0.685147591436,3.33212,123.336415436
 01/01  02:00:00,161.432087331,30.9126221705,37.5206720044,0.0,34.4311606118,33.1021868926,97.5729839161,0.0,3.33212,94.2408639161
 01/01  03:00:00,192.570635632,33.3065087701,80.8999107581,0.0,19.466279405,30.610668775,97.6635811881,0.102423559431,3.33212,94.2290376287
 01/01  04:00:00,136.243626244,30.9126221705,29.8573558173,0.0,19.466279405,30.610668775,104.370323344,6.81168647109,3.33212,94.2265168726
 01/01  05:00:00,184.798043075,32.5085465703,68.2207057228,0.0,19.466279405,30.610668775,139.098294045,12.6085459271,3.33212,123.157628118
 01/01  06:00:00,169.382051832,31.7105843704,42.4227709699,0.0,19.466279405,30.610668775,183.718341918,14.2308567125,8.3303,161.157185205
 01/01  07:00:00,311.356125222,34.7428407299,106.184004476,0.0,42.6918050922,54.3732441037,247.188452971,13.4951181105,16.6606,217.032734861
 01/01  08:00:00,384.627298808,36.0310942486,139.491903692,0.0,49.3960418185,88.5934452969,420.627732981,25.7357045946,24.9909,369.901128386
 01/01  09:00:00,411.368769737,35.7728550837,137.345912456,0.0,57.6566862989,112.030105488,573.868867344,11.3552735407,33.3212,529.192393803
 01/01  10:00:00,355.063025342,36.2705785475,136.50372855,0.0,50.9524495726,81.1684271793,452.190862293,4.54048542346,66.8089,380.84147687
 01/01  11:00:00,309.457121739,36.4457593083,135.414110899,0.0,42.6918050922,68.9656133826,382.396531818,7.59088383644,83.4695,291.336147982
 01/01  12:00:00,304.760829971,36.4920657708,134.211306836,0.0,38.286128036,68.9656133826,317.68594467,7.73480751299,83.4695,226.481637157
 01/01  13:00:00,303.58389129,36.5428014618,133.389675493,0.0,38.286128036,68.9656133826,259.935187217,6.55820622037,83.4695,169.907480996
 01/01  14:00:00,286.312498975,36.4813460748,135.119358756,0.0,31.5818913096,56.727595265,247.869922695,9.63978231109,75.1392,163.090940384
 01/01  15:00:00,286.984224476,36.5093359741,135.624703511,0.0,31.5818913096,56.727595265,247.213639941,11.0195963313,66.8089,169.38514361
 01/01  16:00:00,286.677873999,36.5356732085,134.844417862,0.0,31.5818913096,56.727595265,249.261275811,11.522348749,75.1392,162.599727062
 01/01  17:00:00,317.052833685,36.2698637832,136.520220111,0.0,31.5818913096,61.661095265,234.187188294,12.4240692032,91.7998,129.963319091
 01/01  18:00:00,357.737283514,35.7859864766,136.48812293,0.0,31.5818913096,70.9729253606,224.782834049,19.9133267859,49.9818,154.887707263
 01/01  19:00:00,420.078309798,35.8207617728,134.47525872,0.0,80.3315023541,83.7685254822,262.987299776,17.408075107,49.9818,195.597424669
 01/01  20:00:00,422.887628748,35.748246043,133.333842902,0.0,102.000620287,77.6748002752,293.704666489,12.8147725813,33.3212,247.568693908
 01/01  21:00:00,441.80744307,35.7249617314,131.340063863,0.0,108.704857014,91.4735406516,293.531575793,11.924654022,33.3212,248.285721771
 01/01  22:00:00,412.911321947,35.8465040629,130.401700385,0.0,95.2963835608,89.1510273009,293.0184745,14.4375547915,24.9909,253.590019709
 01/01  23:00:00,361.047111541,35.8336934444,132.104903508,0.0,80.3315023541,63.3799339444,404.978380965,19.9250490016,16.6606,368.392731963
 01/01  24:00:00,299.270057905,35.8038961041,134.975290718,0.0,42.6918050922,48.4199368926,249.052372976,25.7019833162,8.3303,215.02008966
 01/02  01:00:00,198.325306067,32.9075276702,81.4457951954,0.0,25.5240853573,30.610668775,127.217236917,0.697169824785,3.33212,123.187947092
 01/02  02:00:00,168.647378595,30.9126221705,63.2579910303,0.0,19.418418834,29.3649097162,97.4566945001,0.0,3.33212,94.1245745001
 01/02  03:00:00,186.340677596,33.3065087701,83.6211607147,0.0,12.7620426787,28.1191506574,97.5538376026,0.0983489862304,3.33212,94.1233686164
 01/02  04:00:00,188.184038702,33.3065087701,85.5163265077,0.0,12.7620426787,28.1191506574,97.5715655457,0.115968618893,3.33212,94.1234769268
 01/02  05:00:00,186.356501136,32.9075276702,78.0640884099,0.0,12.7620426787,28.1191506574,127.199820848,0.671668554432,3.33212,123.196032294
