Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,72.1501084112,12.550143393,25.0901073624,0.0,4.12243109448,15.9888894789,51.7591599807,48.7674295629,2.97173041782,0.02
 01/02  02:00:00,86.7190566956,19.372692835,32.6264013844,0.0,4.12243109448,15.9888894789,86.3778482849,83.3861178671,2.97173041782,0.02
 01/02  03:00:00,68.6247780416,11.5847477474,22.5535177228,0.0,4.12243109448,15.9888894789,48.0372752514,45.0455448335,2.97173041782,0.02
 01/02  04:00:00,84.2990085493,18.4921158879,31.1102752533,0.0,4.12243109448,15.9888894789,84.4666463268,81.474915909,2.97173041782,0.02
 01/02  05:00:00,132.550174402,28.2409104306,52.2051941462,0.0,12.3672932834,24.9413748627,107.622756134,102.649872104,4.9528840297,0.02
 01/02  06:00:00,137.742401326,28.3240875433,54.0354517407,3.27879223983,12.3672932834,24.9413748627,176.018146365,171.045262336,4.9528840297,0.02
 01/02  07:00:00,203.091867357,29.5341439537,61.3411397879,1.96703282637,24.7345865669,70.7195625826,142.266335974,132.340567915,9.90576805939,0.02
 01/02  08:00:00,227.129330689,29.8548704869,63.5522895141,1.17615168994,37.1018798503,92.3937384068,123.220253584,113.294485525,9.90576805939,0.02
 01/02  09:00:00,237.354282529,29.9612938673,64.2099214351,0.94285211551,37.1018798503,104.434947198,117.594684764,107.668916704,9.90576805939,0.02
 01/02  10:00:00,252.444892849,30.1484233539,67.6322989971,0.382293340695,37.1018798503,116.476155989,121.829055779,103.295650416,9.90576805939,8.62763730311
 01/02  11:00:00,256.949252168,30.4214522303,72.1095819147,0.135773425234,37.1018798503,116.476155989,109.364678054,99.4389099944,9.90576805939,0.02
 01/02  12:00:00,258.987704492,30.6688326352,73.9430185414,0.0931296569513,37.1018798503,116.476155989,115.043850447,96.5059533269,9.90576805939,8.63212906092
 01/02  13:00:00,250.740573578,31.0435109471,77.4151469422,0.0410484838344,37.1018798503,104.434947198,100.175810124,90.2500420651,9.90576805939,0.02
 01/02  14:00:00,264.988707248,31.2768168482,79.4278998681,0.0012730425706,37.1018798503,116.476155989,94.3361149586,84.4103468992,9.90576805939,0.02
 01/02  15:00:00,265.120534127,31.457789188,79.3802954307,0.0,37.1018798503,116.476155989,104.182564682,85.6444687433,9.90576805939,8.63232787888
 01/02  16:00:00,264.865915475,31.471317886,79.1123149475,0.0,37.1018798503,116.476155989,97.1187225574,87.192954498,9.90576805939,0.02
 01/02  17:00:00,263.488544382,31.4293285143,77.7775261116,0.0,37.1018798503,116.476155989,106.460492897,87.9283220199,9.90576805939,8.62640281802
 01/02  18:00:00,271.495730581,31.2044965821,74.2648803935,0.0,37.1018798503,116.476155989,99.4185535466,89.4927854872,9.90576805939,0.02
 01/02  19:00:00,171.689456656,28.0076590095,56.5720697427,0.0,24.7345865669,47.5788473902,72.3236181172,67.3507340875,4.9528840297,0.02
 01/02  20:00:00,172.417598509,28.4317525023,56.8761128675,0.0,24.7345865669,47.5788473902,78.0278799685,73.0549959388,4.9528840297,0.02
 01/02  21:00:00,144.968680397,27.6895888899,51.4262913043,0.0,12.3672932834,38.6892022431,92.0604424559,89.068712038,2.97173041782,0.02
 01/02  22:00:00,98.7959302425,15.1070555355,29.785727396,0.0,12.3672932834,27.0668015668,63.8805534292,52.3034105511,2.97173041782,8.60541246029
 01/02  23:00:00,93.5528351995,20.3056985192,38.5271733925,0.0,4.12243109448,15.9888894789,82.037296973,79.0455665552,2.97173041782,0.02
 01/02  24:00:00,68.4069703855,12.3280772586,21.5456898266,0.0,4.12243109448,15.9888894789,55.933210429,52.9414800112,2.97173041782,0.02
 01/03  01:00:00,92.2597468844,19.6230318689,37.9400968695,0.0,4.12243109448,15.9888894789,83.1708858695,80.1791554517,2.97173041782,0.02
 01/03  02:00:00,68.2819144858,12.3280772586,21.4206340599,0.0,4.12243109448,15.9888894789,57.0995190324,54.1077886146,2.97173041782,0.02
 01/03  03:00:00,92.8557157486,19.7643963665,38.3947013796,0.0,4.12243109448,15.9888894789,83.2248085178,80.2330781,2.97173041782,0.02
 01/03  04:00:00,63.157247719,10.5669233645,18.1038112829,0.0,4.12243109448,15.9888894789,48.6896480526,45.6979176348,2.97173041782,0.02
 01/03  05:00:00,135.795385922,28.2409104306,55.4504051479,0.0,12.3672932834,24.9413748627,108.561584332,103.588700303,4.9528840297,0.02
 01/03  06:00:00,140.988019519,28.3335140669,57.6244603388,2.9259748098,12.3672932834,24.9413748627,175.081611732,170.108727702,4.9528840297,0.02
 01/03  07:00:00,208.750183283,29.5632319455,67.2938142081,1.64358585492,24.7345865669,70.7195625826,141.481974293,131.556206233,9.90576805939,0.02
 01/03  08:00:00,233.93809924,29.9019823691,70.6087791665,0.881312111338,37.1018798503,92.3937384068,122.41858941,112.492821351,9.90576805939,0.02
 01/03  09:00:00,245.378336184,30.0193750237,72.4835920737,0.635138269283,37.1018798503,104.434947198,115.188539345,105.262771286,9.90576805939,0.02
 01/03  10:00:00,259.638157402,30.1844117158,74.8345973302,0.33728474883,37.1018798503,116.476155989,115.389781095,96.856317972,9.90576805939,8.6276950635
 01/03  11:00:00,262.903198113,30.595169958,77.9255063334,0.100063750152,37.1018798503,116.476155989,96.9134696554,86.9877015961,9.90576805939,0.02
 01/03  12:00:00,265.039722032,30.9753488833,79.7174512958,0.0642049070526,37.1018798503,116.476155989,98.9149610172,80.3752638476,9.90576805939,8.63392911017
 01/03  13:00:00,255.695707906,31.4082482872,82.0297230733,0.016861108805,37.1018798503,104.434947198,84.2608583785,74.3350903191,9.90576805939,0.02
 01/03  14:00:00,271.042673245,31.9043625264,84.8555852957,0.0,37.1018798503,116.476155989,86.9579706954,68.4182805681,9.90576805939,8.63392206799
 01/03  15:00:00,271.587123365,32.0799659196,85.2247126,0.0,37.1018798503,116.476155989,80.735665962,70.8098979026,9.90576805939,0.02
 01/03  16:00:00,271.614112944,32.2221441487,85.1096669135,0.0,37.1018798503,116.476155989,86.9119382536,72.9144318358,9.90576805939,4.09173835842
 01/03  17:00:00,268.691227638,32.1160402571,82.2935179163,0.0,37.1018798503,116.476155989,91.5328787144,77.072176211,9.90576805939,4.55493444401
 01/03  18:00:00,276.38713837,31.6311090707,78.7296661468,0.0,37.1018798503,116.476155989,94.3689178173,84.4431497579,9.90576805939,0.02
 01/03  19:00:00,175.635565844,28.1985010813,60.3273321648,0.0,24.7345865669,47.5788473902,70.668428448,65.6955444183,4.9528840297,0.02
 01/03  20:00:00,173.290223142,28.1136823827,58.0668028361,0.0,24.7345865669,47.5788473902,76.8089061259,71.8360220962,4.9528840297,0.02
 01/03  21:00:00,150.17896772,27.9016356363,56.4245284676,0.0,12.3672932834,38.6892022431,99.460342853,87.8813037354,2.97173041782,8.60730869977
 01/03  22:00:00,102.948937878,15.4463303298,33.5994677141,0.0,12.3672932834,27.0668015668,54.181662611,51.1899321932,2.97173041782,0.02
 01/03  23:00:00,93.0245582749,19.7967863278,38.5078094548,0.0,4.12243109448,15.9888894789,81.1043178384,78.1125874206,2.97173041782,0.02
 01/03  24:00:00,76.8599414508,13.43072034,28.8960185385,0.0,4.12243109448,15.9888894789,53.9245102902,50.9327798724,2.97173041782,0.02
 01/04  01:00:00,90.8402834407,19.372692835,36.7476281397,0.0,4.12243109448,15.9888894789,89.1626612969,86.1709308791,2.97173041782,0.02
 01/04  02:00:00,77.8080496891,13.6003577372,29.6744893924,0.0,4.12243109448,15.9888894789,56.1822402768,53.190509859,2.97173041782,0.02
 01/04  03:00:00,91.2271645675,19.372692835,37.1345092975,0.0,4.12243109448,15.9888894789,89.6427249965,86.6509945787,2.97173041782,0.02
 01/04  04:00:00,78.2195291312,13.6003577372,30.0859688537,0.0,4.12243109448,15.9888894789,56.3770909674,53.3853605496,2.97173041782,0.02
 01/04  05:00:00,138.12248076,27.9652496602,58.053161212,0.0,12.3672932834,24.9413748627,106.14971757,101.176833541,4.9528840297,0.02
 01/04  06:00:00,144.297055049,28.3565269369,61.7045983031,2.13185991747,12.3672932834,24.9413748627,171.137162625,166.164278595,4.9528840297,0.02
 01/04  07:00:00,212.246373545,29.5995428836,71.280173623,1.1171061351,24.7345865669,70.7195625826,135.749604085,125.823836026,9.90576805939,0.02
 01/04  08:00:00,236.942775747,29.9792893376,73.9685713154,0.448891485803,37.1018798503,92.3937384068,115.678503429,105.752735369,9.90576805939,0.02
 01/04  09:00:00,248.285681483,30.1989168495,75.6852611198,0.161260699537,37.1018798503,104.434947198,106.073938628,96.148170569,9.90576805939,0.02
 01/04  10:00:00,262.302692656,30.4370233951,77.5268734918,0.0569509478178,37.1018798503,116.476155989,108.132214957,89.5986928678,9.90576805939,8.62775402943
 01/04  11:00:00,265.153414596,30.6476037077,80.1928256652,0.0305089741033,37.1018798503,116.476155989,91.2465732202,81.3208051608,9.90576805939,0.02
 01/04  12:00:00,266.897852073,30.8790130025,81.7336164445,0.00251951476449,37.1018798503,116.476155989,94.0837696587,75.5439850474,9.90576805939,8.6340165519
 01/04  13:00:00,255.769217586,31.1395665208,82.3887605832,0.0,37.1018798503,104.434947198,82.7497550125,72.8239869531,9.90576805939,0.02
 01/04  14:00:00,269.674555789,31.3270426008,84.0647962936,0.0,37.1018798503,116.476155989,87.4332129038,68.8934326006,9.90576805939,8.63401224376
 01/04  15:00:00,270.365731905,31.5005966467,84.5826788483,0.0,37.1018798503,116.476155989,74.1895411358,64.2637730764,9.90576805939,0.02
 01/04  16:00:00,269.340554939,31.4820381993,83.5762106751,0.0,37.1018798503,116.476155989,83.7085224327,65.1719126088,9.90576805939,8.63084176448
