Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.6604110716,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.6451260721,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.6427317089,0.0,0.0,0.0,15.863942322,29.242365,6.08836475274,0.0,3.20568,2.88268475274
 01/01  04:00:00,55.6316485655,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.8602520724,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.8404411,0.0,0.0,0.0,15.863942322,29.242365,6.08842401886,0.0,3.20568,2.88274401886
 01/01  07:00:00,55.8485960311,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,48.6323525418,0.0,0.0,0.0,15.863942322,29.242365,6.08833516038,0.0,3.20568,2.88265516038
 01/01  09:00:00,47.2115432085,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  10:00:00,47.2311834737,0.0,0.0,0.0,15.863942322,29.242365,6.08986282461,0.0,3.20568,2.88418282461
 01/01  11:00:00,47.2429613688,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  12:00:00,47.9399308077,0.0,0.0,0.0,15.863942322,29.242365,6.08978866393,0.0,3.20568,2.88410866393
 01/01  13:00:00,47.2769809464,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,47.3337677761,0.0,0.0,0.0,15.863942322,29.242365,6.08993853905,0.0,3.20568,2.88425853905
 01/01  15:00:00,47.3613892481,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,47.3711422494,0.0,0.0,0.0,15.863942322,29.242365,6.08832900137,0.0,3.20568,2.88264900137
 01/01  17:00:00,47.2655023042,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,54.3792963226,0.0,0.0,0.0,15.863942322,29.242365,6.08838835384,0.0,3.20568,2.88270835384
 01/01  19:00:00,55.7835766367,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,56.0255796171,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,56.0180438781,0.0,0.0,0.0,15.863942322,29.242365,6.08844762788,0.0,3.20568,2.88276762788
 01/01  22:00:00,55.8787153819,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.6855272968,0.0,0.0,0.0,15.863942322,29.242365,6.08835879337,0.0,3.20568,2.88267879337
 01/01  24:00:00,56.3659200016,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.6784619252,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  02:00:00,55.677186531,0.0,0.0,0.0,15.863942322,29.242365,6.08996052405,0.0,3.20568,2.88428052405
 01/02  03:00:00,55.6756231432,0.0,0.0,0.0,15.863942322,29.242365,6.08988944086,0.0,3.20568,2.88420944086
 01/02  04:00:00,55.6741494233,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  05:00:00,55.9246354911,0.0,0.0,0.0,15.863942322,29.242365,6.08981834799,0.0,3.20568,2.88413834799
 01/02  06:00:00,55.9073311741,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  07:00:00,84.9836828092,7.48441174169,21.0246041851,0.0,15.863942322,29.818365,14.3226036153,8.23263089221,3.20568,2.88429272313
 01/02  08:00:00,142.643706515,7.48441174169,21.0026711712,0.0,80.527626,29.818365,7.87949546105,1.78605659021,3.20568,2.88775887084
