Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.8216382758,2.1498251348,0.0,0.0,1.85583932782,5.577,5.2037976132,0.463438669966,3.0011,1.73925894323
 01/01  02:00:00,9.7827284228,0.0,0.0,0.0,0.618613109274,5.0,3.59317664087,0.0,3.0011,0.592076640874
 01/01  03:00:00,9.80870877093,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.81057560465,0.0,0.0,0.0,0.618613109274,5.0,3.59315668393,0.0,3.0011,0.592056683929
 01/01  05:00:00,9.96635220172,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.928164416,2.1498251348,0.0,0.0,1.85583932782,5.577,8.81514212553,3.72142951552,4.50165,0.592062610005
 01/01  07:00:00,28.4071175123,2.1498251348,0.0,0.0,3.71167865564,18.077,15.7325623316,1.06239228206,13.50495,1.16522004955
 01/01  08:00:00,26.4750899212,2.1498251348,0.0,0.0,3.71167865564,18.077,22.1727704015,0.0,21.0077,1.16507040151
 01/01  09:00:00,20.8522854633,2.1498251348,0.0,0.0,3.71167865564,13.077,16.7433288024,0.0,15.0055,1.73782880236
 01/01  10:00:00,20.872079276,2.1498251348,0.0,0.0,3.71167865564,13.077,16.1707253769,0.0,15.0055,1.16522537694
 01/01  11:00:00,25.90476475,2.1498251348,0.0,0.0,3.71167865564,18.077,37.0510342484,0.0,33.0121,4.03893424842
 01/01  12:00:00,27.3977604556,2.1498251348,0.358573715697,0.0,3.71167865564,18.077,45.1276783255,0.0,40.51485,4.61282832548
 01/01  13:00:00,27.6031474601,2.1498251348,1.35506815071,0.0,3.71167865564,18.077,38.9016965706,0.0,36.0132,2.88849657058
 01/01  14:00:00,27.4670833641,2.1498251348,1.46147385721,0.0,3.71167865564,18.077,34.9730307261,0.0,31.51155,3.46148072614
 01/01  15:00:00,22.1992887269,2.1498251348,1.18575984267,0.0,3.71167865564,13.077,23.893964724,0.0,21.0077,2.88626472399
 01/01  16:00:00,22.429839601,2.1498251348,1.40210265238,0.0,3.71167865564,13.077,21.8201270284,0.0,19.50715,2.3129770284
 01/01  17:00:00,22.0227793027,2.1498251348,1.06599713579,0.0,3.71167865564,13.077,25.394605578,0.0,22.50825,2.88635557805
 01/01  18:00:00,28.4520895865,2.1498251348,0.646309339239,0.0,3.71167865564,18.077,28.3978377725,0.0,25.50935,2.88848777247
 01/01  19:00:00,28.9812320969,2.1498251348,0.562154757284,0.0,3.71167865564,18.077,29.5471179552,0.0,25.50935,4.0377679552
 01/01  20:00:00,28.9782698335,2.1498251348,0.399306467094,0.0,3.71167865564,18.077,30.1211980163,0.0,25.50935,4.61184801629
 01/01  21:00:00,23.9152836929,2.1498251348,0.338673731312,0.0,3.71167865564,13.077,25.3959738178,0.0,22.50825,2.88772381778
 01/01  22:00:00,23.7275432058,2.1498251348,0.233480407189,0.0,3.71167865564,13.077,25.0453886752,0.0,21.0077,4.03768867519
 01/01  23:00:00,23.357859809,2.1498251348,0.0,0.0,3.71167865564,13.077,21.4682861734,0.0,18.0066,3.46168617337
 01/01  24:00:00,24.4912454097,2.1498251348,0.0,0.0,3.71167865564,13.077,4.73916929704,0.0,3.0011,1.73806929704
 01/02  01:00:00,14.0741864299,2.1498251348,0.0,0.0,1.85583932782,5.577,4.76047335881,0.0211288111382,3.0011,1.73824454767
 01/02  02:00:00,9.82910571849,0.0,0.0,0.0,0.618613109274,5.0,3.59319273887,0.0,3.0011,0.59209273887
 01/02  03:00:00,9.85146657655,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.85582391923,0.0,0.0,0.0,0.618613109274,5.0,3.59318390083,0.0,3.0011,0.59208390083
 01/02  05:00:00,10.0189525525,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  06:00:00,14.0096425155,2.1498251348,0.0,0.0,1.85583932782,5.577,5.1720920959,0.0783523120314,4.50165,0.592089783868
 01/02  07:00:00,28.5085370903,2.1498251348,0.00902751671199,0.0,3.71167865564,18.077,14.670048232,0.0,13.50495,1.165098232
 01/02  08:00:00,26.584846528,2.1498251348,0.0155290441459,0.0,3.71167865564,18.077,26.1975290008,0.0,21.0077,5.18982900083
 01/02  09:00:00,20.938127143,2.1498251348,0.0,0.0,3.71167865564,13.077,19.044319244,0.0,15.0055,4.03881924396
 01/02  10:00:00,21.0419181524,2.1498251348,0.073308788553,0.0,3.71167865564,13.077,19.0427152162,0.0,15.0055,4.03721521621
 01/02  11:00:00,26.7321043992,2.1498251348,0.736586278732,0.0,3.71167865564,18.077,36.4740286982,0.0,33.0121,3.46192869819
 01/02  12:00:00,28.6108031643,2.1498251348,1.51835411156,0.0,3.71167865564,18.077,43.9774965918,0.0,40.51485,3.46264659177
 01/02  13:00:00,28.8975617471,2.1498251348,2.5880690831,0.0,3.71167865564,18.077,39.4753967987,0.0,36.0132,3.46219679866
 01/02  14:00:00,28.668915127,2.1498251348,2.63239397133,0.0,3.71167865564,18.077,34.3983696903,0.0,31.51155,2.88681969034
 01/02  15:00:00,22.8555269137,2.1498251348,1.82048631154,0.0,3.71167865564,13.077,23.893636603,0.0,21.0077,2.885936603
 01/02  16:00:00,22.4597903165,2.1498251348,1.42580930108,0.0,3.71167865564,13.077,21.8201212061,0.0,19.50715,2.31297120614
 01/02  17:00:00,22.3279122015,2.1498251348,1.30394101418,0.0,3.71167865564,13.077,24.8209518995,0.0,22.50825,2.31270189955
 01/02  18:00:00,29.4126789393,2.1498251348,1.5727785233,0.0,3.71167865564,18.077,28.9716217648,0.0,25.50935,3.46227176481
 01/02  19:00:00,29.8666924439,2.1498251348,1.40647956704,0.0,3.71167865564,18.077,30.1232085952,0.0,25.50935,4.61385859523
 01/02  20:00:00,29.7042973183,2.1498251348,1.08733097297,0.0,3.71167865564,18.077,30.1250327952,0.0,25.50935,4.61568279521
 01/02  21:00:00,24.1745805716,2.1498251348,0.582515554266,0.0,3.71167865564,13.077,27.1202942288,0.0,22.50825,4.61204422881
 01/02  22:00:00,23.9361404195,2.1498251348,0.433490389986,0.0,3.71167865564,13.077,25.047009683,0.0,21.0077,4.03930968303
 01/02  23:00:00,23.4814132159,2.1498251348,0.104105641979,0.0,3.71167865564,13.077,22.0430978892,0.0,18.0066,4.03649788922
 01/02  24:00:00,24.520415633,2.1498251348,0.0,0.0,3.71167865564,13.077,5.31223425446,0.0,3.0011,2.31113425446
 01/03  01:00:00,14.106986941,2.1498251348,0.0,0.0,1.85583932782,5.577,4.76018983803,0.0207446561592,3.0011,1.73834518187
 01/03  02:00:00,9.8503333939,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  03:00:00,9.87005487149,0.0,0.0,0.0,0.618613109274,5.0,3.59316060993,0.0,3.0011,0.592060609927
 01/03  04:00:00,9.87510778146,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  05:00:00,10.6698107588,0.0,0.0,0.0,0.618613109274,5.0,3.59316653154,0.0,3.0011,0.592066531543
 01/03  06:00:00,14.6779917647,2.1498251348,0.0,0.0,1.85583932782,5.577,4.55828716132,0.0366371613163,4.50165,0.02
 01/03  07:00:00,28.8510989716,2.1498251348,0.0117756729431,0.0,3.71167865564,18.077,14.6702245563,0.0,13.50495,1.16527455628
 01/03  08:00:00,27.3031325451,2.1498251348,0.683662766894,0.0,3.71167865564,18.077,26.1967695585,0.0,21.0077,5.18906955848
 01/03  09:00:00,21.709513933,2.1498251348,0.713093595107,0.0,3.71167865564,13.077,19.6181496372,0.0,15.0055,4.61264963721
 01/03  10:00:00,22.0063887005,2.1498251348,0.989907317359,0.0,3.71167865564,13.077,18.4684693904,0.0,15.0055,3.46296939039
 01/03  11:00:00,27.6771225677,2.1498251348,1.6458610455,0.0,3.71167865564,18.077,36.474276804,0.0,33.0121,3.46217680399
 01/03  12:00:00,29.564146043,2.1498251348,2.42916337115,0.0,3.71167865564,18.077,43.9775649793,0.0,40.51485,3.46271497928
 01/03  13:00:00,29.9569628692,2.1498251348,3.6097475409,0.0,3.71167865564,18.077,39.4749946142,0.0,36.0132,3.46179461423
 01/03  14:00:00,30.1800819611,2.1498251348,4.12138699849,0.0,3.71167865564,18.077,34.3988004556,0.0,31.51155,2.8872504556
 01/03  15:00:00,23.8321764519,2.1498251348,2.7695533055,0.0,3.71167865564,13.077,23.8937799746,0.0,21.0077,2.88607997458
 01/03  16:00:00,23.3065588291,2.1498251348,2.24454782086,0.0,3.71167865564,13.077,21.819933282,0.0,19.50715,2.31278328202
 01/03  17:00:00,22.912068816,2.1498251348,1.86727659279,0.0,3.71167865564,13.077,25.3946107345,0.0,22.50825,2.88636073451
 01/03  18:00:00,29.9611578254,2.1498251348,2.04950604754,0.0,3.71167865564,18.077,28.9712363015,0.0,25.50935,3.46188630149
 01/03  19:00:00,30.3414529134,2.1498251348,1.85788428749,0.0,3.71167865564,18.077,29.549486021,0.0,25.50935,4.04013602103
 01/03  20:00:00,30.1755459184,2.1498251348,1.70039274763,0.0,3.71167865564,18.077,30.69823054,0.0,25.50935,5.18888053996
 01/03  21:00:00,24.8384948324,2.1498251348,1.36946902509,0.0,3.71167865564,13.077,26.5461904069,0.0,22.50825,4.03794040688
 01/03  22:00:00,24.6515109527,2.1498251348,1.23667774671,0.0,3.71167865564,13.077,25.6206508444,0.0,21.0077,4.61295084442
 01/03  23:00:00,24.3627760203,2.1498251348,0.950346944924,0.0,3.71167865564,13.077,21.4691817296,0.0,18.0066,3.4625817296
 01/03  24:00:00,25.2109051946,2.1498251348,0.653419788081,0.0,3.71167865564,13.077,5.3130653045,0.0,3.0011,2.3119653045
 01/04  01:00:00,14.1579615833,2.1498251348,0.0,0.0,1.85583932782,5.577,4.73951557719,0.0,3.0011,1.73841557719
 01/04  02:00:00,9.88668479177,0.0,0.0,0.0,0.618613109274,5.0,3.59315714353,0.0,3.0011,0.592057143534
 01/04  03:00:00,9.90263918547,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/04  04:00:00,9.9092111285,0.0,0.0,0.0,0.618613109274,5.0,3.59316307067,0.0,3.0011,0.592063070668
 01/04  05:00:00,10.081973695,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/04  06:00:00,14.0987826658,2.1498251348,0.0,0.0,1.85583932782,5.577,4.54391415032,0.0222641503161,4.50165,0.02
 01/04  07:00:00,29.223814954,2.1498251348,0.636016271306,0.0,3.71167865564,18.077,15.2427789658,0.0,13.50495,1.73782896582
 01/04  08:00:00,28.0416457063,2.1498251348,1.39464185183,0.0,3.71167865564,18.077,25.6229919244,0.0,21.0077,4.61529192436
 01/04  09:00:00,22.3685804147,2.1498251348,1.34675248545,0.0,3.71167865564,13.077,19.6197379038,0.0,15.0055,4.6142379038
 01/04  10:00:00,22.4853574594,2.1498251348,1.45485905611,0.0,3.71167865564,13.077,19.0422352616,0.0,15.0055,4.03673526163
 01/04  11:00:00,27.9902059626,2.1498251348,1.94501241069,0.0,3.71167865564,18.077,35.9000644486,0.0,33.0121,2.88796444856
 01/04  12:00:00,30.1087365216,2.1498251348,2.96021938292,0.0,3.71167865564,18.077,44.5515907751,0.0,40.51485,4.03674077508
 01/04  13:00:00,30.2539397763,2.1498251348,3.89710919241,0.0,3.71167865564,18.077,39.4751663454,0.0,36.0132,3.46196634537
 01/04  14:00:00,30.2157665237,2.1498251348,4.15690775873,0.0,3.71167865564,18.077,34.398183193,0.0,31.51155,2.88663319295
 01/04  15:00:00,23.8074438505,2.1498251348,2.75217011622,0.0,3.71167865564,13.077,23.3202878508,0.0,21.0077,2.31258785079
 01/04  16:00:00,23.106629361,2.1498251348,2.0560954084,0.0,3.71167865564,13.077,22.3933441472,0.0,19.50715,2.88619414724
 01/04  17:00:00,23.0803758212,2.1498251348,2.03020122698,0.0,3.71167865564,13.077,24.8209951729,0.0,22.50825,2.31274517291
 01/04  18:00:00,30.4378125119,2.1498251348,2.49920627373,0.0,3.71167865564,18.077,28.9711921257,0.0,25.50935,3.46184212572
 01/04  19:00:00,30.6110957747,2.1498251348,2.07222555861,0.0,3.71167865564,18.077,30.1229138859,0.0,25.50935,4.61356388591
 01/04  20:00:00,30.4777712439,2.1498251348,1.81940774527,0.0,3.71167865564,18.077,30.12479898,0.0,25.50935,4.61544898004
 01/04  21:00:00,25.1219593247,2.1498251348,1.48069067504,0.0,3.71167865564,13.077,27.1201588416,0.0,22.50825,4.61190884159
 01/04  22:00:00,24.8973356206,2.1498251348,1.34915244165,0.0,3.71167865564,13.077,25.0476206367,0.0,21.0077,4.03992063671
 01/04  23:00:00,24.4637483424,2.1498251348,1.04567788252,0.0,3.71167865564,13.077,22.0431004707,0.0,18.0066,4.03650047074
 01/04  24:00:00,25.2897098276,2.1498251348,0.726846085537,0.0,3.71167865564,13.077,5.31225381289,0.0,3.0011,2.31115381289
 01/05  01:00:00,14.152243744,2.1498251348,0.0,0.0,1.85583932782,5.577,4.73947176974,0.0,3.0011,1.73837176974
 01/05  02:00:00,9.87845405771,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/05  03:00:00,9.87697698937,0.0,0.0,0.0,0.618613109274,5.0,3.59319452632,0.0,3.0011,0.592094526321
 01/05  04:00:00,9.84705036759,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/05  05:00:00,9.98275441166,0.0,0.0,0.0,0.618613109274,5.0,3.5931745912,0.0,3.0011,0.592074591202
 01/05  06:00:00,13.8814910488,2.1498251348,0.0,0.0,1.85583932782,5.577,9.39863609052,4.87698609052,4.50165,0.02
 01/05  07:00:00,28.3145053888,2.1498251348,0.0,0.0,3.71167865564,18.077,18.4643162431,3.7941178152,13.50495,1.16524842794
 01/05  08:00:00,26.3784073605,2.1498251348,0.0,0.0,3.71167865564,18.077,27.4232705239,1.22630963527,21.0077,5.18926088865
 01/05  09:00:00,20.7569077847,2.1498251348,0.0,0.0,3.71167865564,13.077,20.2953623271,0.676948642419,15.0055,4.61291368472
 01/05  10:00:00,20.803947952,2.1498251348,0.0,0.0,3.71167865564,13.077,18.4684515714,0.0,15.0055,3.46295157144
 01/05  11:00:00,25.8377685823,2.1498251348,0.0,0.0,3.71167865564,18.077,36.4743822178,0.0,33.0121,3.46228221784
 01/05  12:00:00,27.0054435063,2.1498251348,0.0399353597237,0.0,3.71167865564,18.077,44.5522318278,0.0,40.51485,4.03738182782
 01/05  13:00:00,27.0105094783,2.1498251348,0.846073209295,0.0,3.71167865564,18.077,38.9014503898,0.0,36.0132,2.88825038978
