Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,46.5870383766,6.38611704412,9.63467773018,0.0,12.925468867,10.100111941,1.03696609072,1.01696609072,0.0,0.02
 01/01  02:00:00,45.1489288382,6.26335444348,8.32048925921,0.0,12.925468867,10.100111941,7.36318040997,1.6050546906,0.0,5.75812571937
 01/01  03:00:00,39.2693204448,6.13380730384,7.18946669406,0.0,8.34152022915,10.0650221343,1.74049400297,1.72049400297,0.0,0.02
 01/01  04:00:00,38.3126482459,6.0459196378,6.32068111013,0.0,8.34152022915,10.0650221343,8.75203479331,2.99363386608,0.0,5.75840092723
 01/01  05:00:00,39.3168237287,5.98782091392,5.77628815348,0.0,8.34152022915,11.6705166398,9.59181415576,3.82757206081,0.0,5.76424209495
 01/01  06:00:00,43.1971042962,5.94803855155,5.53799546033,0.0,8.80141237637,15.3678112995,9.50237360293,3.73235195956,0.0,5.77002164337
 01/01  07:00:00,64.7506349251,6.10678187287,6.95608626497,0.0,18.5082010057,25.6353820695,9.09685110213,3.3164173731,0.0,5.78043372903
 01/01  08:00:00,78.9515309717,6.47108652111,9.98964631649,0.0,19.4926561212,41.1001056674,14.3727621749,2.77032097252,0.0,11.6024412024
 01/01  09:00:00,106.680350056,6.93082345202,15.3851662891,0.0,26.3286599382,57.9988325916,35.4657372576,0.0,0.0,35.4657372576
 01/01  10:00:00,91.5204728637,6.67842443234,15.7513468121,0.0,26.2443270014,42.8153538416,47.4258870577,0.0,18.025,29.4008870577
 01/01  11:00:00,66.1078728061,6.4505030383,14.441428919,0.0,21.7447113004,23.4437158914,41.4791311232,0.0,18.025,23.4541311232
 01/01  12:00:00,64.894362746,6.56907882879,15.5114788206,0.0,19.3449162599,23.4437158914,41.4287995366,0.0,18.025,23.4037995366
 01/01  13:00:00,67.4778307459,6.75647319491,17.7654870915,0.0,19.190480192,23.7425572507,41.3766205768,0.0,18.025,23.3516205768
 01/01  14:00:00,68.5098285522,6.81024801014,18.7175824855,0.0,19.260583323,23.698576057,35.5419987564,0.0,18.025,17.5169987564
 01/01  15:00:00,69.2123804698,6.82639861035,19.403992237,0.0,19.260583323,23.698576057,41.3793556238,0.0,18.025,23.3543556238
 01/01  16:00:00,69.8955564149,6.87645118314,20.3270590601,0.0,19.260583323,23.4086260847,41.3712258769,0.0,18.025,23.3462258769
 01/01  17:00:00,71.9751009219,6.77019955208,18.0615372466,0.0,19.260583323,27.8781056672,18.045,0.0,18.025,0.02
 01/01  18:00:00,83.4224037268,6.81956970841,15.1849403668,0.0,18.1807569449,37.5792895564,5.76993714384,0.0,0.0,5.76993714384
 01/01  19:00:00,100.033412877,7.03834366942,15.7995453475,0.0,32.6059821062,37.0465235296,5.79515335371,0.019549848549,0.0,5.77560350516
 01/01  20:00:00,101.313690577,7.18003762427,16.7069391786,0.0,36.8143715336,33.066984531,11.5537506489,0.0,0.0,11.5537506489
 01/01  21:00:00,108.640825037,7.40638338499,18.4482258511,0.0,36.43363367,38.8072253906,9.5847743958,0.0,0.0,9.5847743958
 01/01  22:00:00,106.220837678,7.41619752469,18.3751364007,0.0,36.0963922311,36.7877557581,7.75531285101,0.0,0.0,7.75531285101
 01/01  23:00:00,80.8795535373,6.98570353095,14.7842604815,0.0,30.9507766546,20.6087787026,11.6013260671,0.0,0.0,11.6013260671
 01/01  24:00:00,54.8595921368,6.58052808593,11.6041832952,0.0,17.4250845679,11.7056064465,11.6062535277,0.0626789907832,0.0,11.5435745369
 01/02  01:00:00,45.8756733204,6.42739757122,10.2013360601,0.0,11.6412384099,10.0650221343,0.202246997219,0.182246997219,0.0,0.02
 01/02  02:00:00,43.2157355074,6.31893944944,9.21060740332,0.0,10.0992000411,10.047477231,6.02994630112,0.271602400991,0.0,5.75834390013
 01/02  03:00:00,40.469693475,6.22891535437,8.41414580097,0.0,8.25718729233,10.0299323277,6.10411463547,0.345731935657,0.0,5.75838269982
 01/02  04:00:00,39.9226495474,6.17529236247,7.92072913763,0.0,8.25718729233,10.0299323277,0.42928537101,0.40928537101,0.0,0.02
 01/02  05:00:00,41.1796831989,6.13811610618,7.6082709763,0.0,8.25718729233,11.6354268332,6.22801260926,0.464004157386,0.0,5.76400845187
 01/02  06:00:00,49.1797348769,6.17410194363,7.99249911158,0.0,12.1011305571,15.3678112995,6.2118201955,0.42995829837,0.0,5.78186189713
 01/02  07:00:00,83.8458347615,6.75095158947,12.5531772299,0.0,19.7275818095,37.2640762949,17.7907948645,0.400087882893,0.0,17.3907069816
 01/02  08:00:00,100.52844596,7.1328033706,15.9015898878,0.0,24.3117294858,51.2795993405,17.5705257201,0.105290609163,0.0,17.4652351109
 01/02  09:00:00,85.4329810694,6.6006721341,14.4976123341,0.0,23.6694662846,40.6342015617,23.5289228482,0.0,0.0,23.5289228482
