Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,119.729324619,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,117.97608487,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,116.318680447,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553266266,0.0,1.75125,1.16428266266
 01/01  04:00:00,114.300240084,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,120.191616017,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,118.81461851,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91549313312,0.0,1.75125,1.16424313312
 01/01  07:00:00,156.510419816,25.51370046,0.00658379039698,0.0,6.98738001645,14.1499734587,117.573285968,114.050785968,3.5025,0.02
 01/01  08:00:00,164.094683841,25.51370046,0.0,0.0,6.98738001645,14.1499734587,129.156820897,125.634320897,3.5025,0.02
 01/01  09:00:00,194.341577523,25.51370046,0.0,0.0,6.98738001645,14.1499734587,114.310531958,109.643638539,3.5025,1.16439341972
 01/01  10:00:00,174.017967608,25.51370046,0.0,0.0,6.98738001645,14.1499734587,107.469310466,103.946810466,3.5025,0.02
 01/01  11:00:00,208.995308618,25.51370046,0.679798822295,0.0,27.9495200658,27.7759469175,81.3473825452,73.1776121363,7.005,1.1647704089
 01/01  12:00:00,236.598888912,25.51370046,1.02233584578,0.0,27.9495200658,27.7759469175,63.7492428354,55.5795133485,7.005,1.16472948693
 01/01  13:00:00,256.381468896,25.51370046,2.55041103527,0.0,41.9242800987,36.8599292233,36.5161206424,27.1561206424,9.34,0.02
 01/01  14:00:00,257.520394812,25.51370046,2.95530982154,0.0,41.9242800987,36.8599292233,26.680941874,16.1760988682,9.34,1.16484300584
 01/01  15:00:00,252.143582038,25.51370046,3.32871031395,0.0,41.9242800987,36.8599292233,18.9270583937,8.42223547333,9.34,1.16482292036
 01/01  16:00:00,250.608970586,25.51370046,3.87054667106,0.0,41.9242800987,36.8599292233,10.6367282368,0.131886254244,9.34,1.1648419826
 01/01  17:00:00,249.342159656,25.51370046,3.80490528791,0.0,41.9242800987,36.8599292233,14.1409871796,3.63607084664,9.34,1.16491633296
 01/01  18:00:00,225.688513353,25.51370046,1.94076182324,0.0,27.9495200658,27.7759469175,39.2591695667,32.2341695667,7.005,0.02
 01/01  19:00:00,229.327368129,25.51370046,0.780274708143,0.0,13.9747600329,18.6919646116,61.7683988446,55.933728984,4.67,1.16466986063
 01/01  20:00:00,216.189896736,25.51370046,0.646682473819,0.0,13.9747600329,18.6919646116,68.1919408257,62.3572483617,4.67,1.16469246395
 01/01  21:00:00,205.585277351,25.51370046,0.702426784218,0.0,13.9747600329,18.6919646116,64.0845837152,59.3945837152,4.67,0.02
 01/01  22:00:00,181.818051979,25.51370046,0.724636167617,0.0,13.9747600329,18.6919646116,23.9477391051,18.1132421073,4.67,1.1644969978
 01/01  23:00:00,122.458627274,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,152.624114078,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554298589,0.0,1.75125,1.16429298589
 01/02  01:00:00,132.066566345,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,123.130097913,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,122.782678663,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  04:00:00,122.190433211,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924269,0.0,2.335,1.16424269
 01/02  05:00:00,129.466865374,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,128.62144663,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,178.893903397,25.51370046,0.213797973697,0.0,13.9747600329,18.6919646116,66.1280026725,60.2937400684,4.67,1.16426260406
 01/02  08:00:00,187.392765053,25.51370046,0.363722973717,0.0,13.9747600329,18.6919646116,84.6943928452,80.0043928452,4.67,0.02
 01/02  09:00:00,258.213352639,25.51370046,1.46363066327,0.0,34.9369000822,32.3179380704,76.0728400265,66.7357499907,8.1725,1.16459003581
 01/02  10:00:00,290.6174988,25.51370046,3.42800938788,0.0,62.886420148,41.4019203762,47.9099817225,37.3824817225,10.5075,0.02
 01/02  11:00:00,288.240450099,25.51370046,4.0474131826,0.0,62.886420148,41.4019203762,31.5404393471,19.8679167296,10.5075,1.16502261754
 01/02  12:00:00,307.047573121,25.51370046,4.50572628526,0.0,62.886420148,41.4019203762,20.3258788271,7.50794593324,10.5075,2.31043289385
 01/02  13:00:00,300.259782751,25.51370046,5.22990407564,0.0,62.886420148,41.4019203762,11.6726958845,0.0,10.5075,1.1651958845
 01/02  14:00:00,301.40082066,25.51370046,5.89417214171,0.0,62.886420148,41.4019203762,11.6729066124,0.0,10.5075,1.16540661243
 01/02  15:00:00,294.753686499,25.51370046,6.10818558675,0.0,62.886420148,41.4019203762,11.6725739879,0.0,10.5075,1.16507398795
 01/02  16:00:00,290.264520089,25.51370046,6.32228356578,0.0,62.886420148,41.4019203762,11.6725061016,0.0,10.5075,1.16500610157
 01/02  17:00:00,289.001183645,25.51370046,6.24433916169,0.0,62.886420148,41.4019203762,11.6725088278,0.0,10.5075,1.16500882779
 01/02  18:00:00,296.614780813,25.51370046,5.72032504304,0.0,62.886420148,41.4019203762,11.6725269051,0.0,10.5075,1.16502690509
 01/02  19:00:00,292.248255517,25.51370046,4.47255248653,0.0,41.9242800987,36.8599292233,14.2789469591,3.77403416871,9.34,1.16491279041
 01/02  20:00:00,280.365999422,25.51370046,3.92930422432,0.0,41.9242800987,36.8599292233,30.0919046795,19.5870741049,9.34,1.16483057455
 01/02  21:00:00,254.713414288,25.51370046,3.07004099776,0.0,34.9369000822,32.3179380704,38.5619678539,29.2246779782,8.1725,1.16478987571
 01/02  22:00:00,182.935592874,25.51370046,1.30869195345,0.0,13.9747600329,18.6919646116,6.08580389704,1.39580389704,4.67,0.02
 01/02  23:00:00,125.917917404,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49939619653,0.0,2.335,1.16439619653
 01/02  24:00:00,156.128978231,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  01:00:00,133.901997655,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,124.621645812,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49925355032,0.0,2.335,1.16425355032
 01/03  03:00:00,124.319450731,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  04:00:00,123.861746508,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  05:00:00,150.807899768,0.0,0.0,0.0,3.49369000822,9.08398230582,2.37546216355,0.0,2.335,0.0404621635467
 01/03  06:00:00,150.976108095,0.0,0.0,0.0,3.49369000822,9.08398230582,3.47879585735,0.0,2.335,1.14379585735
 01/03  07:00:00,202.51939266,25.51370046,0.740459074591,0.0,13.9747600329,18.6919646116,39.3112628251,34.6212628251,4.67,0.02
 01/03  08:00:00,203.641115876,25.51370046,0.805040070482,0.0,13.9747600329,18.6919646116,65.2152400985,59.3807887564,4.67,1.16445134217
 01/03  09:00:00,264.725178831,25.51370046,2.26397686788,0.0,34.9369000822,32.3179380704,50.8901285835,42.6976285835,8.1725,0.02
 01/03  10:00:00,297.227048597,25.51370046,4.48216628168,0.0,62.886420148,41.4019203762,27.8015930961,16.1293627702,10.5075,1.1647303259
 01/03  11:00:00,294.291400633,25.51370046,5.08687618686,0.0,62.886420148,41.4019203762,12.6682908623,0.995849815575,10.5075,1.16494104669
 01/03  12:00:00,312.029988898,25.51370046,5.76104129761,0.0,62.886420148,41.4019203762,11.6728140323,0.0,10.5075,1.16531403225
 01/03  13:00:00,305.359463234,25.51370046,6.52402137714,0.0,62.886420148,41.4019203762,11.6728293726,0.0,10.5075,1.16532937255
 01/03  14:00:00,308.25677508,25.51370046,7.47921682291,0.0,62.886420148,41.4019203762,12.8179564608,0.0,10.5075,2.31045646083
 01/03  15:00:00,301.812448397,25.51370046,8.27510887997,0.0,62.886420148,41.4019203762,11.6725676326,0.0,10.5075,1.1650676326
 01/03  16:00:00,297.005736445,25.51370046,8.71970643253,0.0,62.886420148,41.4019203762,11.6724622648,0.0,10.5075,1.16496226484
 01/03  17:00:00,293.823733968,25.51370046,8.04020855865,0.0,62.886420148,41.4019203762,11.6724737162,0.0,10.5075,1.16497371622
 01/03  18:00:00,300.213177634,25.51370046,6.9738633667,0.0,62.886420148,41.4019203762,11.6725005749,0.0,10.5075,1.16500057495
 01/03  19:00:00,295.466905464,25.51370046,5.20572986741,0.0,41.9242800987,36.8599292233,9.67461592762,0.314615927619,9.34,0.02
 01/03  20:00:00,276.595898333,25.51370046,4.63428275116,0.0,41.9242800987,36.8599292233,12.738720561,2.2338239087,9.34,1.16489665234
 01/03  21:00:00,251.745855474,25.51370046,3.82190641965,0.0,34.9369000822,32.3179380704,17.8821003086,8.54473588102,8.1725,1.16486442756
 01/03  22:00:00,180.729685855,25.51370046,2.21343188534,0.0,13.9747600329,18.6919646116,5.83455222249,0.0,4.67,1.16455222249
 01/03  23:00:00,128.434655462,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  24:00:00,158.396232248,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  01:00:00,136.834295854,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49925430054,0.0,2.335,1.16425430054
 01/04  02:00:00,127.063770923,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  03:00:00,126.767510479,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  04:00:00,126.609001373,0.0,0.0,0.0,3.49369000822,9.08398230582,3.4992385063,0.0,2.335,1.1642385063
 01/04  05:00:00,134.569652386,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
