Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.5660166608,4.07908474528,0.0,0.0,4.58992532963,8.1892,85.6700723288,76.5605653454,3.33988,5.76962698338
 01/01  02:00:00,14.6970837578,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.7236469159,0.0,0.0,0.0,1.52997510988,7.4902,3.93197375912,0.0,3.33988,0.592093759118
 01/01  04:00:00,14.7375386847,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8889078175,0.0,0.0,0.0,1.52997510988,7.4902,3.93192790836,0.0,3.33988,0.592047908365
 01/01  06:00:00,22.7246658131,4.07908474528,0.0,0.0,4.58992532963,8.1892,81.5809664616,73.2112664616,8.3497,0.02
 01/01  07:00:00,38.6896693602,4.07908474528,0.0151823713105,0.0,9.17985065927,19.4245,88.417202052,68.255667747,16.6994,3.46213430503
 01/01  08:00:00,41.9193902092,4.07908474528,0.0127739443945,0.0,9.17985065927,26.9147,85.7655862665,56.6801226452,25.0491,4.03636362123
 01/01  09:00:00,41.9317950753,4.07908474528,0.00186145691734,0.0,9.17985065927,26.9147,89.7474023208,52.8861088852,33.3988,3.4624934356
 01/01  10:00:00,34.4539111899,4.07908474528,0.0,0.0,9.17985065927,19.4245,84.1544355094,55.6424412721,25.0491,3.46289423724
 01/01  11:00:00,41.9667145755,4.07908474528,0.0191772990675,0.0,9.17985065927,26.9147,105.82483057,52.4955426115,41.7485,11.5807879584
 01/01  12:00:00,42.6979489496,4.07908474528,0.0,0.0,9.17985065927,26.9147,103.236639144,49.9070162905,41.7485,11.5811228539
 01/01  13:00:00,42.0039154607,4.07908474528,0.0,0.0,9.17985065927,26.9147,95.7910295181,44.7941772282,41.7485,9.24835228989
 01/01  14:00:00,34.4863072364,4.07908474528,0.0,0.0,9.17985065927,19.4245,85.862548384,43.2157881169,33.3988,9.24796026714
 01/01  15:00:00,34.4908146907,4.07908474528,0.0,0.0,9.17985065927,19.4245,77.2634339192,45.2880436004,25.0491,6.92629031873
 01/01  16:00:00,34.4782560803,4.07908474528,0.0,0.0,9.17985065927,19.4245,86.9052852876,46.5795828317,33.3988,6.92690245594
 01/01  17:00:00,41.9125088898,4.07908474528,0.0115949313776,0.0,9.17985065927,26.9147,101.057886753,44.0319227663,50.0982,6.92776398651
 01/01  18:00:00,46.1368005139,4.07908474528,0.0,0.0,9.17985065927,26.9147,107.840621153,48.4910508831,50.0982,9.25137026963
 01/01  19:00:00,46.1274546026,4.07908474528,0.0,0.0,9.17985065927,26.9147,112.218962224,50.5399052355,50.0982,11.5808569886
 01/01  20:00:00,38.7593222383,4.07908474528,0.0,0.0,9.17985065927,19.4245,98.3144212599,53.3354379966,33.3988,11.5801832633
 01/01  21:00:00,38.7316258851,4.07908474528,0.0,0.0,9.17985065927,19.4245,98.1177373522,55.4696645503,33.3988,9.24927280188
 01/01  22:00:00,38.6573103492,4.07908474528,0.0,0.0,9.17985065927,19.4245,99.637918441,63.0078991285,25.0491,11.5809193125
 01/01  23:00:00,38.5420427472,4.07908474528,0.0,0.0,9.17985065927,19.4245,95.2780534151,69.3303918924,16.6994,9.24826152264
 01/01  24:00:00,39.3335767367,4.07908474528,0.0,0.0,9.17985065927,19.4245,88.2562846596,75.2917517186,8.3497,4.61483294105
 01/02  01:00:00,22.5674968245,4.07908474528,0.0,0.0,4.58992532963,8.1892,97.3604841918,88.8303746135,3.33988,5.19022957835
 01/02  02:00:00,14.6532644643,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  03:00:00,14.6754929381,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.6851852485,0.0,0.0,0.0,1.52997510988,7.4902,3.93194667446,0.0,3.33988,0.592066674461
 01/02  05:00:00,14.8327731789,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,22.6775463895,4.07908474528,0.00520268346336,0.0,4.58992532963,8.1892,115.170605545,106.22883296,8.3497,0.592072584668
 01/02  07:00:00,38.6409779476,4.07908474528,0.0124221134504,0.0,9.17985065927,19.4245,114.082257042,93.9204662181,16.6994,3.46239082427
 01/02  08:00:00,41.8792607572,4.07908474528,0.0145768368282,0.0,9.17985065927,26.9147,123.917465345,84.9462585636,25.0491,13.9221067811
 01/02  09:00:00,41.8862931057,4.07908474528,0.0,0.0,9.17985065927,26.9147,122.732960871,76.583647622,33.3988,12.7505132487
 01/02  10:00:00,34.4046398679,4.07908474528,0.0,0.0,9.17985065927,19.4245,108.743071886,73.2804417404,25.0491,10.4135301454
 01/02  11:00:00,41.8954788898,4.07908474528,0.00802658280766,0.0,9.17985065927,26.9147,126.770785889,75.7760879161,41.7485,9.24619797302
 01/02  12:00:00,42.6699345532,4.07908474528,0.0,0.0,9.17985065927,26.9147,112.75515243,60.5930944424,41.7485,10.4135579876
 01/02  13:00:00,41.9656059436,4.07908474528,0.0,0.0,9.17985065927,26.9147,99.6797859035,48.6851357497,41.7485,9.24615015375
 01/02  14:00:00,34.4370907178,4.07908474528,0.0,0.0,9.17985065927,19.4245,93.1596661822,51.6742978659,33.3988,8.08656831636
 01/02  15:00:00,34.4357783922,4.07908474528,0.0,0.0,9.17985065927,19.4245,89.7484466482,57.7736276289,25.0491,6.92571901923
 01/02  16:00:00,34.4275460195,4.07908474528,0.0,0.0,9.17985065927,19.4245,101.086651687,60.760901101,33.3988,6.92695058566
 01/02  17:00:00,41.855091782,4.07908474528,0.00555327224581,0.0,9.17985065927,26.9147,117.018243743,59.992900993,50.0982,6.92714275032
 01/02  18:00:00,46.0888297149,4.07908474528,0.0,0.0,9.17985065927,26.9147,119.27183959,59.9245447785,50.0982,9.24909481132
 01/02  19:00:00,46.093966567,4.07908474528,0.00172517027179,0.0,9.17985065927,26.9147,118.118020392,55.2693156972,50.0982,12.7505046952
 01/02  20:00:00,38.7322914718,4.07908474528,0.0,0.0,9.17985065927,19.4245,105.184382986,57.8642897285,33.3988,13.9212932573
 01/02  21:00:00,38.7093219625,4.07908474528,0.0,0.0,9.17985065927,19.4245,104.620501981,59.644106202,33.3988,11.5775957789
 01/02  22:00:00,38.6399778613,4.07908474528,0.0,0.0,9.17985065927,19.4245,101.892508137,64.6736173225,25.0491,12.1697908148
