Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,795.391306269,97.5774534137,352.766901874,0.0,34.9616554283,113.312780494,799.527492477,785.15767553,5.66466996096,8.70514698573
 01/01  02:00:00,855.949277323,97.5774534137,414.993076551,0.0,34.9616554283,113.312780494,808.97501489,785.919567603,5.66466996096,17.3907773254
 01/01  03:00:00,874.131362458,97.5774534137,432.548138537,0.0,34.9616554283,113.312780494,807.670417252,793.30030167,5.66466996096,8.70544562033
 01/01  04:00:00,883.722895413,97.5774534137,440.625921006,0.0,34.9616554283,113.312780494,822.667899119,799.612140472,5.66466996096,17.3910886855
 01/01  05:00:00,896.473939026,97.5774534137,444.676277118,0.0,44.4937663224,113.312780494,807.221546958,792.851312905,5.66466996096,8.70556409182
 01/01  06:00:00,900.420016206,97.5774534137,447.92630774,0.0,44.4937663224,113.312780494,827.711580967,796.158606302,14.1616749024,17.3912997626
 01/01  07:00:00,979.634498298,97.5774534137,450.82351596,0.0,54.0258772165,176.889270242,761.996805938,724.967786183,28.3233498048,8.70566994942
 01/01  08:00:00,969.991602673,97.5774534137,451.294975305,0.0,54.0258772165,184.38654557,778.69219829,718.815670164,42.4850247072,17.3915034187
 01/01  09:00:00,1062.31634592,97.5774534137,473.116298861,0.0,65.1572554096,220.04316451,762.943069548,688.837155152,56.6466996096,17.4592147868
 01/01  10:00:00,1108.48357651,97.5774534137,524.073555086,0.0,65.1572554096,212.545889182,739.822442892,679.803251387,42.4850247072,17.534166797
 01/01  11:00:00,1138.95719044,97.5774534137,554.548017092,0.0,65.1572554096,220.04316451,768.443689814,671.239722623,70.808374512,26.3955926794
 01/01  12:00:00,1145.27442652,97.5774534137,561.315172837,0.0,65.1572554096,220.04316451,761.134993173,663.928690667,70.808374512,26.3979279936
 01/01  13:00:00,1148.16055391,97.5774534137,562.421056868,0.0,65.1572554096,220.04316451,746.70849053,649.503332158,70.808374512,26.3967838603
 01/01  14:00:00,1138.45396932,97.5774534137,565.069695628,0.0,65.1572554096,212.545889182,731.188979232,648.146629733,56.6466996096,26.3956498898
 01/01  15:00:00,1140.50161391,97.5774534137,570.205607148,0.0,65.1572554096,212.545889182,701.856826277,632.977282158,42.4850247072,26.394519412
 01/01  16:00:00,1142.63591483,97.5774534137,572.378400705,0.0,65.1572554096,212.545889182,693.879851696,610.834636453,56.6466996096,26.3985156336
 01/01  17:00:00,1122.61256716,97.5774534137,572.179669919,0.0,65.1572554096,220.04316451,718.765693639,607.398291915,84.9700494144,26.3973523104
 01/01  18:00:00,1084.29289104,97.5774534137,562.713633988,0.0,54.0258772165,184.38654557,751.337675233,648.83216202,84.9700494144,17.535463799
 01/01  19:00:00,1001.8876025,97.5774534137,502.643534769,0.0,44.4937663224,163.454314868,790.529843114,688.167667888,84.9700494144,17.3921258116
 01/01  20:00:00,949.10413277,97.5774534137,451.030415596,0.0,44.4937663224,155.95703954,758.357380094,693.004559611,56.6466996096,8.70612087299
 01/01  21:00:00,880.143545074,97.5774534137,409.546426108,0.0,44.4937663224,124.558693486,807.760702081,733.721726372,56.6466996096,17.3922761
 01/01  22:00:00,855.381266912,97.5774534137,393.362881137,0.0,44.4937663224,124.558693486,791.847040951,740.655784541,42.4850247072,8.70623170256
 01/01  23:00:00,830.130096989,97.5774534137,375.054092399,0.0,34.9616554283,124.558693486,810.019411473,764.306091727,28.3233498048,17.3899699409
 01/01  24:00:00,791.795808432,97.5774534137,329.741371933,0.0,34.9616554283,124.558693486,817.765086951,794.897072115,14.1616749024,8.70633993342
 01/02  01:00:00,755.371732975,97.5774534137,288.491907302,0.0,46.0930336215,113.312780494,857.774689574,834.719693807,5.66466996096,17.390325806
 01/02  02:00:00,722.790471151,97.5774534137,250.067127712,0.0,46.0930336215,113.312780494,895.448189508,881.076934388,5.66466996096,8.70658515965
 01/02  03:00:00,696.770252518,97.5774534137,218.868621504,0.0,46.0930336215,113.312780494,962.922985797,939.867639456,5.66466996096,17.3906763807
 01/02  04:00:00,673.660808971,97.5774534137,190.512725363,0.0,46.0930336215,113.312780494,1023.82219788,1009.4507973,5.66466996096,8.70673061707
 01/02  05:00:00,739.49923186,97.5774534137,163.682387044,0.0,100.150657288,148.969399434,1065.49145662,1042.43440253,5.66466996096,17.3923841194
 01/02  06:00:00,784.829050151,97.5774534137,216.702092925,0.0,100.150657288,149.894399434,1408.78263764,1385.91408942,14.1616749024,8.70687331628
 01/02  07:00:00,1027.69789041,97.5774534137,241.090063591,0.0,176.471037341,302.612436532,1007.04500047,961.330465005,28.3233498048,17.3911856595
 01/02  08:00:00,1139.74777018,97.5774534137,245.347117613,0.0,243.2593065,310.10971186,953.67654838,893.648961072,42.4850247072,17.5425626014
 01/02  09:00:00,1209.72855014,97.5774534137,272.395526846,0.0,243.2593065,310.10971186,899.209599093,816.137676349,56.6466996096,26.4252231342
 01/02  10:00:00,1280.19660188,97.5774534137,306.879973164,0.0,243.2593065,302.612436532,863.169435156,785.327635677,42.4850247072,35.3567747719
 01/02  11:00:00,1296.36778662,97.5774534137,315.22895922,0.0,243.2593065,310.10971186,871.653687266,765.304136552,70.808374512,35.5411762021
