Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,131.350308744,30.7647614095,7.74169682651,0.0,34.4311606118,33.1021868926,172.873994822,62.6350308535,3.33212,106.906843968
 01/01  02:00:00,131.124351821,30.7647614095,7.4562732773,0.0,34.4311606118,33.1021868926,140.824657845,55.5780936384,3.33212,81.9144442069
 01/01  03:00:00,111.621415435,30.7647614095,5.44719039588,0.0,19.466279405,30.610668775,135.703317913,51.8136083887,3.33212,80.557589524
 01/01  04:00:00,110.386841025,30.7647614095,4.23168237528,0.0,19.466279405,30.610668775,133.391964728,49.5035915926,3.33212,80.5562531356
 01/01  05:00:00,117.676487682,30.7647614095,4.95050952118,0.0,19.466279405,30.610668775,159.610847815,48.1033445384,3.33212,108.175383277
 01/01  06:00:00,131.194533575,30.7647614095,6.22316526634,0.0,19.466279405,30.610668775,186.76189719,47.3367876746,8.3303,131.094809515
 01/01  07:00:00,210.444638133,30.7647614095,13.8918016892,0.0,42.6918050922,54.3732441037,257.740120212,45.7347365629,16.6606,195.344783649
 01/01  08:00:00,322.974383236,35.5695992151,83.1349549717,0.0,49.3960418185,88.5934452969,542.627506879,199.510334329,24.9909,318.126272551
 01/01  09:00:00,343.543908266,35.5474108974,71.9573637826,0.0,57.6566862989,112.030105488,694.440866814,207.558090611,33.3212,453.561576202
 01/01  10:00:00,284.32445006,35.7860735749,68.5018366596,0.0,50.9524495726,81.1684271793,587.418931985,192.308686268,66.8089,328.301345717
 01/01  11:00:00,216.189955984,35.8799683015,45.3127017786,0.0,42.6918050922,68.9656133826,529.473497226,195.375143681,83.4695,250.628853546
 01/01  12:00:00,198.966507224,35.908430423,31.8312229549,0.0,38.286128036,68.9656133826,486.398258209,205.574547163,83.4695,197.354211046
 01/01  13:00:00,192.313637306,35.9337329641,26.0162967443,0.0,38.286128036,68.9656133826,436.117752425,206.677170463,83.4695,145.971081962
 01/01  14:00:00,170.998964349,36.0096232166,23.5616600373,0.0,31.5818913096,56.727595265,431.1363116,210.037303839,75.1392,145.959807761
 01/01  15:00:00,171.285178621,36.073267762,23.7405086785,0.0,31.5818913096,56.727595265,418.655790333,206.226047642,66.8089,145.620842691
 01/01  16:00:00,176.037878095,36.0962900212,28.4788802398,0.0,31.5818913096,56.727595265,419.476266434,198.724231471,75.1392,145.612834963
 01/01  17:00:00,204.932521389,35.8531314237,28.3868117012,0.0,31.5818913096,61.661095265,390.955245936,190.745444128,91.7998,108.410001808
 01/01  18:00:00,241.41919378,35.5474108974,23.725002964,0.0,31.5818913096,70.9729253606,393.374825501,205.408550985,49.9818,137.984474516
 01/01  19:00:00,309.506661196,35.5474108974,27.4625806252,0.0,80.3315023541,83.7685254822,440.533589851,227.965218464,49.9818,162.586571387
 01/01  20:00:00,322.329727497,35.5474108974,36.4566826189,0.0,102.000620287,77.6748002752,480.953318183,231.977988381,33.3212,215.654129802
 01/01  21:00:00,350.405774903,35.5474108974,44.0963675835,0.0,108.704857014,91.4735406516,484.212931703,235.818870046,33.3212,215.072861657
 01/01  22:00:00,329.22415985,35.5474108974,51.0998785978,0.0,95.2963835608,89.1510273009,476.347709695,235.725964995,24.9909,215.630844699
 01/01  23:00:00,280.844572308,35.5474108974,55.7779548569,0.0,80.3315023541,63.3799339444,582.65890215,247.713804269,16.6606,318.284497881
 01/01  24:00:00,190.983941789,35.5558141798,30.1337596993,0.333712227108,42.6918050922,48.4199368926,469.244875755,280.935855065,8.3303,179.97872069
 01/02  01:00:00,117.540276798,30.7647614095,5.40235079425,0.0,25.5240853573,30.610668775,176.715633042,65.1852851058,3.33212,108.198227936
 01/02  02:00:00,106.500565624,30.7647614095,1.71293290521,0.0,19.418418834,29.3649097162,146.058544355,62.2535837578,3.33212,80.4728405974
 01/02  03:00:00,96.9264256747,30.7647614095,0.0550670288851,0.0,12.7620426787,28.1191506574,145.470054105,61.6642466581,3.33212,80.4736874465
 01/02  04:00:00,96.8942832627,30.7731646919,0.0,0.0164150364214,12.7620426787,28.1191506574,146.442012717,62.635904403,3.33212,80.4739883136
 01/02  05:00:00,103.767743271,30.7899712568,0.0,0.299504478867,12.7620426787,28.1191506574,176.107877829,64.5765217247,3.33212,108.199236105
 01/02  06:00:00,131.472902511,30.7899712568,0.118013314293,0.316936615565,25.5240853573,30.610668775,258.727878915,63.464169613,8.3303,186.933409302
 01/02  07:00:00,237.876536765,30.7899712568,8.86656179422,0.161414561612,51.0481707146,78.1489452969,392.403571443,58.1444118447,16.6606,317.598559599
 01/02  08:00:00,301.882295906,35.5604827066,26.5127813515,0.0,64.3609230253,109.708623606,740.271712838,292.696630893,24.9909,422.584181945
 01/02  09:00:00,265.696135664,35.5642174623,32.6931965327,0.239088675518,51.0481707146,80.7689615957,664.749032533,301.512325942,33.3212,329.91550659
 01/02  10:00:00,260.115930879,35.5642174623,54.9016452103,0.531834415379,51.0481707146,71.0224615957,588.825905958,272.845635486,66.8089,249.171370472
 01/02  11:00:00,202.307251226,35.572277671,45.8004095421,0.513334206758,32.1804615127,65.7244621605,562.205487171,281.827554541,83.4695,196.90843263
 01/02  12:00:00,216.966696532,35.6536673347,59.8617932793,0.198718713034,32.1804615127,65.7244621605,492.440121347,262.772986982,83.4695,146.197634366
 01/02  13:00:00,205.26936591,35.7337652099,48.9241235703,0.0,32.1804615127,65.7244621605,473.276441662,243.80350339,83.4695,146.003438272
 01/02  14:00:00,182.170168908,35.7552956908,35.5305898619,0.0,32.1804615127,55.9779621605,463.37387982,242.402805159,75.1392,145.831874661
 01/02  15:00:00,178.311037346,35.7745604927,31.6583240305,0.0,32.1804615127,55.9779621605,453.189853692,240.740591236,66.8089,145.640362456
 01/02  16:00:00,175.092767103,35.8292126692,28.3570798141,0.0,32.1804615127,55.9779621605,456.741218688,237.762672292,75.1392,143.839346396
 01/02  17:00:00,197.64122565,35.6371341919,21.8900455176,0.0,32.1804615127,60.9114621605,426.762285318,224.795317649,91.7998,110.167167669
 01/02  18:00:00,243.322737944,35.5474108974,18.7917757922,0.0,32.1804615127,77.5397301883,455.85180288,243.658169919,49.9818,162.211832961
 01/02  19:00:00,310.650358799,35.5474108974,29.3693946084,0.0,77.122965704,86.2600435998,602.046712682,258.763783374,49.9818,293.301129308
 01/02  20:00:00,325.391107309,35.5474108974,36.55743786,0.0,102.647051061,80.1663183927,503.975421081,254.324077146,33.3212,216.330143935
 01/02  21:00:00,354.196132297,35.5474108974,40.0820726676,0.0,115.40909374,92.7192997104,502.273711828,253.15260053,33.3212,215.799911298
 01/02  22:00:00,345.862821998,35.5474108974,55.3198479874,0.0,102.647051061,94.1340635361,591.534928893,246.606220839,24.9909,319.937808055
 01/02  23:00:00,270.914247976,35.5474108974,46.9228850792,0.0,77.122965704,65.871452062,515.248934591,254.135541326,16.6606,244.452793265
 01/02  24:00:00,180.096725284,35.5600158211,23.5677599074,0.625761466688,38.286128036,48.4199368926,424.241762039,284.939669538,8.3303,130.971792502
 01/03  01:00:00,115.77420702,30.7647614095,3.67172932849,0.0,25.5240853573,30.610668775,176.275454829,64.7371662504,3.33212,108.206168579
 01/03  02:00:00,106.832784124,30.7647614095,2.05170033736,0.0,19.418418834,29.3649097162,145.564803891,61.7482827823,3.33212,80.4844011087
 01/03  03:00:00,97.8795352434,30.7647614095,1.00551697132,0.0,12.7620426787,28.1191506574,144.762200517,60.9461949029,3.33212,80.4838856145
 01/03  04:00:00,97.0258281728,30.7689630507,0.15742695203,0.0,12.7620426787,28.1191506574,145.314277696,61.4988579056,3.33212,80.4832997906
 01/03  05:00:00,104.267913327,30.7899712568,0.0,0.17334976052,12.7620426787,28.1191506574,174.341418963,62.7891689871,3.33212,108.220129976
 01/03  06:00:00,133.810261424,30.7899712568,1.97124926937,0.13758512863,25.5240853573,30.610668775,256.86736413,61.2493766168,8.3303,187.287687513
 01/03  07:00:00,243.896194612,30.7689630507,14.3257205539,0.00325032123906,51.0481707146,78.1489452969,391.988098035,55.6666207875,16.6606,319.660877248
 01/03  08:00:00,326.643954444,35.5624147434,50.0826499503,0.106435807221,64.3609230253,109.708623606,716.37704341,270.936462877,24.9909,420.449680533
 01/03  09:00:00,288.848446807,35.5726207447,55.0622383196,0.13541359693,51.0481707146,80.7689615957,645.684717642,279.962257429,33.3212,332.401260213
 01/03  10:00:00,274.13289455,35.5937282027,69.0411302037,0.241596752408,51.0481707146,71.0224615957,568.5411254,254.497204998,66.8089,247.235020402
 01/03  11:00:00,214.531463994,35.6697844963,57.9182964412,0.291491244526,32.1804615127,65.7244621605,527.007402676,246.573697125,83.4695,196.964205551
 01/03  12:00:00,199.540500873,35.7413839144,42.3720127746,0.0,32.1804615127,65.7244621605,476.937421136,240.589229317,83.4695,152.878691819
 01/03  13:00:00,188.647092488,35.8287956984,32.0452850325,0.0,32.1804615127,65.7244621605,459.92778895,230.42631272,83.4695,146.03197623
 01/03  14:00:00,170.964195017,35.8822448355,23.9904485045,0.0,32.1804615127,55.9779621605,449.774236415,229.143923395,75.1392,145.49111302
 01/03  15:00:00,165.954718285,35.9044114018,18.9652725763,0.0,32.1804615127,55.9779621605,438.398347277,232.177834903,66.8089,139.411612374
 01/03  16:00:00,164.320585633,35.9250412215,17.3308342822,0.0,32.1804615127,55.9779621605,450.585886051,229.7688708,75.1392,145.677815251
 01/03  17:00:00,193.840057488,35.6866337775,17.928976952,0.0,32.1804615127,60.9114621605,414.582266759,214.348121628,91.7998,108.434345131
 01/03  18:00:00,240.973573234,35.5474108974,16.3929954327,0.0,32.1804615127,77.5397301883,451.191773927,238.883350508,49.9818,162.326623419
 01/03  19:00:00,306.908777655,35.5474108974,25.6226603529,0.0,77.122965704,86.2600435998,609.056521257,263.017006678,49.9818,296.05771458
 01/03  20:00:00,321.220065044,35.5474108974,32.8221127378,0.0,102.647051061,80.1663183927,515.181693326,260.64085311,33.3212,221.219640216
 01/03  21:00:00,347.631580299,35.5474108974,33.9521646025,0.0,115.40909374,92.7192997104,513.56728766,264.454447792,33.3212,215.791639868
 01/03  22:00:00,336.999161563,35.5474108974,46.8302094492,0.0,102.647051061,94.1340635361,608.232940196,263.107122594,24.9909,320.134917603
 01/03  23:00:00,260.178838898,35.5558141798,35.9729479855,0.281454424029,77.122965704,65.871452062,536.122010027,276.813422514,16.6606,242.647987513
 01/03  24:00:00,165.046444828,35.5558141798,9.09103155395,0.154552918479,38.286128036,48.4199368926,449.762960716,308.752415159,8.3303,132.680245557
 01/04  01:00:00,115.207894617,30.7899712568,2.97636119501,0.110835901263,25.5240853573,30.610668775,181.775348969,70.208339883,3.33212,108.234889086
 01/04  02:00:00,105.90637173,30.7899712568,0.828351052408,0.274309324448,19.418418834,29.3649097162,150.831855855,67.0062078459,3.33212,80.4935280095
 01/04  03:00:00,97.4360777913,30.7899712568,0.0,0.53426768177,12.7620426787,28.1191506574,150.011329926,66.1825522303,3.33212,80.4966576959
 01/04  04:00:00,97.6988968941,30.7899712568,0.0,0.798053323968,12.7620426787,28.1191506574,150.736894136,66.9083743301,3.33212,80.4963998056
 01/04  05:00:00,104.550067949,30.7899712568,0.0,1.07525970533,12.7620426787,28.1191506574,180.133772397,68.5673981607,3.33212,108.234254237
 01/04  06:00:00,132.233004631,30.7899712568,0.110555940932,1.07905158976,25.5240853573,30.610668775,262.677814933,67.0093084213,8.3303,187.338206512
 01/04  07:00:00,240.826754646,30.7899712568,11.0678498221,0.917556698271,51.0481707146,78.1489452969,397.554534909,61.0490065917,16.6606,319.844928317
 01/04  08:00:00,306.212552697,35.556515826,30.8564698856,0.0,64.3609230253,109.708623606,754.85786845,309.012439302,24.9909,420.854529149
 01/04  09:00:00,307.968941267,35.5600158211,75.0361115276,0.019490855685,51.0481707146,80.7689615957,650.761788888,284.839754906,33.3212,332.600833982
 01/04  10:00:00,320.558509331,35.820163754,114.811677642,0.215891527091,51.0481707146,71.0224615957,518.922061706,204.772620673,66.8089,247.340541033
 01/04  11:00:00,230.166050877,36.0400217961,73.4575138821,0.0,32.1804615127,65.7244621605,380.022376564,99.3183948724,83.4695,197.234481691
 01/04  12:00:00,218.714019685,36.0865818502,61.3879327968,0.0,32.1804615127,65.7244621605,316.034749812,79.8539708959,83.4695,152.711278916
 01/04  13:00:00,223.594547743,36.1280774606,66.8615812129,0.0,32.1804615127,65.7244621605,287.676068349,58.1366357417,83.4695,146.069932608
 01/04  14:00:00,218.247251403,36.1668950696,71.1145605952,0.0,32.1804615127,55.9779621605,257.812098483,36.7839907365,75.1392,145.888907746
