Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,112.523814033,23.5291092283,13.6434469059,13.2881912754,4.12243109448,15.9888894789,101.170814399,98.1790839808,2.97173041782,0.02
 01/02  02:00:00,103.013775991,19.680447486,10.8467964952,13.1481763528,4.12243109448,15.9888894789,87.0925708861,84.1008404683,2.97173041782,0.02
 01/02  03:00:00,124.312406634,24.6005593575,12.3551133244,18.9455797606,4.12243109448,15.9888894789,109.967395027,106.975664609,2.97173041782,0.02
 01/02  04:00:00,108.184591428,19.680447486,8.71618720846,16.4935954768,4.12243109448,15.9888894789,89.4693035866,86.4775731688,2.97173041782,0.02
 01/02  05:00:00,156.308217585,29.0835324542,10.1810714601,20.0681504363,12.3672932834,24.9413748627,127.148717029,122.175832999,4.9528840297,0.02
 01/02  06:00:00,183.796290906,28.653671578,15.9598526946,47.2681658598,12.3672932834,24.9413748627,197.728321542,192.755437512,4.9528840297,0.02
 01/02  07:00:00,233.86946951,29.5762575287,11.5480396652,48.9121090581,24.7345865669,70.7195625826,185.375580909,175.449812849,9.90576805939,0.02
 01/02  08:00:00,237.706257046,29.6296572769,11.5508148707,35.5623065908,37.1018798503,92.3937384068,165.972957336,156.047189277,9.90576805939,0.02
 01/02  09:00:00,240.231589058,29.6486063282,12.8082043963,26.9745633833,37.1018798503,104.434947198,151.948511426,142.022743366,9.90576805939,0.02
 01/02  10:00:00,247.254045413,29.6595234347,13.7104395736,21.4997573197,37.1018798503,116.476155989,149.749855445,131.220125759,9.90576805939,8.62396162614
 01/02  11:00:00,244.257718163,29.6781882723,13.7121418486,18.9645399258,37.1018798503,116.476155989,137.522256288,127.596488229,9.90576805939,0.02
 01/02  12:00:00,241.80921004,29.7246553768,15.5823472103,15.6356172582,37.1018798503,116.476155989,127.277655882,117.351887823,9.90576805939,0.02
 01/02  13:00:00,230.205013423,29.7537476609,16.8818381129,13.1086171892,37.1018798503,104.434947198,126.540495655,108.009332332,9.90576805939,8.62539526426
 01/02  14:00:00,238.63284251,29.7818372991,16.8845310585,11.2488762157,37.1018798503,116.476155989,115.439483954,105.513715895,9.90576805939,0.02
 01/02  15:00:00,237.965152045,29.8206145093,16.8881058053,9.98889770302,37.1018798503,116.476155989,121.399191636,102.865468526,9.90576805939,8.62795505087
 01/02  16:00:00,241.002388843,29.8204191197,17.8420828138,10.0846564486,37.1018798503,116.476155989,113.401024499,103.47525644,9.90576805939,0.02
 01/02  17:00:00,241.794005823,29.827996069,17.5859445478,10.5778581231,37.1018798503,116.476155989,113.94780403,104.02203597,9.90576805939,0.02
 01/02  18:00:00,252.567386059,29.8179665562,16.295070413,12.1209357399,37.1018798503,116.476155989,117.472838447,107.547070388,9.90576805939,0.02
 01/02  19:00:00,161.73587887,27.9178290546,16.0392818412,0.136309697208,24.7345865669,47.5788473902,96.7537264415,83.1932542613,4.9528840297,8.60758815054
