Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,60.4451063678,1.63076223841,3.43809080017,0.0,15.863942322,29.242365,15.6398385189,12.4141585189,3.20568,0.02
 01/01  02:00:00,60.0817224306,1.50531898931,3.18881225535,0.0,15.863942322,29.242365,14.5017165084,11.2760365084,3.20568,0.02
 01/01  03:00:00,61.2474859735,1.88164873663,3.97485750713,0.0,15.863942322,29.242365,22.0221192485,15.9339886101,3.20568,2.88245063833
 01/01  04:00:00,60.0723546781,1.50531898931,3.1784753082,0.0,15.863942322,29.242365,16.91901915,13.69333915,3.20568,0.02
 01/01  05:00:00,61.453087,1.88164873663,3.96479589419,0.0,15.863942322,29.242365,21.5767630293,18.3510830293,3.20568,0.02
 01/01  06:00:00,60.2635899485,1.50531898931,3.16863640337,0.0,15.863942322,29.242365,21.2096722385,15.1215759691,3.20568,2.88241626935
 01/01  07:00:00,61.4383101727,1.88164873663,3.94861033287,0.0,15.863942322,29.242365,22.4591461494,19.2334661494,3.20568,0.02
 01/01  08:00:00,51.6345863849,1.50531898931,3.16796641854,0.0,15.863942322,29.242365,13.8687691033,10.6430891033,3.20568,0.02
 01/01  09:00:00,50.4829617965,1.12898924198,2.38983119965,0.0,15.863942322,29.242365,11.5465035602,5.45700506205,3.20568,2.88381849814
 01/01  10:00:00,46.9852912805,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,46.9802139483,0.0,0.0,0.0,15.863942322,29.242365,6.08948674913,0.0,3.20568,2.88380674913
 01/01  12:00:00,47.6789663209,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,46.9635045747,0.0,0.0,0.0,15.863942322,29.242365,6.08937612085,0.0,3.20568,2.88369612085
 01/01  14:00:00,47.0098890948,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,47.0287020887,0.0,0.0,0.0,15.863942322,29.242365,6.0880623789,0.0,3.20568,2.8823823789
 01/01  16:00:00,47.0194750327,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,46.923314672,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,54.0574844054,0.0,0.0,0.0,15.863942322,29.242365,6.08816245101,0.0,3.20568,2.88248245101
 01/01  19:00:00,55.4711317317,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.6755966328,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.6516628406,0.0,0.0,0.0,15.863942322,29.242365,6.08812802631,0.0,3.20568,2.88244802631
 01/01  22:00:00,59.3987883599,1.12898924198,2.73099384048,0.0,15.863942322,29.242365,7.8420444637,4.6163644637,3.20568,0.02
 01/01  23:00:00,59.1038245939,1.12898924198,2.59823029247,0.0,15.863942322,29.242365,11.6337380937,5.54559902133,3.20568,2.88245907233
 01/01  24:00:00,62.0905829757,1.88164873663,4.1016597705,0.0,15.863942322,29.242365,16.4666186191,13.2409386191,3.20568,0.02
 01/02  01:00:00,60.1592584279,1.60858406961,3.18532788429,0.0,15.863942322,29.242365,21.2385437463,18.0128637463,3.20568,0.02
 01/02  02:00:00,63.4493786273,3.96015467179,4.11295120525,0.0,15.863942322,29.242365,64.7056212004,58.616159083,3.20568,2.8837821174
 01/02  03:00:00,62.3500152179,3.63305355408,3.34109879843,0.0,15.863942322,29.242365,64.2540673773,61.0283873773,3.20568,0.02
 01/02  04:00:00,64.186617185,4.79947964335,3.99427841889,0.0,15.863942322,29.242365,103.504422898,97.4149172222,3.20568,2.88382567533
 01/02  05:00:00,62.5322532654,3.83958371468,3.09179308549,0.0,15.863942322,29.242365,92.7986714301,89.5729914301,3.20568,0.02
 01/02  06:00:00,64.3647198207,4.79947964335,3.96494461565,0.0,15.863942322,29.242365,117.087147928,110.997660164,3.20568,2.88380776408
 01/02  07:00:00,65.7213650732,7.85500683513,0.00409793047784,0.0,15.863942322,29.818365,776.710435151,770.621097327,3.20568,2.88365782373
 01/02  08:00:00,121.330962872,7.85500683513,0.0,0.0,80.527626,29.818365,509.846509493,506.620829493,3.20568,0.02
 01/02  09:00:00,166.324624487,7.85500683513,0.00731502670938,0.0,80.527626,75.0917375,369.591694081,336.879317145,24.0426,8.66977693645
 01/02  10:00:00,166.305368259,7.85500683513,0.00265671911627,0.0,80.527626,75.0917375,305.082112023,263.618696698,24.0426,17.4208153249
 01/02  11:00:00,170.295306189,7.85500683513,0.00144093349971,0.0,80.527626,79.0911225,285.611671816,239.022125333,32.0568,14.5327464831
 01/02  12:00:00,171.04661879,7.85500683513,0.0,0.0,80.527626,79.0911225,237.199710055,187.672065,32.0568,17.4708450556
 01/02  13:00:00,170.289675386,7.85500683513,0.0,0.0,80.527626,79.0911225,208.312201532,155.84459055,32.0568,20.4108109823
 01/02  14:00:00,166.306208771,7.85500683513,0.0,0.0,80.527626,75.0917375,199.373196289,162.914107719,16.0284,20.4306885702
 01/02  15:00:00,166.30372677,7.85500683513,0.0,0.0,80.527626,75.0917375,189.560161131,159.009580079,16.0284,14.5221810522
 01/02  16:00:00,164.285884041,7.85500683513,0.0,0.0,80.527626,73.092045,180.078166214,159.42976746,3.20568,17.4427187541
 01/02  17:00:00,164.178492612,7.85500683513,0.0,0.0,80.527626,73.092045,172.512209159,166.419471346,3.20568,2.88705781361
 01/02  18:00:00,128.070772077,7.85500683513,0.0,0.0,80.527626,29.818365,220.440194397,214.347576561,3.20568,2.88693783563
 01/02  19:00:00,129.50956332,7.85500683513,0.0,0.0,80.527626,29.818365,253.037897093,244.066359364,3.20568,5.7658577289
 01/02  20:00:00,129.732563827,7.85500683513,0.0,0.0,80.527626,29.818365,267.379861173,258.400167419,3.20568,5.77401375434
 01/02  21:00:00,129.723178608,7.85500683513,0.0,0.0,80.527626,29.818365,282.125943105,273.149918087,3.20568,5.77034501804
 01/02  22:00:00,55.463874177,0.0,0.0,0.0,15.863942322,29.242365,8.97591581967,0.0,3.20568,5.77023581967
 01/02  23:00:00,55.3574844431,0.0,0.0,0.0,15.863942322,29.242365,6.09379490998,0.0,3.20568,2.88811490998
 01/02  24:00:00,56.1524942555,0.0,0.0,0.0,15.863942322,29.242365,6.0920952777,0.0,3.20568,2.8864152777
 01/03  01:00:00,55.3851699749,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  02:00:00,59.3263074525,1.12898924198,2.80770992404,0.0,15.863942322,29.242365,7.15581039811,1.06633640809,3.20568,2.88379399002
 01/03  03:00:00,61.6019832744,1.88164873663,4.33236345061,0.0,15.863942322,29.242365,5.80303645059,2.57735645059,3.20568,0.02
 01/03  04:00:00,60.1190574563,1.50531898931,3.23259453827,0.0,15.863942322,29.242365,9.07791310901,2.98844424206,3.20568,2.88378886695
