Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5772032611,2.20856687498,0.0,0.0,1.85583932782,5.577,41.3695942258,36.6298843272,3.0011,1.73860989863
 01/01  02:00:00,9.52598863858,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.55592054688,0.0,0.0,0.0,0.618613109274,5.0,3.59317515478,0.0,3.0011,0.592075154785
 01/01  04:00:00,9.5718837576,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.72431997894,0.0,0.0,0.0,0.618613109274,5.0,3.59318105328,0.0,3.0011,0.592081053276
 01/01  06:00:00,13.7534050177,2.20856687498,0.0,0.0,1.85583932782,5.577,39.8246886537,35.3030386537,4.50165,0.02
 01/01  07:00:00,28.2245809742,2.20856687498,0.0,0.0,3.71167865564,18.077,43.4098782069,28.7399191484,13.50495,1.16500905845
 01/01  08:00:00,25.6501029526,2.20856687498,0.0,0.0,3.71167865564,18.077,48.1391798687,25.3938444047,21.0077,1.73763546405
 01/01  09:00:00,20.6579472288,2.20856687498,0.0,0.0,3.71167865564,13.077,41.41232023,25.2416900942,15.0055,1.16513013586
 01/01  10:00:00,20.6780340392,2.20856687498,0.0,0.0,3.71167865564,13.077,38.7973442414,22.6266398747,15.0055,1.16520436676
 01/01  11:00:00,25.6763339847,2.20856687498,0.0,0.0,3.71167865564,18.077,55.5964415846,19.122281185,33.0121,3.46206039962
 01/01  12:00:00,26.8133270776,2.20856687498,0.0,0.0,3.71167865564,18.077,61.557027541,17.0062849692,40.51485,4.0358925718
 01/01  13:00:00,25.9049092795,2.20856687498,0.0,0.0,3.71167865564,18.077,54.4385954184,15.5382949891,36.0132,2.88710042932
 01/01  14:00:00,25.7107159725,2.20856687498,0.0,0.0,3.71167865564,18.077,48.9112198842,14.5127948339,31.51155,2.8868750503
 01/01  15:00:00,20.7145756763,2.20856687498,0.0,0.0,3.71167865564,13.077,38.5360506502,15.2158281454,21.0077,2.3125225048
 01/01  16:00:00,20.6979514104,2.20856687498,0.0,0.0,3.71167865564,13.077,37.0918380567,15.2721984972,19.50715,2.31248955957
 01/01  17:00:00,20.6153955244,2.20856687498,0.0,0.0,3.71167865564,13.077,40.1899516868,15.3692414399,22.50825,2.31246024695
 01/01  18:00:00,28.1394054816,2.20856687498,0.0,0.0,3.71167865564,18.077,46.5313595353,18.1345919292,25.50935,2.88741760615
