Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,206.326993689,9.99732788807,77.5889332032,0.0,43.513341876,52.539744,128.054280012,123.200020012,4.83426,0.02
 01/01  02:00:00,190.822749205,7.79996478179,64.4962150989,0.0,43.513341876,52.539744,95.4564617248,90.6022017248,4.83426,0.02
 01/01  03:00:00,216.45861138,16.6095673985,81.0342036634,0.0,43.513341876,52.539744,129.744155971,124.889895971,4.83426,0.02
 01/01  04:00:00,193.372196907,9.70042360763,65.1391707589,0.0,43.513341876,52.539744,98.2070036722,93.3527436722,4.83426,0.02
 01/01  05:00:00,211.191805472,10.7793711746,81.1663814205,0.0,43.513341876,52.539744,130.039868863,125.185608863,4.83426,0.02
 01/01  06:00:00,201.444234265,17.2727070885,65.2387000626,0.0,43.513341876,52.539744,96.9738213149,92.1195613149,4.83426,0.02
 01/01  07:00:00,210.527601574,10.1458848993,81.1336516438,0.0,43.513341876,52.539744,137.746115406,124.302290126,4.83426,8.60956528022
 01/01  08:00:00,172.355899004,5.89950595595,65.5590706508,0.0,43.513341876,52.539744,83.6733645863,78.8191045863,4.83426,0.02
 01/01  09:00:00,192.226051624,8.56216921109,82.4718362645,0.0,43.513341876,52.539744,97.9880522171,93.1337922171,4.83426,0.02
 01/01  10:00:00,172.822646147,4.31579026774,67.5393573147,0.0,43.513341876,52.539744,64.6886833864,59.8344233864,4.83426,0.02
 01/01  11:00:00,191.99142514,5.39473783468,85.3667402039,0.0,43.513341876,52.539744,75.5100334345,70.6557734345,4.83426,0.02
 01/01  12:00:00,175.259584126,4.31579026774,69.0932190469,0.0,43.513341876,52.539744,62.6026837224,49.1520469715,4.83426,8.61637675087
 01/01  13:00:00,194.007738841,5.39473783468,87.4271205872,0.0,43.513341876,52.539744,53.842911123,48.988651123,4.83426,0.02
 01/01  14:00:00,173.641391092,4.13009400372,68.5467024588,0.0,43.513341876,52.539744,36.491987762,31.637727762,4.83426,0.02
 01/01  15:00:00,165.598301062,3.60823522886,61.1176364967,0.0,43.513341876,52.539744,26.3716993567,21.5174393567,4.83426,0.02
 01/01  16:00:00,125.476365199,1.4855701122,23.7083835615,0.0,43.513341876,52.539744,17.812620126,4.36801994275,4.83426,8.61034018323
 01/01  17:00:00,118.398232002,1.11417758415,17.2905542543,0.0,43.513341876,52.539744,8.00874140965,3.15448140965,4.83426,0.02
 01/01  18:00:00,175.184243401,3.60823522886,56.0102087823,0.0,43.513341876,52.539744,25.2203001716,20.3660401716,4.83426,0.02
 01/01  19:00:00,208.350136011,5.39473783468,84.0042999871,0.0,43.513341876,52.539744,48.0063634804,43.1521034804,4.83426,0.02
 01/01  20:00:00,190.971780812,4.31579026774,67.5769400723,0.0,43.513341876,52.539744,49.1490966859,44.2948366859,4.83426,0.02
 01/01  21:00:00,208.173920708,5.39473783468,83.4730666946,0.0,43.513341876,52.539744,73.7464486644,68.8921886644,4.83426,0.02
 01/01  22:00:00,189.131904494,4.31579026774,65.9995258606,0.0,43.513341876,52.539744,83.2561367278,78.4018767278,4.83426,0.02
