Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,42.5577762174,5.86799511703,0.0425258465226,6.08126265176,12.925468867,10.100111941,32.7400306542,32.7200306542,0.0,0.02
 01/01  02:00:00,42.9368082235,5.8933916715,0.0377707491369,6.44074766372,12.925468867,10.100111941,36.4801700902,30.7244707913,0.0,5.75569929884
 01/01  03:00:00,39.3709739253,5.95891236159,0.0283315414626,7.43787539853,8.34152022915,10.0650221343,31.0233292528,31.0033292528,0.0,0.02
 01/01  04:00:00,39.9292867964,5.99372926085,0.0219526087671,7.96774174468,8.34152022915,10.0650221343,37.0766819714,31.3207478953,0.0,5.75593407611
 01/01  05:00:00,41.9084543639,6.01657684061,0.0166019498104,8.32281664855,8.34152022915,11.6705166398,31.5903594173,31.5703594173,0.0,0.02
 01/01  06:00:00,46.3421390239,6.03339382164,0.0117476563167,8.58624344846,8.80141237637,15.3678112995,36.55060517,30.7847090436,0.0,5.76589612647
 01/01  07:00:00,64.5821372446,5.92497018163,0.0217025590713,6.94813421178,18.5082010057,25.6353820695,35.2904275586,29.5143474373,0.0,5.77608012132
 01/01  08:00:00,70.2705462064,5.72469098391,0.0485383054148,3.89127651452,19.4926561212,41.1001056674,39.4120908556,27.8304508286,0.0,11.581640027
 01/01  09:00:00,92.4741721445,5.62628967436,1.17839019921,1.30612312813,26.3286599382,57.9988325916,50.1181964997,20.6736917384,0.0,29.4445047613
 01/01  10:00:00,78.8632073906,5.59075278951,2.83829188418,1.34413944636,26.2443270014,42.8153538416,65.4722747716,18.1393980212,18.025,29.3078767504
 01/01  11:00:00,57.2557495323,5.71739162585,2.84150624494,3.48140177138,21.7447113004,23.4437158914,59.9479936382,18.5303342356,18.025,23.3926594026
 01/01  12:00:00,55.1395388819,5.73607946331,2.86270616702,3.72731294872,19.3449162599,23.4437158914,54.2424572953,18.6995771639,18.025,17.5178801314
 01/01  13:00:00,54.5672879734,5.70540381691,2.6802372744,3.22601156125,19.190480192,23.7425572507,54.320963448,18.8144982488,18.025,17.4814651992
 01/01  14:00:00,53.923484034,5.66867920274,2.65054290073,2.62250840026,19.260583323,23.698576057,56.5845676014,15.2554210959,18.025,23.3041465054
 01/01  15:00:00,53.0777200333,5.61588788243,2.67219822187,1.8078798333,19.260583323,23.698576057,49.5338706544,14.0239420454,18.025,17.484928609
 01/01  16:00:00,52.3599864032,5.59135964297,2.69854531311,1.37827513094,19.260583323,23.4086260847,50.0089578054,14.499656837,18.025,17.4843009684
 01/01  17:00:00,55.8580250368,5.58330144788,1.87059954898,1.26100521373,19.260583323,27.8781056672,37.9803214722,14.1955886014,18.025,5.75973287082
 01/01  18:00:00,69.8027468822,5.55872963545,0.0984745955891,0.843963127788,18.1807569449,37.5792895564,23.1368008451,17.3710926413,0.0,5.76570820377
 01/01  19:00:00,83.7482055522,5.57141773999,0.441970811593,0.539671429347,32.6059821062,37.0465235296,29.2739075971,23.5032223286,0.0,5.77068526841
 01/01  20:00:00,84.27645971,5.59483784724,0.651049741743,0.604361983021,36.8143715336,33.066984531,31.7175123925,25.9369540398,0.0,5.78055835278
 01/01  21:00:00,90.271137923,5.66313721484,1.22028683798,0.602003489707,36.43363367,38.8072253906,34.45463686,28.6749216875,0.0,5.77971517249
