Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,77.8816149803,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,77.7348397897,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,77.5686197455,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,77.4058864053,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553708898,0.0,1.75125,1.16428708898
 01/01  05:00:00,84.0807930716,0.292043720692,0.0,0.0,3.49369000822,6.81298672936,1.81827502509,0.0470250250943,1.75125,0.02
 01/01  06:00:00,89.2246656739,5.72535327863,0.0,0.0,3.49369000822,6.81298672936,9.91481116043,8.14356116043,1.75125,0.02
 01/01  07:00:00,121.735587171,25.3794460709,0.0,0.0,6.98738001645,14.1499734587,422.677739766,418.010924947,3.5025,1.16431481917
 01/01  08:00:00,117.698865747,25.3794460709,0.0,0.0,6.98738001645,14.1499734587,390.893162125,387.370662125,3.5025,0.02
 01/01  09:00:00,154.025043279,25.3794460709,0.0,0.0,6.98738001645,14.1499734587,344.918857622,340.25201446,3.5025,1.16434316198
 01/01  10:00:00,128.393389461,25.3794460709,0.0,0.0,6.98738001645,14.1499734587,324.249363076,320.726863076,3.5025,0.02
 01/01  11:00:00,162.999018965,25.3794460709,0.0,0.0,27.9495200658,27.7759469175,294.885402312,286.715728426,7.005,1.16467388648
 01/01  12:00:00,194.691319756,25.3794460709,0.0,0.0,27.9495200658,27.7759469175,282.591720253,275.566720253,7.005,0.02
 01/01  13:00:00,202.679383426,25.3794460709,0.0,0.0,41.9242800987,36.8599292233,258.256292756,247.751460952,9.34,1.16483180466
