Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.8885591916,4.08425523353,0.0,0.0,4.58992532963,8.1892,9.24891974999,0.139540551811,3.33988,5.76949919818
 01/01  02:00:00,14.9711255882,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.9918739383,0.0,0.0,0.0,1.52997510988,7.4902,3.93197357047,0.0,3.33988,0.592093570465
 01/01  04:00:00,15.0023295613,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,15.1605595366,0.0,0.0,0.0,1.52997510988,7.4902,3.93192771874,0.0,3.33988,0.592047718745
 01/01  06:00:00,22.9939015262,4.08425523353,0.0,0.0,4.58992532963,8.1892,17.0328156326,8.66311563262,8.3497,0.02
 01/01  07:00:00,38.9877980367,4.08425523353,0.0393268255463,0.0,9.17985065927,19.4245,21.2201877673,1.05902594124,16.6994,3.46176182604
 01/01  08:00:00,42.2351147026,4.08425523353,0.0380322159224,0.0,9.17985065927,26.9147,29.0855422173,0.0,25.0491,4.03644221735
 01/01  09:00:00,42.2561794247,4.08425523353,0.0417184126481,0.0,9.17985065927,26.9147,36.8610463871,0.0,33.3988,3.4622463871
 01/01  10:00:00,34.7409254876,4.08425523353,0.00212583441454,0.0,9.17985065927,19.4245,28.5647356041,0.0523659248351,25.0491,3.46326967923
 01/01  11:00:00,43.2195491158,4.08425523353,0.978995579674,0.0,9.17985065927,26.9147,53.3299247488,0.0,41.7485,11.5814247488
 01/01  12:00:00,47.2171226078,4.08425523353,4.23193939632,0.0,9.17985065927,26.9147,53.3294673198,0.0,41.7485,11.5809673198
 01/01  13:00:00,49.1508639281,4.08425523353,6.80238377471,0.0,9.17985065927,26.9147,50.9963788272,0.0,41.7485,9.24787882724
 01/01  14:00:00,41.4756088156,4.08425523353,6.67610575482,0.0,9.17985065927,19.4245,42.6467713683,0.0,33.3988,9.24797136826
 01/01  15:00:00,40.5932380463,4.08425523353,5.78829474411,0.0,9.17985065927,19.4245,31.9751699457,0.0,25.0491,6.92606994574
 01/01  16:00:00,39.7223867664,4.08425523353,4.92729450749,0.0,9.17985065927,19.4245,40.325972602,0.0,33.3988,6.927172602
 01/01  17:00:00,47.7591821248,4.08425523353,5.4838473708,0.0,9.17985065927,26.9147,57.0264605761,0.0,50.0982,6.92826057613
 01/01  18:00:00,51.6761140196,4.08425523353,5.17777913835,0.0,9.17985065927,26.9147,59.3476640453,0.0,50.0982,9.24946404532
 01/01  19:00:00,51.9239136248,4.08425523353,5.43638039077,0.0,9.17985065927,26.9147,61.680100522,0.0,50.0982,11.581900522
 01/01  20:00:00,43.5571752124,4.08425523353,4.4332194869,0.0,9.17985065927,19.4245,44.9809785118,0.0,33.3988,11.5821785118
 01/01  21:00:00,43.2005289004,4.08425523353,4.09789497552,0.0,9.17985065927,19.4245,42.6480500906,0.0,33.3988,9.24925009061
 01/01  22:00:00,40.116414708,4.08425523353,1.11086687556,0.0,9.17985065927,19.4245,36.6299925182,0.0,25.0491,11.5808925182
 01/01  23:00:00,39.1156506564,4.08425523353,0.238527210707,0.0,9.17985065927,19.4245,25.9476417403,0.0,16.6994,9.2482417403
 01/01  24:00:00,39.642094714,4.08425523353,0.0,0.0,9.17985065927,19.4245,13.0104825501,0.0459600038469,8.3497,4.61482254621
 01/02  01:00:00,22.9252979334,4.08425523353,0.0,0.0,4.58992532963,8.1892,8.72631176086,0.196213663873,3.33988,5.19021809699
 01/02  02:00:00,14.996162485,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  03:00:00,15.0130958983,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,15.0235912576,0.0,0.0,0.0,1.52997510988,7.4902,3.93194542158,0.0,3.33988,0.592065421584
 01/02  05:00:00,15.192658272,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,23.0480174591,4.08425523353,0.0,0.0,4.58992532963,8.1892,9.23209364041,0.29032230643,8.3497,0.592071333978
 01/02  07:00:00,39.0649349593,4.08425523353,0.061431226359,0.0,9.17985065927,19.4245,20.1617832372,0.0,16.6994,3.46238323718
 01/02  08:00:00,42.3451487635,4.08425523353,0.12158258371,0.0,9.17985065927,26.9147,38.9850499397,0.0137889597739,25.0491,13.92216098
 01/02  09:00:00,42.9139882272,4.08425523353,0.687243883249,0.0,9.17985065927,26.9147,46.1482993955,0.0,33.3988,12.7494993955
 01/02  10:00:00,34.9850989599,4.08425523353,0.243065324447,0.0,9.17985065927,19.4245,35.4627035357,0.0,25.0491,10.4136035357
 01/02  11:00:00,44.3581277094,4.08425523353,2.10819185439,0.0,9.17985065927,26.9147,50.9938810496,0.0,41.7485,9.2453810496
 01/02  12:00:00,48.6141098101,4.08425523353,5.63419509576,0.0,9.17985065927,26.9147,52.1608879725,0.0,41.7485,10.4123879725
 01/02  13:00:00,51.2312034488,4.08425523353,8.88724593151,0.0,9.17985065927,26.9147,50.9954641401,0.0,41.7485,9.24696414006
 01/02  14:00:00,42.6054593795,4.08425523353,7.8102995737,0.0,9.17985065927,19.4245,41.4856407126,0.0,33.3988,8.08684071261
 01/02  15:00:00,40.7867578177,4.08425523353,5.98862480691,0.0,9.17985065927,19.4245,31.9748152285,0.0,25.0491,6.92571522854
 01/02  16:00:00,39.7644720243,4.08425523353,4.96643231907,0.0,9.17985065927,19.4245,40.3249501686,0.0,33.3988,6.92615016863
 01/02  17:00:00,48.4517871029,4.08425523353,6.16858676418,0.0,9.17985065927,26.9147,57.0243620202,0.0,50.0982,6.92616202024
 01/02  18:00:00,53.1818224042,4.08425523353,6.67633247404,0.0,9.17985065927,26.9147,59.3482728337,0.0,50.0982,9.2500728337
 01/02  19:00:00,54.2198819318,4.08425523353,7.72464887554,0.0,9.17985065927,26.9147,62.8481919188,0.0,50.0982,12.7499919188
 01/02  20:00:00,45.0636966407,4.08425523353,5.90245317115,0.0,9.17985065927,19.4245,47.3203170795,0.0,33.3988,13.9215170795
 01/02  21:00:00,44.1011827047,4.08425523353,4.99924475946,0.0,9.17985065927,19.4245,44.9764102222,0.0,33.3988,11.5776102222
