Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,986.519716345,97.6272173034,597.341220634,0.0,34.9616554283,113.312780494,511.693485061,497.323632859,5.66466996096,8.70518224067
 01/01  02:00:00,996.912896989,97.6272173034,608.42041224,0.0,34.9616554283,113.312780494,530.11997159,507.064498897,5.66466996096,17.390802732
 01/01  03:00:00,996.387679136,97.6272173034,607.91866832,0.0,34.9616554283,113.312780494,527.246202827,512.87608091,5.66466996096,8.70545195576
 01/01  04:00:00,996.008522154,97.6272173034,607.518886826,0.0,34.9616554283,113.312780494,540.252174425,517.196406456,5.66466996096,17.3910980083
 01/01  05:00:00,1012.42731232,97.6272173034,614.05892027,0.0,44.4937663224,113.312780494,527.305709863,512.935471469,5.66466996096,8.7055684331
 01/01  06:00:00,1016.4733061,97.6272173034,618.400369917,0.0,44.4937663224,113.312780494,550.921957775,519.368974907,14.1616749024,17.3913079652
 01/01  07:00:00,1076.49948004,97.6272173034,604.578958723,0.0,54.0258772165,176.889270242,491.395161993,454.366138046,28.3233498048,8.70567414259
 01/01  08:00:00,1060.75107077,97.6272173034,596.459433084,0.0,54.0258772165,184.38654557,509.196165619,449.31962939,42.4850247072,17.3915115215
 01/01  09:00:00,1134.36181362,97.6272173034,590.188071084,0.0,65.1572554096,220.04316451,500.317602808,426.211680619,56.6466996096,17.4592225793
 01/01  10:00:00,1115.18542774,97.6272173034,577.548036207,0.0,65.1572554096,212.545889182,469.501663954,409.48246299,42.4850247072,17.5341762563
 01/01  11:00:00,1120.16037724,97.6272173034,574.890123383,0.0,65.1572554096,220.04316451,495.540970919,398.337157293,70.808374512,26.395439114
 01/01  12:00:00,1113.43114001,97.6272173034,566.766550871,0.0,65.1572554096,220.04316451,485.026145474,387.819830466,70.808374512,26.3979404956
 01/01  13:00:00,1107.46673948,97.6272173034,561.555383823,0.0,65.1572554096,220.04316451,483.933175713,386.728005296,70.808374512,26.3967959049
 01/01  14:00:00,1096.94883739,97.6272173034,558.242540514,0.0,65.1572554096,212.545889182,458.497401976,375.455040493,56.6466996096,26.3956618731
 01/01  15:00:00,1098.07498937,97.6272173034,559.506378104,0.0,65.1572554096,212.545889182,429.782334948,360.902778879,42.4850247072,26.3945313616
 01/01  16:00:00,1102.18289646,97.6272173034,563.961465861,0.0,65.1572554096,212.545889182,423.974602881,340.929025388,56.6466996096,26.3988778832
 01/01  17:00:00,1080.68918091,97.6272173034,568.013675863,0.0,65.1572554096,220.04316451,470.962226702,359.594774086,84.9700494144,26.3974032016
 01/01  18:00:00,1051.85910063,97.6272173034,570.668246128,0.0,54.0258772165,184.38654557,483.428403647,380.922878173,84.9700494144,17.5354760591
 01/01  19:00:00,1025.6523028,97.6272173034,575.142392255,0.0,44.4937663224,163.454314868,518.515307591,416.153123758,84.9700494144,17.3921344188
 01/01  20:00:00,1021.03639971,97.6272173034,577.397217448,0.0,44.4937663224,155.95703954,485.296461579,419.943636563,56.6466996096,8.70612540555
 01/01  21:00:00,990.245884007,97.6272173034,578.121002231,0.0,44.4937663224,124.558693486,529.427650922,455.389149638,56.6466996096,17.3918016747
 01/01  22:00:00,992.162429243,97.6272173034,580.573050358,0.0,44.4937663224,124.558693486,514.071786314,462.880525201,42.4850247072,8.7062364051
 01/01  23:00:00,983.63805011,97.6272173034,582.230192932,0.0,34.9616554283,124.558693486,526.129805625,480.416477063,28.3233498048,17.3899787569
 01/01  24:00:00,984.782781686,97.6272173034,582.342128399,0.0,34.9616554283,124.558693486,509.128128974,486.260109307,14.1616749024,8.70634476452
 01/02  01:00:00,983.757763804,97.6272173034,582.496313195,0.0,46.0930336215,113.312780494,510.996531615,487.941526957,5.66466996096,17.3903346975
 01/02  02:00:00,989.791053975,97.6272173034,588.945109855,0.0,46.0930336215,113.312780494,510.362874016,495.991614067,5.66466996096,8.70658998828
 01/02  03:00:00,990.702287797,97.6272173034,589.889186595,0.0,46.0930336215,113.312780494,523.941241322,500.885886105,5.66466996096,17.3906852562
 01/02  04:00:00,988.686320534,97.6272173034,587.753184486,0.0,46.0930336215,113.312780494,517.626684867,503.255279474,5.66466996096,8.70673543244
 01/02  05:00:00,1082.89418336,97.6272173034,591.769635665,0.0,100.150657288,148.969399434,495.922143964,472.865081025,5.66466996096,17.3923929776
 01/02  06:00:00,1070.94276564,97.6272173034,577.068839838,0.0,100.150657288,149.894399434,987.846115045,964.977562058,14.1616749024,8.70687808464
 01/02  07:00:00,1297.54431726,97.6272173034,574.642104442,0.0,176.471037341,302.612436532,646.149172795,600.434628532,28.3233498048,17.3911944581
 01/02  08:00:00,1404.83814986,97.6272173034,573.974761193,0.0,243.2593065,310.10971186,596.755490676,536.727894708,42.4850247072,17.5425712616
 01/02  09:00:00,1442.77902679,97.6272173034,570.474414497,0.0,243.2593065,310.10971186,582.721941,499.650005485,56.6466996096,26.4252359051
 01/02  10:00:00,1472.60536211,97.6272173034,566.761355531,0.0,243.2593065,302.612436532,559.710312997,481.868494233,42.4850247072,35.3567940572
 01/02  11:00:00,1474.82951375,97.6272173034,561.182177731,0.0,243.2593065,310.10971186,558.14663193,451.797062889,70.808374512,35.5411945283
 01/02  12:00:00,1471.53064029,97.6272173034,556.583038839,0.0,243.2593065,310.10971186,535.752391816,429.333072297,70.808374512,35.6109450072
 01/02  13:00:00,1426.17938618,97.6729129022,552.75635581,0.0,243.2593065,310.10971186,512.666392196,406.421742653,70.808374512,35.4362750303
 01/02  14:00:00,1458.15461214,97.7820406688,551.341457412,0.0,243.2593065,302.612436532,492.844444093,400.585686544,56.6466996096,35.6120579399
 01/02  15:00:00,1456.38365028,97.8796738965,549.522879031,0.0,243.2593065,302.612436532,468.879525156,390.84025785,42.4850247072,35.5542425985
 01/02  16:00:00,1456.23178484,97.9659474185,549.278295242,0.0,243.2593065,302.612436532,469.928556989,377.792195527,56.6466996096,35.4896618531
 01/02  17:00:00,1461.93194531,98.145742175,547.844821996,0.0,243.2593065,310.10971186,495.164072783,374.889126311,84.9700494144,35.3048970575
 01/02  18:00:00,1484.38893333,98.4734706035,554.947470445,0.0,243.2593065,310.10971186,477.560999631,375.099360412,84.9700494144,17.4915898042
 01/02  19:00:00,1226.87016907,97.6272173034,564.529530373,0.0,166.938926447,199.110933808,448.333569339,345.928227817,84.9700494144,17.4352921072
 01/02  20:00:00,1224.37339104,97.6272173034,569.118612798,0.0,166.938926447,191.61365848,418.83135246,353.454771618,56.6466996096,8.72988123265
 01/02  21:00:00,1093.43585491,97.6272173034,572.33597946,0.0,100.150657288,124.558693486,472.189136163,398.104531821,56.6466996096,17.4379047327
 01/02  22:00:00,1061.59953454,97.6272173034,580.634626807,0.0,100.150657288,124.558693486,466.482974783,406.601279456,42.4850247072,17.3966706197
 01/02  23:00:00,999.73292418,97.6272173034,586.92226803,0.0,46.0930336215,124.558693486,462.990158146,425.962202534,28.3233498048,8.70460580669
 01/02  24:00:00,1003.59958345,97.6272173034,590.19187889,0.0,46.0930336215,124.558693486,465.263385575,433.70981607,14.1616749024,17.3918946027
 01/03  01:00:00,993.481505155,97.6272173034,592.59720865,0.0,46.0930336215,113.312780494,454.679042867,440.309547475,5.66466996096,8.70482543114
 01/03  02:00:00,996.382070496,97.6272173034,595.704557878,0.0,46.0930336215,113.312780494,467.805110234,444.748025615,5.66466996096,17.3924146583
 01/03  03:00:00,997.864982959,97.6272173034,597.293369384,0.0,46.0930336215,113.312780494,462.701951396,448.332272719,5.66466996096,8.70500871587
 01/03  04:00:00,999.697239375,97.6272173034,599.35695046,0.0,46.0930336215,113.312780494,475.74827209,452.690848287,5.66466996096,17.3927538425
 01/03  05:00:00,1091.41554862,97.6272173034,597.627555942,0.0,100.150657288,148.969399434,449.320418608,434.950595643,5.66466996096,8.70515300435
 01/03  06:00:00,1085.22381312,97.6272173034,590.226282878,0.0,100.150657288,149.894399434,725.422707154,693.866553309,14.1616749024,17.3944789432
 01/03  07:00:00,1310.32962922,97.8157428329,587.086169784,0.0,176.471037341,302.612436532,519.530741544,482.502095757,28.3233498048,8.70529598151
 01/03  08:00:00,1417.12653527,98.0984165198,586.791817398,0.0,243.2593065,310.10971186,514.513578834,445.723678988,42.4850247072,26.3048751397
 01/03  09:00:00,1455.47909826,98.2168947575,583.650206967,0.0,243.2593065,310.10971186,503.703101369,420.627523697,56.6466996096,26.4288780623
 01/03  10:00:00,1481.76511705,98.3103781246,576.100016915,0.0,243.2593065,302.612436532,470.222579399,401.219957819,42.4850247072,26.5175968721
 01/03  11:00:00,1481.04629045,98.5881580993,567.070061111,0.0,243.2593065,310.10971186,505.975132485,390.73041482,70.808374512,44.4363431536
 01/03  12:00:00,1473.84633593,99.4989066013,557.375319803,0.0,243.2593065,310.10971186,466.144064707,359.731213191,70.808374512,35.6044770042
