Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,196.283500983,31.571216347,70.3562894263,0.0,34.4311606118,33.1021868926,110.305517627,0.0732245506797,3.33212,106.900173077
 01/01  02:00:00,197.415691801,32.3694111734,70.0477011135,0.0,34.4311606118,33.1021868926,85.2695202857,0.0,3.33212,81.9374002857
 01/01  03:00:00,157.299225957,30.7730215206,50.9050738087,0.0,19.466279405,30.610668775,83.8897147526,0.0,3.33212,80.5575947526
 01/01  04:00:00,177.694913928,31.571216347,69.5103301957,0.0,19.466279405,30.610668775,84.0103812923,0.118052357054,3.33212,80.5602089353
 01/01  05:00:00,177.135327438,32.3694111734,60.5778273457,0.0,19.466279405,30.610668775,111.520154579,0.0,3.33212,108.188034579
 01/01  06:00:00,192.899687663,32.3694111734,64.0969965019,0.0,19.466279405,30.610668775,139.585420994,0.158414715996,8.3303,131.096706278
 01/01  07:00:00,306.119092302,33.9658008263,102.433848445,0.0,42.6918050922,54.3732441037,212.087936624,0.109095513791,16.6606,195.318241111
 01/01  08:00:00,384.092830966,35.9953622424,140.517248349,0.0,49.3960418185,88.5934452969,358.272253774,15.0733367064,24.9909,318.208017068
 01/01  09:00:00,413.632132302,35.6348771068,138.436799868,0.0,57.6566862989,112.030105488,494.312665168,7.52682090211,33.3212,453.464644266
 01/01  10:00:00,356.336894592,36.1239360268,136.182232011,0.0,50.9524495726,81.1684271793,398.119884137,2.90875340037,66.8089,328.402230737
 01/01  11:00:00,312.301282757,36.2533329623,136.898844718,0.0,42.6918050922,68.9656133826,341.26397934,7.24635229658,83.4695,250.548127043
 01/01  12:00:00,309.503061387,36.2757881481,137.763355818,0.0,38.286128036,68.9656133826,289.626123356,8.79505335142,83.4695,197.361570005
 01/01  13:00:00,309.842533926,36.3062769724,138.842564003,0.0,38.286128036,68.9656133826,239.568194177,10.1273994655,83.4695,145.971294712
 01/01  14:00:00,291.424576901,36.280592096,139.389443517,0.0,31.5818913096,56.727595265,234.249263762,13.1500333577,75.1392,145.960030404
 01/01  15:00:00,291.575841729,36.310086106,139.511632435,0.0,31.5818913096,56.727595265,224.707674793,12.2779825666,66.8089,145.620792226
 01/01  16:00:00,290.532902485,36.3386046584,138.467504062,0.0,31.5818913096,56.727595265,231.05748758,10.3055648673,75.1392,145.612722712
 01/01  17:00:00,321.751956765,36.0572732055,140.714497396,0.0,31.5818913096,61.661095265,212.772421982,12.5626708027,91.7998,108.409951179
 01/01  18:00:00,364.22422564,35.6083481081,142.059104768,0.0,31.5818913096,70.9729253606,208.731372496,20.7649875125,49.9818,137.984584983
 01/01  19:00:00,427.280048123,35.6458866783,140.797588329,0.0,80.3315023541,83.7685254822,228.934450515,16.3658395615,49.9818,162.586810953
 01/01  20:00:00,430.133466082,35.5819370375,139.662635877,0.0,102.000620287,77.6748002752,261.216266758,12.2399370334,33.3212,215.655129725
 01/01  21:00:00,449.618293547,35.5632943826,138.627535321,0.0,108.704857014,91.4735406516,259.717716577,11.3232555192,33.3212,215.073261058
 01/01  22:00:00,420.677608839,35.6712845713,137.8944084,0.0,95.2963835608,89.1510273009,254.695250652,14.0626833128,24.9909,215.641667339
 01/01  23:00:00,367.747481683,35.672421022,138.321532648,0.0,80.3315023541,63.3799339444,354.152997462,19.2081288941,16.6606,318.284268568
