Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,69.3284778165,12.5783201342,22.2191810016,0.0,4.12243109448,15.9888894789,57.0868859135,54.0951554956,2.97173041782,0.02
 01/02  02:00:00,96.8383039563,21.0805277991,41.0413097965,0.0,4.12243109448,15.9888894789,92.2601774427,89.2684470249,2.97173041782,0.02
 01/02  03:00:00,63.27392097,10.7814172579,18.0078995202,0.0,4.12243109448,15.9888894789,48.1624048998,45.170674482,2.97173041782,0.02
 01/02  04:00:00,95.7453682087,20.9928880551,40.0360138402,0.0,4.12243109448,15.9888894789,90.6598172744,87.6680868566,2.97173041782,0.02
 01/02  05:00:00,132.253809902,28.4653287283,51.6891775887,0.0,12.3672932834,24.9413748627,109.265980892,104.293096862,4.9528840297,0.02
 01/02  06:00:00,142.931983163,28.8594649705,56.5237891038,5.44942551235,12.3672932834,24.9413748627,180.615652363,175.642768333,4.9528840297,0.02
 01/02  07:00:00,208.985881139,30.0365147466,65.2048947749,3.49968704197,24.7345865669,70.7195625826,146.632348399,136.70658034,9.90576805939,0.02
 01/02  08:00:00,229.890155483,30.3293977976,67.3432544387,2.02546481547,37.1018798503,92.3937384068,127.268130442,117.342362383,9.90576805939,0.02
 01/02  09:00:00,242.743192165,30.4701849577,68.7481315842,1.28959366541,37.1018798503,104.434947198,120.413641129,110.48787307,9.90576805939,0.02
 01/02  10:00:00,256.360973287,30.5764753518,70.637621194,0.869938257286,37.1018798503,116.476155989,125.438036435,106.908306749,9.90576805939,8.62396162637
 01/02  11:00:00,260.093077656,30.7220948701,74.5770525429,0.516471368502,37.1018798503,116.476155989,113.78829343,103.86252537,9.90576805939,0.02
