Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.7060702656,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.690740547,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.684965922,0.0,0.0,0.0,15.863942322,29.242365,6.08813070838,0.0,3.20568,2.88245070838
 01/01  04:00:00,55.6815413515,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.9177427811,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.8903847033,0.0,0.0,0.0,15.863942322,29.242365,6.08809636484,0.0,3.20568,2.88241636484
 01/01  07:00:00,55.909764774,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,47.2684792224,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  09:00:00,47.2760806247,0.0,0.0,0.0,15.863942322,29.242365,6.08939762793,0.0,3.20568,2.88371762793
 01/01  10:00:00,47.3081683858,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,47.3135734341,0.0,0.0,0.0,15.863942322,29.242365,6.08948687842,0.0,3.20568,2.88380687842
 01/01  12:00:00,48.0152315505,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,47.3421804247,0.0,0.0,0.0,15.863942322,29.242365,6.08937624873,0.0,3.20568,2.88369624873
 01/01  14:00:00,47.396383591,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,47.420250188,0.0,0.0,0.0,15.863942322,29.242365,6.08806250286,0.0,3.20568,2.88238250286
 01/01  16:00:00,47.4006046766,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,47.2920279158,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,54.424083473,0.0,0.0,0.0,15.863942322,29.242365,6.08816214726,0.0,3.20568,2.88248214726
 01/01  19:00:00,55.839100648,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,56.1005095106,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,56.0753515915,0.0,0.0,0.0,15.863942322,29.242365,6.0881280803,0.0,3.20568,2.8824480803
 01/01  22:00:00,55.9181157635,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.7240868319,0.0,0.0,0.0,15.863942322,29.242365,6.08809401996,0.0,3.20568,2.88241401996
 01/01  24:00:00,56.4073949814,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.7215669106,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  02:00:00,55.7110700848,0.0,0.0,0.0,15.863942322,29.242365,6.08946216718,0.0,3.20568,2.88378216718
 01/02  03:00:00,55.7022196608,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  04:00:00,55.7008002671,0.0,0.0,0.0,15.863942322,29.242365,6.0893540653,0.0,3.20568,2.8836740653
 01/02  05:00:00,55.956380907,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  06:00:00,55.9436400526,0.0,0.0,0.0,15.863942322,29.242365,6.0894460595,0.0,3.20568,2.8837660595
 01/02  07:00:00,90.5593325309,7.85847157363,26.1984153845,0.0,15.863942322,29.818365,6.7531504461,0.663812546603,3.20568,2.88365789949
 01/02  08:00:00,146.818468649,7.85847157363,26.2005155514,0.0,80.527626,29.818365,3.40251807329,0.176838073294,3.20568,0.02
 01/02  09:00:00,195.617077578,8.19311547129,29.36076315,0.0,80.527626,75.0917375,32.7191950269,0.00680443484894,24.0426,8.66979059207
 01/02  10:00:00,202.453969466,8.87553579224,35.4800374123,0.0,80.527626,75.0917375,41.4634164814,0.0,24.0426,17.4208164814
 01/02  11:00:00,213.352033518,9.29494021081,41.9323430797,0.0,80.527626,79.0911225,46.5895472343,0.0,32.0568,14.5327472343
 01/02  12:00:00,224.755109836,9.69440181101,52.2133049858,0.0,80.527626,79.0911225,49.5276459298,0.0,32.0568,17.4708459298
 01/02  13:00:00,233.871050165,10.5320265759,61.1780275454,0.0,80.527626,79.0911225,52.4676045387,0.0,32.0568,20.4108045387
