Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.9370884791,2.21082645596,0.0,0.0,1.85583932782,5.577,4.77300377617,0.0332937903763,3.0011,1.73860998579
 01/01  02:00:00,9.83191905034,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.85029796254,0.0,0.0,0.0,0.618613109274,5.0,3.59317516579,0.0,3.0011,0.59207516579
 01/01  04:00:00,9.85824900797,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,10.0168886246,0.0,0.0,0.0,0.618613109274,5.0,3.59318106426,0.0,3.0011,0.592081064264
 01/01  06:00:00,14.034827738,2.21082645596,0.0,0.0,1.85583932782,5.577,5.4269171135,0.905267113498,4.50165,0.02
 01/01  07:00:00,28.5411177508,2.21082645596,0.00832951820634,0.0,3.71167865564,18.077,14.6700459759,0.0,13.50495,1.16509597588
 01/01  08:00:00,26.0015619856,2.21082645596,0.0130170031322,0.0,3.71167865564,18.077,22.7453360029,0.0,21.0077,1.73763600295
 01/01  09:00:00,21.0004282135,2.21082645596,0.0,0.0,3.71167865564,13.077,16.1707163671,0.0,15.0055,1.16521636706
 01/01  10:00:00,21.1584330253,2.21082645596,0.121972071473,0.0,3.71167865564,13.077,16.1707688396,0.0,15.0055,1.16526883957
 01/01  11:00:00,26.7453447738,2.21082645596,0.690510958275,0.0,3.71167865564,18.077,36.474962599,0.0,33.0121,3.46286259902
 01/01  12:00:00,28.9544387224,2.21082645596,1.77437972596,0.0,3.71167865564,18.077,44.5515170984,0.0,40.51485,4.03666709837
 01/01  13:00:00,28.7579367943,2.21082645596,2.35889232636,0.0,3.71167865564,18.077,38.8998370033,0.0,36.0132,2.88663700333
 01/01  14:00:00,28.9208391226,2.21082645596,2.8097885635,0.0,3.71167865564,18.077,34.3987280688,0.0,31.51155,2.88717806881
 01/01  15:00:00,23.2934269284,2.21082645596,2.1773498528,0.0,3.71167865564,13.077,23.3202197357,0.0,21.0077,2.31251973574
 01/01  16:00:00,23.1241539783,2.21082645596,2.01817450452,0.0,3.71167865564,13.077,21.8194832095,0.0,19.50715,2.31233320948
 01/01  17:00:00,22.6983550505,2.21082645596,1.60263038187,0.0,3.71167865564,13.077,24.8207089434,0.0,22.50825,2.31245894336
 01/01  18:00:00,30.1227810387,2.21082645596,1.53809818048,0.0,3.71167865564,18.077,28.396612645,0.0,25.50935,2.88726264504
 01/01  19:00:00,30.2139670784,2.21082645596,1.67241594299,0.0,3.71167865564,18.077,28.9719491412,0.0,25.50935,3.46259914115
 01/01  20:00:00,30.3076130913,2.21082645596,1.59392972698,0.0,3.71167865564,18.077,29.5456147476,0.0,25.50935,4.03626474758
 01/01  21:00:00,24.8986164372,2.21082645596,1.20793444953,0.0,3.71167865564,13.077,25.3949453682,0.0,22.50825,2.88669536817
 01/01  22:00:00,24.4896962336,2.21082645596,0.901762067191,0.0,3.71167865564,13.077,24.469580143,0.0,21.0077,3.461880143
 01/01  23:00:00,23.9972582267,2.21082645596,0.542121796942,0.0,3.71167865564,13.077,20.8932360463,0.0,18.0066,2.88663604627
 01/01  24:00:00,24.8473273032,2.21082645596,0.247686185825,0.0,3.71167865564,13.077,4.73903945442,0.0,3.0011,1.73793945442
 01/02  01:00:00,14.1932089211,2.21082645596,0.0,0.0,1.85583932782,5.577,4.76441761018,0.0252076250079,3.0011,1.73810998517
 01/02  02:00:00,9.86084831782,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  03:00:00,9.87315870749,0.0,0.0,0.0,0.618613109274,5.0,3.59318407492,0.0,3.0011,0.592084074915
 01/02  04:00:00,9.88084345284,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  05:00:00,10.0491859601,0.0,0.0,0.0,0.618613109274,5.0,3.59318997934,0.0,3.0011,0.592089979344
 01/02  06:00:00,14.0998341287,2.21082645596,0.0,0.0,1.85583932782,5.577,4.62809940072,0.106449400721,4.50165,0.02
 01/02  07:00:00,28.6074643346,2.21082645596,0.0129513027932,0.0,3.71167865564,18.077,14.6701695543,0.0,13.50495,1.16521955435
 01/02  08:00:00,26.4779627804,2.21082645596,0.45010980959,0.0,3.71167865564,18.077,25.6213636129,0.0,21.0077,4.61366361294
 01/02  09:00:00,21.3254609953,2.21082645596,0.295193642995,0.0,3.71167865564,13.077,19.0432530063,0.0,15.0055,4.03775300626
 01/02  10:00:00,21.356428926,2.21082645596,0.309224923608,0.0,3.71167865564,13.077,18.4669826587,0.0,15.0055,3.46148265866
 01/02  11:00:00,27.0769700564,2.21082645596,1.01080709807,0.0,3.71167865564,18.077,35.8992571107,0.0,33.0121,2.88715711073
 01/02  12:00:00,29.0962892799,2.21082645596,1.91762671622,0.0,3.71167865564,18.077,43.9764532039,0.0,40.51485,3.46160320388
 01/02  13:00:00,29.3018895485,2.21082645596,2.90887424852,0.0,3.71167865564,18.077,38.9005802792,0.0,36.0132,2.88738027922
 01/02  14:00:00,29.2364833037,2.21082645596,3.12982275188,0.0,3.71167865564,18.077,33.8245291973,0.0,31.51155,2.31297919734
 01/02  15:00:00,23.2170720023,2.21082645596,2.10775736914,0.0,3.71167865564,13.077,23.3201636595,0.0,21.0077,2.31246365954
 01/02  16:00:00,22.90645653,2.21082645596,1.79753376043,0.0,3.71167865564,13.077,21.819588931,0.0,19.50715,2.31243893105
 01/02  17:00:00,22.8097810938,2.21082645596,1.70600036895,0.0,3.71167865564,13.077,24.8206629571,0.0,22.50825,2.31241295706
 01/02  18:00:00,30.6130189584,2.21082645596,2.00974208481,0.0,3.71167865564,18.077,28.3962323889,0.0,25.50935,2.88688238892
 01/02  19:00:00,30.4216141468,2.21082645596,1.86960188958,0.0,3.71167865564,18.077,29.5467559802,0.0,25.50935,4.03740598023
 01/02  20:00:00,30.4178521803,2.21082645596,1.69739970112,0.0,3.71167865564,18.077,30.1226195938,0.0,25.50935,4.61326959383
 01/02  21:00:00,24.9225349235,2.21082645596,1.23091553185,0.0,3.71167865564,13.077,25.9707175655,0.0,22.50825,3.46246756549
 01/02  22:00:00,24.5941354206,2.21082645596,1.00028412666,0.0,3.71167865564,13.077,25.0453005447,0.0,21.0077,4.03760054473
 01/02  23:00:00,24.0378413195,2.21082645596,0.583670356354,0.0,3.71167865564,13.077,21.4680841181,0.0,18.0066,3.4614841181
 01/02  24:00:00,24.665898575,2.21082645596,0.0799322672616,0.0,3.71167865564,13.077,4.73948455181,0.0,3.0011,1.73838455181
 01/03  01:00:00,14.1657261814,2.21082645596,0.0,0.0,1.85583932782,5.577,4.76468088261,0.0252101085494,3.0011,1.73837077406
 01/03  02:00:00,9.84029433443,0.0,0.0,0.0,0.618613109274,5.0,3.5931726109,0.0,3.0011,0.592072610895
 01/03  03:00:00,9.85853252031,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  04:00:00,9.8675845587,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  05:00:00,10.640333914,0.0,0.0,0.0,0.618613109274,5.0,3.59317851343,0.0,3.0011,0.592078513428
 01/03  06:00:00,14.6790331337,2.21082645596,0.0,0.0,1.85583932782,5.577,4.66042840609,0.138778406092,4.50165,0.02
 01/03  07:00:00,28.8483523411,2.21082645596,0.00799415269157,0.0,3.71167865564,18.077,15.2425081334,0.0,13.50495,1.7375581334
 01/03  08:00:00,26.0113167213,2.21082645596,0.0136265712102,0.0,3.71167865564,18.077,25.0469578212,0.0,21.0077,4.03925782118
 01/03  09:00:00,21.0311539786,2.21082645596,0.0246582495649,0.0,3.71167865564,13.077,19.0434260971,0.0,15.0055,4.03792609713
 01/03  10:00:00,21.3297773789,2.21082645596,0.295880418342,0.0,3.71167865564,13.077,18.4675748192,0.0,15.0055,3.46207481923
 01/03  11:00:00,27.030224926,2.21082645596,0.969533279506,0.0,3.71167865564,18.077,35.899508529,0.0,33.0121,2.88740852898
 01/03  12:00:00,29.5965317263,2.21082645596,2.40070517107,0.0,3.71167865564,18.077,43.9770963401,0.0,40.51485,3.4622463401
 01/03  13:00:00,30.2030487875,2.21082645596,3.78205603128,0.0,3.71167865564,18.077,38.900112446,0.0,36.0132,2.88691244597
 01/03  14:00:00,29.6244213311,2.21082645596,3.50709198506,0.0,3.71167865564,18.077,33.8243394992,0.0,31.51155,2.31278949919
 01/03  15:00:00,23.1948779382,2.21082645596,2.08528900727,0.0,3.71167865564,13.077,23.3204283139,0.0,21.0077,2.31272831387
 01/03  16:00:00,22.6950848726,2.21082645596,1.59354948862,0.0,3.71167865564,13.077,21.8198625993,0.0,19.50715,2.31271259929
 01/03  17:00:00,22.6245177695,2.21082645596,1.53649680155,0.0,3.71167865564,13.077,24.8209455923,0.0,22.50825,2.3126955923
 01/03  18:00:00,29.5367516627,2.21082645596,1.62858815959,0.0,3.71167865564,18.077,28.9703227221,0.0,25.50935,3.4609727221
 01/03  19:00:00,29.7800173127,2.21082645596,1.26266657652,0.0,3.71167865564,18.077,29.5473384618,0.0,25.50935,4.03798846182
 01/03  20:00:00,29.6380587236,2.21082645596,1.12882390641,0.0,3.71167865564,18.077,29.5486897161,0.0,25.50935,4.03933971615
 01/03  21:00:00,24.3811134387,2.21082645596,0.875205849878,0.0,3.71167865564,13.077,25.9703829006,0.0,22.50825,3.46213290064
 01/03  22:00:00,24.0658313094,2.21082645596,0.618249030877,0.0,3.71167865564,13.077,25.0451037355,0.0,21.0077,4.03740373555
 01/03  23:00:00,23.5531136254,2.21082645596,0.119448989181,0.0,3.71167865564,13.077,21.4679573866,0.0,18.0066,3.46135738659
 01/03  24:00:00,24.5641806785,2.21082645596,0.0,0.0,3.71167865564,13.077,5.15267337107,0.0237883577364,3.0011,2.12778501333
 01/04  01:00:00,14.1426013483,2.21082645596,0.0,0.0,1.85583932782,5.577,4.37385068777,0.0244415885652,3.0011,1.34830909921
 01/04  02:00:00,9.82544087893,0.0,0.0,0.0,0.618613109274,5.0,3.59316283427,0.0,3.0011,0.592062834267
 01/04  03:00:00,9.8411813128,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/04  04:00:00,9.83786073261,0.0,0.0,0.0,0.618613109274,5.0,3.59316875234,0.0,3.0011,0.592068752344
 01/04  05:00:00,10.0021943046,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/04  06:00:00,14.040062563,2.21082645596,0.0,0.0,1.85583932782,5.577,5.65648909596,0.562764436734,4.50165,0.592074659224
 01/04  07:00:00,28.5408066509,2.21082645596,0.0107444512025,0.0,3.71167865564,18.077,14.66994455,0.0,13.50495,1.16499455004
 01/04  08:00:00,25.9884664832,2.21082645596,0.00985241600518,0.0,3.71167865564,18.077,25.0462565274,0.0,21.0077,4.03855652743
 01/04  09:00:00,20.9999258214,2.21082645596,0.0,0.0,3.71167865564,13.077,19.0432696805,0.0,15.0055,4.03776968052
 01/04  10:00:00,21.1591866684,2.21082645596,0.125251451098,0.0,3.71167865564,13.077,18.4673273024,0.0,15.0055,3.46182730238
 01/04  11:00:00,26.8541242197,2.21082645596,0.800495036725,0.0,3.71167865564,18.077,35.8995992313,0.0,33.0121,2.88749923129
 01/04  12:00:00,29.1127118075,2.21082645596,1.93499014123,0.0,3.71167865564,18.077,43.9769660219,0.0,40.51485,3.46211602185
 01/04  13:00:00,29.1639862081,2.21082645596,2.76806803881,0.0,3.71167865564,18.077,38.8998006118,0.0,36.0132,2.88660061182
 01/04  14:00:00,29.3230826604,2.21082645596,3.21325924296,0.0,3.71167865564,18.077,34.3976962852,0.0,31.51155,2.88614628525
 01/04  15:00:00,23.2664568428,2.21082645596,2.15614633874,0.0,3.71167865564,13.077,23.3192653188,0.0,21.0077,2.31156531882
 01/04  16:00:00,22.8440801504,2.21082645596,1.74206683841,0.0,3.71167865564,13.077,21.8190242822,0.0,19.50715,2.31187428217
 01/04  17:00:00,22.6456133197,2.21082645596,1.55075315483,0.0,3.71167865564,13.077,24.8208250344,0.0,22.50825,2.31257503441
 01/04  18:00:00,29.8138029654,2.21082645596,1.88381379913,0.0,3.71167865564,18.077,28.3967224165,0.0,25.50935,2.88737241646
 01/04  19:00:00,30.3571534543,2.21082645596,1.80945220217,0.0,3.71167865564,18.077,29.5469151962,0.0,25.50935,4.0375651962
 01/04  20:00:00,30.4522886288,2.21082645596,1.72779358771,0.0,3.71167865564,18.077,29.547665153,0.0,25.50935,4.03831515304
 01/04  21:00:00,25.0175812332,2.21082645596,1.31963258396,0.0,3.71167865564,13.077,26.5442397962,0.0,22.50825,4.03598979621
 01/04  22:00:00,24.7673348269,2.21082645596,1.16693551444,0.0,3.71167865564,13.077,25.04527301,0.0,21.0077,4.03757300997
 01/04  23:00:00,24.2959321044,2.21082645596,0.829505502741,0.0,3.71167865564,13.077,20.8938680626,0.0,18.0066,2.88726806256
 01/04  24:00:00,24.9565609585,2.21082645596,0.356696925804,0.0,3.71167865564,13.077,5.31257965819,0.0,3.0011,2.31147965819
 01/05  01:00:00,14.1844519824,2.21082645596,0.0,0.0,1.85583932782,5.577,4.7656987472,0.0265973154952,3.0011,1.73800143171
 01/05  02:00:00,9.85810404372,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/05  03:00:00,9.87381512044,0.0,0.0,0.0,0.618613109274,5.0,3.59315946987,0.0,3.0011,0.592059469868
 01/05  04:00:00,9.88018910049,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/05  05:00:00,10.0499100402,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/05  06:00:00,14.1018010854,2.21082645596,0.0,0.0,1.85583932782,5.577,5.20615788175,0.112425249548,4.50165,0.5920826322
 01/05  07:00:00,28.6082048898,2.21082645596,0.0130012228474,0.0,3.71167865564,18.077,14.6699852702,0.0,13.50495,1.1650352702
 01/05  08:00:00,26.5092269428,2.21082645596,0.481063629802,0.0,3.71167865564,18.077,25.6200371885,0.0,21.0077,4.61233718847
 01/05  09:00:00,21.650680166,2.21082645596,0.613990923422,0.0,3.71167865564,13.077,19.0437417757,0.0,15.0055,4.03824177568
 01/05  10:00:00,22.2683794131,2.21082645596,1.19515680442,0.0,3.71167865564,13.077,17.8940653083,0.0,15.0055,2.88856530834
 01/05  11:00:00,28.083058712,2.21082645596,1.9820426061,0.0,3.71167865564,18.077,36.4724866227,0.0,33.0121,3.46038662273
 01/05  12:00:00,30.9714548707,2.21082645596,3.74329855588,0.0,3.71167865564,18.077,43.4026705071,0.0,40.51485,2.88782050712
 01/05  13:00:00,31.1942246497,2.21082645596,4.75304769221,0.0,3.71167865564,18.077,38.9005409853,0.0,36.0132,2.88734098531
 01/05  14:00:00,30.1203069242,2.21082645596,4.00108463898,0.0,3.71167865564,18.077,34.3979989792,0.0,31.51155,2.88644897918
 01/05  15:00:00,23.3630147187,2.21082645596,2.25623345645,0.0,3.71167865564,13.077,23.3197308459,0.0,21.0077,2.3120308459
 01/05  16:00:00,22.8482600395,2.21082645596,1.75155220923,0.0,3.71167865564,13.077,21.8191788768,0.0,19.50715,2.31202887678
 01/05  17:00:00,22.6648373619,2.21082645596,1.57552584038,0.0,3.71167865564,13.077,24.8202813893,0.0,22.50825,2.31203138932
 01/05  18:00:00,29.8696265703,2.21082645596,1.89915808726,0.0,3.71167865564,18.077,28.3966074816,0.0,25.50935,2.88725748159
 01/05  19:00:00,30.1208003884,2.21082645596,1.58941977811,0.0,3.71167865564,18.077,29.5469729626,0.0,25.50935,4.0376229626
 01/05  20:00:00,30.0849867339,2.21082645596,1.38832907422,0.0,3.71167865564,18.077,30.1220650989,0.0,25.50935,4.61271509887
 01/05  21:00:00,24.8894339975,2.21082645596,1.20381452169,0.0,3.71167865564,13.077,25.9703827125,0.0,22.50825,3.46213271252
 01/05  22:00:00,24.6339127445,2.21082645596,1.03983658342,0.0,3.71167865564,13.077,25.0449859156,0.0,21.0077,4.03728591562
 01/05  23:00:00,24.0949015089,2.21082645596,0.633319001791,0.0,3.71167865564,13.077,21.4685493327,0.0,18.0066,3.4619493327
 01/05  24:00:00,25.0852614886,2.21082645596,0.471019803223,0.0,3.71167865564,13.077,4.73938956744,0.0,3.0011,1.73828956744
 01/06  01:00:00,14.2149902567,2.21082645596,0.0,0.0,1.85583932782,5.577,4.73914119396,0.0,3.0011,1.73804119396
 01/06  02:00:00,9.86616492855,0.0,0.0,0.0,0.618613109274,5.0,3.59317143326,0.0,3.0011,0.592071433256
 01/06  03:00:00,9.84652835038,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/06  04:00:00,9.82319616436,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/06  05:00:00,10.5202195379,0.0,0.0,0.0,0.618613109274,5.0,3.59315145708,0.0,3.0011,0.592051457079
 01/06  06:00:00,14.4862835361,2.21082645596,0.0,0.0,1.85583932782,5.577,10.7592890843,6.2376390843,4.50165,0.02
 01/06  07:00:00,28.6307634556,2.21082645596,0.0,0.0,3.71167865564,18.077,19.4446486889,4.20204310694,13.50495,1.73765558196
 01/06  08:00:00,25.8109423069,2.21082645596,0.0,0.0,3.71167865564,18.077,27.5072743743,2.46040480563,21.0077,4.03916956867
 01/06  09:00:00,20.8036578826,2.21082645596,0.0,0.0,3.71167865564,13.077,22.5554975035,3.51280664768,15.0055,4.03719085578
 01/06  10:00:00,20.8157497743,2.21082645596,0.0,0.0,3.71167865564,13.077,22.2423300107,3.77494481574,15.0055,3.46188519496
 01/06  11:00:00,25.8146721949,2.21082645596,0.0,0.0,3.71167865564,18.077,39.4320115148,3.53291251514,33.0121,2.8869989997
 01/06  12:00:00,26.9147118986,2.21082645596,0.0,0.0,3.71167865564,18.077,45.660178959,1.68355936488,40.51485,3.46176959408
 01/06  13:00:00,26.0472896665,2.21082645596,0.0,0.0,3.71167865564,18.077,38.9001050407,0.0,36.0132,2.88690504075
 01/06  14:00:00,25.8474726227,2.21082645596,0.0,0.0,3.71167865564,18.077,34.3978149885,0.0,31.51155,2.88626498854
 01/06  15:00:00,20.8445995767,2.21082645596,0.0,0.0,3.71167865564,13.077,25.6122152809,2.29327903937,21.0077,2.31123624154
 01/06  16:00:00,20.8202439822,2.21082645596,0.0,0.0,3.71167865564,13.077,25.6849856717,3.86658890438,19.50715,2.3112467673
 01/06  17:00:00,20.7290696858,2.21082645596,0.0,0.0,3.71167865564,13.077,28.8727601151,4.05325363992,22.50825,2.31125647521
 01/06  18:00:00,27.6296054119,2.21082645596,0.0,0.0,3.71167865564,18.077,30.3651452778,1.96868661388,25.50935,2.8871086639
 01/06  19:00:00,28.2712967821,2.21082645596,0.0,0.0,3.71167865564,18.077,30.8932352352,1.34615183141,25.50935,4.03773340378
 01/06  20:00:00,28.2702271335,2.21082645596,0.0,0.0,3.71167865564,18.077,30.9933083275,1.44513548993,25.50935,4.03882283756
 01/06  21:00:00,23.2605472472,2.21082645596,0.0,0.0,3.71167865564,13.077,29.1639721456,2.61922726537,22.50825,4.03649488025
 01/06  22:00:00,23.2188287537,2.21082645596,0.0,0.0,3.71167865564,13.077,28.1190869524,3.07411214493,21.0077,4.03727480745
 01/06  23:00:00,23.2153605968,2.21082645596,0.0,0.0,3.71167865564,13.077,25.0367393536,4.14237822871,18.0066,2.88776112489
 01/06  24:00:00,24.3512533036,2.21082645596,0.0,0.0,3.71167865564,13.077,11.0944959165,5.78205558463,3.0011,2.31134033188
 01/07  01:00:00,13.9087945876,2.21082645596,0.0,0.0,1.85583932782,5.577,15.1390663541,10.3999522311,3.0011,1.73801412303
 01/07  02:00:00,9.65741353139,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/07  03:00:00,9.69775870471,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/07  04:00:00,9.72361926032,0.0,0.0,0.0,0.618613109274,5.0,3.59317949516,0.0,3.0011,0.592079495159
 01/07  05:00:00,9.89895491162,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/07  06:00:00,13.9416865555,2.21082645596,0.0,0.0,1.85583932782,5.577,10.7029045133,5.60916912833,4.50165,0.592085385002
 01/07  07:00:00,28.4407428869,2.21082645596,0.0,0.0,3.71167865564,18.077,16.8223601679,2.1521747493,13.50495,1.16523541862
 01/07  08:00:00,25.8907710189,2.21082645596,0.0,0.0,3.71167865564,18.077,22.1726302179,0.0,21.0077,1.16493021787
 01/07  09:00:00,20.9175458841,2.21082645596,0.0,0.0,3.71167865564,13.077,16.7432141225,0.0,15.0055,1.73771412251
 01/07  10:00:00,20.9766066468,2.21082645596,0.0,0.0,3.71167865564,13.077,18.4684948737,0.0,15.0055,3.46299487374
 01/07  11:00:00,26.5088618855,2.21082645596,0.464947744625,0.0,3.71167865564,18.077,36.4741806784,0.0,33.0121,3.46208067841
 01/07  12:00:00,29.176859375,2.21082645596,1.98081743882,0.0,3.71167865564,18.077,43.9781449043,0.0,40.51485,3.46329490433
