Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,118.083605242,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  02:00:00,118.054542233,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  03:00:00,118.045232974,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  04:00:00,118.040861682,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  05:00:00,118.514981814,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  06:00:00,118.462612859,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  07:00:00,118.505185561,0.0,0.0,0.0,43.513341876,52.539744,13.4431463284,0.0,4.83426,8.60888632842
 01/01  08:00:00,100.446547202,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  09:00:00,100.464572156,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  10:00:00,100.529334337,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  11:00:00,100.538334315,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  12:00:00,101.389475322,0.0,0.0,0.0,43.513341876,52.539744,13.450633284,0.0,4.83426,8.61637328401
 01/01  13:00:00,100.588353316,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,100.691200719,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  15:00:00,100.732222637,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,351.447483786,2.12716249585,245.909012802,0.0,43.513341876,52.539744,13.4446595183,0.0,4.83426,8.61039951831
 01/01  17:00:00,100.466378914,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,115.374302899,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,118.332270236,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.856337468,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  21:00:00,118.808821834,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  22:00:00,118.500561033,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  23:00:00,118.115704606,0.0,0.0,0.0,43.513341876,52.539744,13.4446102453,0.0,4.83426,8.61035024533
 01/01  24:00:00,118.945421503,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  01:00:00,118.116669873,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  02:00:00,118.096884915,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  03:00:00,118.080992482,0.0,0.0,0.0,43.513341876,52.539744,13.4506708079,0.0,4.83426,8.61641080791
 01/02  04:00:00,118.080260576,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  05:00:00,118.593921742,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  06:00:00,118.57099423,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  07:00:00,798.409606946,73.180610726,598.303006254,0.0,43.513341876,53.238744,13.4625820667,0.0120812771725,4.83426,8.61624078958
 01/02  08:00:00,952.766210298,73.1686216456,593.654290455,0.0,220.879908,53.238744,22.3339632746,0.0,4.83426,17.4997032746
 01/02  09:00:00,1060.60890272,74.8940319962,606.865208146,0.0,220.879908,145.652643033,62.6540899506,0.0,36.25695,26.3971399506
 01/02  10:00:00,1056.9278323,75.9681067433,601.523489596,0.0,220.879908,145.652643033,71.7717036655,0.0,36.25695,35.5147536655
 01/02  11:00:00,1073.91078251,76.8460625473,611.227338234,0.0,220.879908,151.653867033,83.8969448532,0.0,48.3426,35.5543448532
 01/02  12:00:00,1103.80071691,77.8513026869,638.990495581,0.0,220.879908,151.653867033,84.0098369084,0.0,48.3426,35.6672369084
 01/02  13:00:00,1119.0194076,79.8136017685,652.843196672,0.0,220.879908,151.653867033,93.0337223259,0.0,48.3426,44.6911223259
 01/02  14:00:00,1122.97869425,79.6308967564,662.960769479,0.0,220.879908,145.652643033,68.9402527992,0.0108015051303,24.1713,44.7581512941
 01/02  15:00:00,1128.80648572,79.9250641128,668.524288423,0.0,220.879908,145.652643033,59.6945952393,0.0,24.1713,35.5232952393
 01/02  16:00:00,1133.99526516,80.6327609798,680.797170683,0.0,220.879908,137.835547516,40.4149057263,0.0,4.83426,35.5806457263
 01/02  17:00:00,1168.19563898,76.3857447009,724.386515643,0.0,220.879908,133.019064,31.3513409485,0.0120748163793,4.83426,26.5050061321
 01/02  18:00:00,1074.96583182,74.2973204192,698.79683544,0.0,220.879908,53.238744,40.1643027414,0.0,4.83426,35.3300427414
 01/02  19:00:00,1064.82615469,73.9857512288,686.304902131,0.0,220.879908,53.238744,40.2783575253,0.0,4.83426,35.4440975253
 01/02  20:00:00,1053.74616503,73.8033327494,675.076912555,0.0,220.879908,53.238744,13.5110583657,0.0,4.83426,8.67679836566
 01/02  21:00:00,1045.38776019,73.6330803617,667.098241888,0.0,220.879908,53.238744,13.5018383022,0.0,4.83426,8.66757830216
