Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,47.5406444212,6.56208991518,10.4125619059,0.0,12.925468867,10.100111941,0.02,0.0,0.0,0.02
 01/01  02:00:00,45.9388323749,6.43799612675,8.93593810996,0.0,12.925468867,10.100111941,5.75569929279,0.0,0.0,5.75569929279
 01/01  03:00:00,39.9037205251,6.30141242593,7.65645347615,0.0,8.34152022915,10.0650221343,0.222270478317,0.202270478317,0.0,0.02
 01/01  04:00:00,39.192696781,6.23469686747,7.01213673188,0.0,8.34152022915,10.0650221343,6.11704738013,0.361113308593,0.0,5.75593407154
 01/01  05:00:00,40.056283191,6.16847390895,6.33535035743,0.0,8.34152022915,11.6705166398,0.928531761537,0.908531761537,0.0,0.02
 01/01  06:00:00,43.7159759369,6.11218596959,5.89303587012,0.0,8.80141237637,15.3678112995,6.94783032051,1.18193419864,0.0,5.76589612187
 01/01  07:00:00,65.7901226851,6.30894673522,7.79384565789,0.0,18.5082010057,25.6353820695,6.40200303583,0.625922918711,0.0,5.77608011712
 01/01  08:00:00,78.5998074246,6.69391720285,11.2998498194,0.0,19.4926561212,41.1001056674,11.5870519344,0.00541208727047,0.0,11.5816398472
 01/01  09:00:00,109.265592322,7.18682573548,17.7153974214,0.0,26.3286599382,57.9988325916,29.4552336472,0.0103419235801,0.0,29.4448917236
 01/01  10:00:00,95.0323193362,7.01182269228,18.9304733905,0.0,26.2443270014,42.8153538416,47.3328765337,0.0,18.025,29.3078765337
 01/01  11:00:00,68.7248870983,6.66817256497,16.8412646433,0.0,21.7447113004,23.4437158914,41.4176580953,0.0,18.025,23.3926580953
 01/01  12:00:00,68.0059836447,6.73850032751,18.4540430144,0.0,19.3449162599,23.4437158914,35.5428771112,0.0,18.025,17.5178771112
 01/01  13:00:00,68.7890069709,6.74127022116,19.0921014291,0.0,19.190480192,23.7425572507,35.5064653946,0.0,18.025,17.4814653946
 01/01  14:00:00,70.4594488617,6.77317339735,20.7045219341,0.0,19.260583323,23.698576057,41.3291467683,0.0,18.025,23.3041467683
 01/01  15:00:00,71.5223396249,6.84307873343,21.6975067956,0.0,19.260583323,23.698576057,35.5099288063,0.0,18.025,17.4849288063
 01/01  16:00:00,71.5646387814,6.94954828161,21.9232841835,0.0,19.260583323,23.4086260847,35.5093011646,0.0,18.025,17.4843011646
 01/01  17:00:00,73.5012845426,6.84356116587,19.5146045507,0.0,19.260583323,27.8781056672,23.7847393023,0.0,18.025,5.75973930226
 01/01  18:00:00,87.3651403457,6.91847690628,17.1450839161,0.0,18.1807569449,37.5792895564,5.76570826593,0.0,0.0,5.76570826593
 01/01  19:00:00,101.478194062,7.14931550722,17.1337329839,0.0,32.6059821062,37.0465235296,5.77068533108,0.0,0.0,5.77068533108
 01/01  20:00:00,102.988866055,7.31740851784,18.2452473995,0.0,36.8143715336,33.066984531,5.78055841509,0.0,0.0,5.78055841509
 01/01  21:00:00,109.909113503,7.53075538452,19.5926477376,0.0,36.43363367,38.8072253906,5.77971523447,0.0,0.0,5.77971523447
