Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,122.611411808,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,121.068316715,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,119.592131354,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,118.382405279,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553711701,0.0,1.75125,1.16428711701
 01/01  05:00:00,124.363325761,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,122.56788035,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,161.685553146,25.4135017879,0.00848902611356,0.0,6.98738001645,14.1499734587,67.0653767577,62.39856999,3.5025,1.1643067677
 01/01  08:00:00,168.080452057,25.4135017879,0.00567045118272,0.0,6.98738001645,14.1499734587,84.8477211228,81.3252211228,3.5025,0.02
 01/01  09:00:00,201.807302115,25.4135017879,0.101050028154,0.0,6.98738001645,14.1499734587,77.1356166345,72.4687734314,3.5025,1.16434320315
 01/01  10:00:00,184.300380326,25.4135017879,0.273298261875,0.0,6.98738001645,14.1499734587,65.079498067,61.556998067,3.5025,0.02
 01/01  11:00:00,217.71477123,25.4135017879,1.49091046583,0.0,27.9495200658,27.7759469175,51.4945454381,43.3248715126,7.005,1.16467392553
 01/01  12:00:00,243.934558913,25.4135017879,1.92745324418,0.0,27.9495200658,27.7759469175,33.2807489294,26.2557489294,7.005,0.02
 01/01  13:00:00,265.684332348,25.4135017879,3.90050859437,0.0,41.9242800987,36.8599292233,16.7884281492,6.28359630999,9.34,1.16483183918
 01/01  14:00:00,267.307142543,25.4135017879,4.33281092699,0.0,41.9242800987,36.8599292233,10.504779453,0.0,9.34,1.16477945301
 01/01  15:00:00,261.868071779,25.4135017879,4.78652015103,0.0,41.9242800987,36.8599292233,10.5046701769,0.0,9.34,1.16467017693
