Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.5969982286,4.07811411449,0.00178016261888,0.0,4.58992532963,8.1892,78.0889836222,68.9790844812,3.33988,5.77001914107
 01/01  02:00:00,14.6944747958,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.7213663394,0.0,0.0,0.0,1.52997510988,7.4902,3.93197337503,0.0,3.33988,0.592093375028
 01/01  04:00:00,14.7316139729,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8759331552,0.0,0.0,0.0,1.52997510988,7.4902,3.93192752231,0.0,3.33988,0.592047522306
 01/01  06:00:00,22.7000932672,4.07811411449,0.0,0.0,4.58992532963,8.1892,94.3884504459,86.0187504459,8.3497,0.02
 01/01  07:00:00,38.6600254787,4.07811411449,0.0141274965977,0.0,9.17985065927,19.4245,103.606781501,83.4452493425,16.6994,3.46213215846
 01/01  08:00:00,41.8895562244,4.07811411449,0.00990710197619,0.0,9.17985065927,26.9147,97.876211485,68.7908231901,25.0491,4.03628829489
 01/01  09:00:00,41.9279606552,4.07811411449,0.0,0.0,9.17985065927,26.9147,90.2324146143,53.3703445199,33.3988,3.46327009442
 01/01  10:00:00,34.4848784281,4.07811411449,0.0,0.0,9.17985065927,19.4245,71.3311567881,42.8188253978,25.0491,3.4632313903
 01/01  11:00:00,42.0159250243,4.07811411449,0.00426817307861,0.0,9.17985065927,26.9147,80.4686641633,27.1385201383,41.7485,11.5816440249
 01/01  12:00:00,42.7811799553,4.07811411449,0.0,0.0,9.17985065927,26.9147,65.7159019222,12.3871038387,41.7485,11.5802980835
 01/01  13:00:00,42.1306436123,4.07811411449,0.0,0.0,9.17985065927,26.9147,51.7624415875,0.765890921627,41.7485,9.24805066586
 01/01  14:00:00,34.6218943012,4.07811411449,0.0,0.0,9.17985065927,19.4245,42.7196737302,0.072895085811,33.3988,9.24797864441
 01/01  15:00:00,34.6398848332,4.07811411449,0.0,0.0,9.17985065927,19.4245,31.9913659548,0.0156997037169,25.0491,6.92656625109
 01/01  16:00:00,34.6228895199,4.07811411449,0.0,0.0,9.17985065927,19.4245,40.3352853796,0.00940702391009,33.3988,6.92707835566
 01/01  17:00:00,42.0347942258,4.07811411449,0.00482982593018,0.0,9.17985065927,26.9147,57.3014109632,0.276309695647,50.0982,6.92690126753
 01/01  18:00:00,45.1729365981,4.07811411449,0.0,0.0,9.17985065927,26.9147,71.8468721076,12.4987823347,50.0982,9.24988977291
 01/01  19:00:00,46.201012961,4.07811411449,0.0,0.0,9.17985065927,26.9147,82.9085842565,21.2290460403,50.0982,11.5813382162
 01/01  20:00:00,38.8236885216,4.07811411449,0.0,0.0,9.17985065927,19.4245,73.5869860684,28.6077715773,33.3988,11.580414491
 01/01  21:00:00,38.7919629706,4.07811411449,0.0,0.0,9.17985065927,19.4245,76.3002449572,33.6519391435,33.3988,9.24950581372
 01/01  22:00:00,38.7083321128,4.07811411449,0.0,0.0,9.17985065927,19.4245,81.1843041337,44.5551751347,25.0491,11.580028999
 01/01  23:00:00,38.5899653118,4.07811411449,0.0,0.0,9.17985065927,19.4245,76.7040377031,50.7562873233,16.6994,9.24835037977
 01/01  24:00:00,39.3695228911,4.07811411449,0.0,0.0,9.17985065927,19.4245,65.0966812154,52.1320580645,8.3497,4.61492315087
 01/02  01:00:00,22.6299107428,4.07811411449,0.0,0.0,4.58992532963,8.1892,70.1576226303,61.6274652324,3.33988,5.19027739797
 01/02  02:00:00,14.7209093715,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  03:00:00,14.7486399567,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.7620890707,0.0,0.0,0.0,1.52997510988,7.4902,3.93195187958,0.0,3.33988,0.592071879578
 01/02  05:00:00,14.9102152195,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,22.7381727059,4.07811411449,0.0,0.0,4.58992532963,8.1892,77.5295608247,68.587783043,8.3497,0.592077781708
 01/02  07:00:00,38.6892547133,4.07811411449,0.0149298219508,0.0,9.17985065927,19.4245,89.5768786374,69.4146797386,16.6994,3.46279889876
 01/02  08:00:00,41.9212813995,4.07811411449,0.0175014642735,0.0,9.17985065927,26.9147,101.10147488,62.1301677373,25.0491,13.9222071432
 01/02  09:00:00,41.9517203046,4.07811411449,0.000945192171188,0.0,9.17985065927,26.9147,93.9857593285,47.8363167624,33.3988,12.7506425661
 01/02  10:00:00,34.4939189814,4.07811411449,0.0,0.0,9.17985065927,19.4245,71.133770143,35.6705114493,25.0491,10.4141586937
 01/02  11:00:00,41.9974660166,4.07811411449,0.00201514198889,0.0,9.17985065927,26.9147,81.1757836691,30.1779837003,41.7485,9.24929996872
 01/02  12:00:00,42.7353467541,4.07811411449,0.0,0.0,9.17985065927,26.9147,69.402188555,17.2400925148,41.7485,10.4135960402
 01/02  13:00:00,42.0769088544,4.07811411449,0.0,0.0,9.17985065927,26.9147,56.4215706118,5.4260870001,41.7485,9.24698361173
 01/02  14:00:00,34.5612634627,4.07811411449,0.0,0.0,9.17985065927,19.4245,47.9709720586,6.48522688877,33.3988,8.08694516986
 01/02  15:00:00,34.5613697824,4.07811411449,0.0,0.0,9.17985065927,19.4245,46.1940964304,14.2188389348,25.0491,6.92615749554
 01/02  16:00:00,34.5497843559,4.07811411449,0.0,0.0,9.17985065927,19.4245,57.6916511457,17.3669134833,33.3988,6.92593766245
 01/02  17:00:00,41.9753635271,4.07811411449,0.00778321643659,0.0,9.17985065927,26.9147,74.4785179061,17.4531523707,50.0982,6.92716553548
 01/02  18:00:00,45.1464843981,4.07811411449,0.0,0.0,9.17985065927,26.9147,77.6511807416,18.3028964475,50.0982,9.25008429405
 01/02  19:00:00,46.2078972721,4.07811411449,0.0,0.0,9.17985065927,26.9147,77.0661652431,14.2184966862,50.0982,12.7494685569
 01/02  20:00:00,38.8484404245,4.07811411449,0.0,0.0,9.17985065927,19.4245,63.2263424956,15.9060569862,33.3988,13.9214855094
 01/02  21:00:00,38.8296622632,4.07811411449,0.0,0.0,9.17985065927,19.4245,61.021500962,16.0450746418,33.3988,11.5776263201
 01/02  22:00:00,38.7569292719,4.07811411449,0.0,0.0,9.17985065927,19.4245,59.8800189981,22.6610965011,25.0491,12.169822497
 01/02  23:00:00,38.6540676644,4.07811411449,0.0,0.0,9.17985065927,19.4245,51.8256499742,24.711226482,16.6994,10.4150234922
 01/02  24:00:00,39.4207456447,4.07811411449,0.0,0.0,9.17985065927,19.4245,42.055110308,27.3610208012,8.3497,6.34438950679
 01/03  01:00:00,22.7204073996,4.07811411449,0.0,0.0,4.58992532963,8.1892,41.6259882735,33.6720927197,3.33988,4.6140155538
 01/03  02:00:00,14.823564028,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  03:00:00,14.8559589814,0.0,0.0,0.0,1.52997510988,7.4902,3.9319686394,0.0,3.33988,0.592088639401
 01/03  04:00:00,14.8663257194,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  05:00:00,15.5524570599,0.0,0.0,0.0,1.52997510988,7.4902,3.93197451649,0.0,3.33988,0.592094516494
 01/03  06:00:00,23.3963751947,4.07811411449,0.0,0.0,4.58992532963,8.1892,40.5259543098,32.1562543098,8.3497,0.02
 01/03  07:00:00,39.0922148289,4.07811411449,0.0243807600665,0.0,9.17985065927,19.4245,45.3994045072,24.7184290416,16.6994,3.98157546562
 01/03  08:00:00,42.0898131415,4.07811411449,0.0310515172326,0.0,9.17985065927,26.9147,54.0605426509,15.6096087983,25.0491,13.4018338526
 01/03  09:00:00,42.0883370242,4.07811411449,0.0,0.0,9.17985065927,26.9147,57.1739237509,11.0237030704,33.3988,12.7514206805
 01/03  10:00:00,34.609750237,4.07811411449,0.0,0.0,9.17985065927,19.4245,47.7360713369,12.2747639804,25.0491,10.4122073566
 01/03  11:00:00,42.1077243486,4.07811411449,0.0122681053896,0.0,9.17985065927,26.9147,66.096406955,15.0988464431,41.7485,9.24906051189
 01/03  12:00:00,42.8151313709,4.07811411449,0.0,0.0,9.17985065927,26.9147,59.3218442845,7.16008750234,41.7485,10.4132567822
 01/03  13:00:00,42.1967727457,4.07811411449,0.0150085059093,0.0,9.17985065927,26.9147,50.9984367327,0.0,41.7485,9.24993673273
 01/03  14:00:00,34.6859002582,4.07811411449,0.00483301224598,0.0,9.17985065927,19.4245,41.51790605,0.0321189120867,33.3988,8.08698713789
 01/03  15:00:00,34.6938589375,4.07811411449,0.0,0.0,9.17985065927,19.4245,31.9951920283,0.018338154397,25.0491,6.92775387389
 01/03  16:00:00,34.6716071926,4.07811411449,0.0018156650618,0.0,9.17985065927,19.4245,43.4615770131,2.55946671386,33.3988,7.50331029924
 01/03  17:00:00,42.0470976241,4.07811411449,0.00371279389338,0.0,9.17985065927,26.9147,66.6139171545,9.58788022235,50.0982,6.92783693212
 01/03  18:00:00,45.1839980877,4.07811411449,0.0,0.0,9.17985065927,26.9147,71.9208041383,12.5757157144,50.0982,9.24688842395
 01/03  19:00:00,46.2314786069,4.07811411449,0.0,0.0,9.17985065927,26.9147,73.6411333123,10.7922864432,50.0982,12.7506468691
