Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,924.872219053,97.6146759285,495.465205193,0.0,34.9616554283,113.312780494,635.556959482,621.187142666,5.66466996096,8.70514685488
 01/01  02:00:00,823.490304071,97.6146759285,393.804228223,0.0,34.9616554283,113.312780494,664.949496641,641.894049455,5.66466996096,17.3907772246
 01/01  03:00:00,795.955276806,97.6146759285,369.481944203,0.0,34.9616554283,113.312780494,667.44980971,653.079694156,5.66466996096,8.70544559244
 01/01  04:00:00,789.07660926,97.6146759285,364.826976081,0.0,34.9616554283,113.312780494,689.149851089,666.094092486,5.66466996096,17.391088642
 01/01  05:00:00,775.994365254,97.6146759285,344.003875644,0.0,44.4937663224,113.312780494,687.45697357,673.086739538,5.66466996096,8.70556407104
 01/01  06:00:00,748.416521901,97.6146759285,316.709919979,0.0,44.4937663224,113.312780494,735.56611366,704.013139034,14.1616749024,17.3912997231
 01/01  07:00:00,801.615750689,97.6146759285,297.584678088,0.0,54.0258772165,176.889270242,689.713368262,652.684348528,28.3233498048,8.70566992919
 01/01  08:00:00,794.770174323,97.6146759285,301.471075275,0.0,54.0258772165,184.38654557,685.532561153,625.656033066,42.4850247072,17.3915033796
 01/01  09:00:00,946.996642469,97.6146759285,383.455111421,0.0,65.1572554096,220.04316451,632.67636888,558.570454521,56.6466996096,17.4592147492
 01/01  10:00:00,1091.0349229,97.6146759285,545.439059114,0.0,65.1572554096,212.545889182,598.167243624,538.148052166,42.4850247072,17.5341667514
 01/01  11:00:00,1134.8276154,97.6146759285,587.442482276,0.0,65.1572554096,220.04316451,615.347486373,518.143518421,70.808374512,26.3955934403
 01/01  12:00:00,1156.99057882,97.6146759285,608.432460728,0.0,65.1572554096,220.04316451,600.10717637,502.900873925,70.808374512,26.3979279333
 01/01  13:00:00,1173.58278482,97.6146759285,620.610711906,0.0,65.1572554096,220.04316451,583.768815902,486.563657588,70.808374512,26.3967838021
 01/01  14:00:00,1179.04954627,97.6146759285,627.342563322,0.0,65.1572554096,212.545889182,544.484923867,461.442574426,56.6466996096,26.395649832
 01/01  15:00:00,1191.74429032,97.6146759285,631.423136298,0.0,65.1572554096,212.545889182,503.026784275,434.147240213,42.4850247072,26.3945193543
 01/01  16:00:00,1203.80272786,97.6146759285,630.525662433,0.0,65.1572554096,212.545889182,499.537512888,416.492297704,56.6466996096,26.3985155743
 01/01  17:00:00,1174.53348878,97.6146759285,626.355050948,0.0,65.1572554096,220.04316451,525.679770311,414.312368644,84.9700494144,26.397352253
 01/01  18:00:00,1122.6849571,97.6146759285,619.715505906,0.0,54.0258772165,184.38654557,558.090265372,455.584400534,84.9700494144,17.535815424
 01/01  19:00:00,1085.56464825,97.6146759285,607.635136706,0.0,44.4937663224,163.454314868,604.357191062,501.995028924,84.9700494144,17.3921127236
 01/01  20:00:00,1065.4773747,97.6146759285,597.616602582,0.0,44.4937663224,155.95703954,577.381278373,512.028459059,56.6466996096,8.70611970471
 01/01  21:00:00,1026.32223151,97.6146759285,589.06972404,0.0,44.4937663224,124.558693486,628.169881414,554.130978139,56.6466996096,17.3922036655
 01/01  22:00:00,1023.50284141,97.6146759285,581.139613397,0.0,44.4937663224,124.558693486,617.590000616,566.398743705,42.4850247072,8.70623220305
 01/01  23:00:00,1014.30530224,97.6146759285,574.280219839,0.0,34.9616554283,124.558693486,636.539490756,590.826169929,28.3233498048,17.3899710222
 01/01  24:00:00,1011.98390067,97.6146759285,569.118323373,0.0,34.9616554283,124.558693486,624.244438831,601.376423364,14.1616749024,8.70634056484
 01/02  01:00:00,997.503692127,97.6146759285,556.030791872,0.0,46.0930336215,113.312780494,636.152162494,613.097165556,5.66466996096,17.3903269775
 01/02  02:00:00,976.506798769,97.6146759285,538.014457936,0.0,46.0930336215,113.312780494,641.791857805,627.420602045,5.66466996096,8.70658579847
 01/02  03:00:00,971.146484226,97.6146759285,534.372296091,0.0,46.0930336215,113.312780494,662.302688144,639.247340628,5.66466996096,17.3906775556
 01/02  04:00:00,973.30631992,97.6146759285,533.57691119,0.0,46.0930336215,113.312780494,664.30802938,649.936628165,5.66466996096,8.70673125467
 01/02  05:00:00,1051.70692958,97.6146759285,522.705243249,0.0,100.150657288,148.969399434,644.184391793,621.12733654,5.66466996096,17.3923852923
 01/02  06:00:00,1084.51536653,97.6146759285,552.992235541,0.0,100.150657288,149.894399434,1193.67768774,1170.80913889,14.1616749024,8.70687394768
 01/02  07:00:00,1276.17086099,97.6146759285,515.786961258,0.0,176.471037341,302.612436532,837.281728968,791.567192338,28.3233498048,17.3911868246
 01/02  08:00:00,1337.91328861,97.6146759285,468.706108631,0.0,243.2593065,310.10971186,774.83185652,714.804268065,42.4850247072,17.5425637481
 01/02  09:00:00,1438.27187316,97.6146759285,528.135562213,0.0,243.2593065,310.10971186,749.315520225,666.24359579,56.6466996096,26.4252248253
 01/02  10:00:00,1512.92588954,97.6238449208,560.99543598,0.0,243.2593065,302.612436532,712.65909512,634.817293087,42.4850247072,35.3567773256
 01/02  11:00:00,1535.14207742,97.6844604836,572.661211997,0.0,243.2593065,310.10971186,704.253934379,597.904381239,70.808374512,35.5411786288
 01/02  12:00:00,1549.77620605,97.7387643452,582.109298328,0.0,243.2593065,310.10971186,673.773092659,567.353791503,70.808374512,35.6109266441
 01/02  13:00:00,1512.63490451,97.7821896322,589.466243033,0.0,243.2593065,310.10971186,646.283917294,540.039283006,70.808374512,35.4362597761
 01/02  14:00:00,1548.03242319,97.8447253622,597.310440952,0.0,243.2593065,302.612436532,612.200191372,519.941451301,56.6466996096,35.6120404619
 01/02  15:00:00,1545.78543893,97.9396099079,602.192834305,0.0,243.2593065,302.612436532,581.750201966,503.710951906,42.4850247072,35.5542253532
 01/02  16:00:00,1546.10835336,98.0865200537,604.891525924,0.0,243.2593065,302.612436532,562.501087437,470.364741532,56.6466996096,35.4896462949
 01/02  17:00:00,1547.56709133,98.1589993693,606.403889727,0.0,243.2593065,310.10971186,579.897567981,459.622633557,84.9700494144,35.3048850096
 01/02  18:00:00,1545.02348081,98.1908745532,606.74836611,0.0,243.2593065,310.10971186,578.518237074,476.05660606,84.9700494144,17.4915815996
 01/02  19:00:00,1282.71065115,97.6146759285,606.507967196,0.0,166.938926447,199.110933808,533.380240985,430.97490691,84.9700494144,17.43528466
 01/02  20:00:00,1277.43174718,97.6146759285,605.289850475,0.0,166.938926447,191.61365848,499.986752998,434.610176463,56.6466996096,8.72987692531
 01/02  21:00:00,1142.87689269,97.6146759285,604.810263511,0.0,100.150657288,124.558693486,552.648517866,478.563920828,56.6466996096,17.4378974292
 01/02  22:00:00,1097.61017482,97.6146759285,605.779170548,0.0,100.150657288,124.558693486,545.271895739,485.390207881,42.4850247072,17.3966631512
 01/02  23:00:00,1024.09724757,97.6146759285,610.683022375,0.0,46.0930336215,124.558693486,541.044057227,504.015895318,28.3233498048,8.70481210382
 01/02  24:00:00,1024.61082874,97.6146759285,618.679471133,0.0,46.0930336215,124.558693486,541.249911054,509.696349259,14.1616749024,17.3918868933
 01/03  01:00:00,1019.36017895,97.6146759285,626.179786121,0.0,46.0930336215,113.312780494,529.732469513,515.362977637,5.66466996096,8.70482191567
 01/03  02:00:00,1026.26137655,97.6146759285,632.940898548,0.0,46.0930336215,113.312780494,542.738871782,519.681795139,5.66466996096,17.3924066817
 01/03  03:00:00,1031.51298806,97.6146759285,637.980386541,0.0,46.0930336215,113.312780494,538.784956936,524.415281806,5.66466996096,8.70500516902
