Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,141.452612773,30.7716514824,17.633266054,0.0,34.4311606118,33.1021868926,146.846394698,36.5237356703,3.33212,106.990539027
 01/01  02:00:00,142.910308796,30.7716514824,19.1207952879,0.0,34.4311606118,33.1021868926,117.394826256,32.225777586,3.33212,81.8369286703
 01/01  03:00:00,125.822490051,30.7716514824,19.531278375,0.0,19.466279405,30.610668775,113.514476019,29.6245258974,3.33212,80.5578301218
 01/01  04:00:00,125.833670384,30.7716514824,19.5664769447,0.0,19.466279405,30.610668775,111.775327557,27.8867763966,3.33212,80.5564311607
 01/01  05:00:00,133.135381467,30.7716514824,20.3160191655,0.0,19.466279405,30.610668775,138.746070425,27.2383582978,3.33212,108.175592128
 01/01  06:00:00,145.994051845,30.7716514824,20.9517991477,0.0,19.466279405,30.610668775,167.338459667,27.9097994218,8.3303,131.098360245
 01/01  07:00:00,226.08392902,30.7716514824,29.5170920333,0.0,42.6918050922,54.3732441037,240.745924847,28.7417219621,16.6606,195.343602885
 01/01  08:00:00,335.467061122,35.5798768296,93.0410043365,0.0,49.3960418185,88.5934452969,518.012136091,174.892339453,24.9909,318.128896638
 01/01  09:00:00,392.711818356,35.5558249921,121.008241748,0.0,57.6566862989,112.030105488,667.405383147,180.515967119,33.3212,453.568216028
 01/01  10:00:00,342.698581429,35.9875864911,126.311800092,0.0,50.9524495726,81.1684271793,523.119203921,128.075824245,66.8089,328.234479676
 01/01  11:00:00,283.316719794,36.1175788891,112.219115118,0.0,42.6918050922,68.9656133826,383.538998779,49.3646815907,83.4695,250.704817188
 01/01  12:00:00,280.155813745,36.1662099066,112.654180207,0.0,38.286128036,68.9656133826,303.859297301,23.0331367765,83.4695,197.356660524
 01/01  13:00:00,294.732622369,36.2118542913,127.846727878,0.0,38.286128036,68.9656133826,239.490244954,10.0500705826,83.4695,145.970674371
 01/01  14:00:00,295.819214588,36.250068886,147.701666478,0.0,31.5818913096,56.727595265,226.435232804,5.33661654998,75.1392,145.959416254
