Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,75.6255929512,20.8697155795,15.3932294557,0.0931955785047,4.12243109448,15.9888894789,94.6557379203,91.6640075025,2.97173041782,0.02
 01/02  02:00:00,77.5227029533,18.8329573877,13.8305119516,1.0128877673,4.12243109448,15.9888894789,82.9163297291,79.9245993112,2.97173041782,0.02
 01/02  03:00:00,88.6736288843,23.5411967347,17.2766830976,1.9705535876,4.12243109448,15.9888894789,104.853959137,101.86222872,2.97173041782,0.02
 01/02  04:00:00,82.2716678384,19.358414332,15.3828262212,3.47775065275,4.12243109448,15.9888894789,84.8763586869,81.8846282691,2.97173041782,0.02
 01/02  05:00:00,120.00870701,28.6873168685,21.2774526995,4.02030155476,12.3672932834,24.9413748627,120.377115676,115.404231646,4.9528840297,0.02
 01/02  06:00:00,145.626898269,28.7364969361,25.027795513,26.1983913058,12.3672932834,24.9413748627,191.20486214,186.23197811,4.9528840297,0.02
 01/02  07:00:00,195.818978383,29.6942572684,17.3014505181,25.5532339091,24.7345865669,70.7195625826,159.616398299,149.69063024,9.90576805939,0.02
 01/02  08:00:00,207.415912588,29.7904498459,16.5687944812,17.7038155877,37.1018798503,92.3937384068,139.840025543,129.914257484,9.90576805939,0.02
 01/02  09:00:00,213.798338487,29.8845785424,20.8130415018,12.5081373947,37.1018798503,104.434947198,128.132058182,118.206290122,9.90576805939,0.02
 01/02  10:00:00,229.588139843,29.9940312527,25.753709696,8.85819024093,37.1018798503,116.476155989,129.121097715,110.59136803,9.90576805939,8.62396162599
 01/02  11:00:00,231.945012834,30.1718634442,28.7956748233,7.16704204974,37.1018798503,116.476155989,114.5766233,104.650855241,9.90576805939,0.02
 01/02  12:00:00,235.737755804,30.4315292253,31.6135035505,6.26412084854,37.1018798503,116.476155989,110.051172562,100.125404502,9.90576805939,0.02
 01/02  13:00:00,226.047882877,30.6331274824,34.2729227904,5.41606351185,37.1018798503,104.434947198,115.951194162,97.4200308382,9.90576805939,8.62539526409
 01/02  14:00:00,234.29867186,30.5542764081,35.5482326355,4.27724249102,37.1018798503,116.476155989,107.758259177,97.8324911175,9.90576805939,0.02
 01/02  15:00:00,230.531751075,30.4513788529,35.1421452072,3.45130593037,37.1018798503,116.476155989,117.242722013,98.7089989029,9.90576805939,8.62795505077
 01/02  16:00:00,229.166159536,30.5730354817,35.6461520688,2.60091135331,37.1018798503,116.476155989,106.465131411,96.539363352,9.90576805939,0.02
 01/02  17:00:00,225.988427365,30.537492305,34.8713779669,2.42926541769,37.1018798503,116.476155989,106.147044032,96.2212759726,9.90576805939,0.02
 01/02  18:00:00,232.18788842,30.3059414741,32.5023785124,2.86115814253,37.1018798503,116.476155989,109.120032267,99.1942642075,9.90576805939,0.02
